train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.08,0.92,0.17,0.64,0.26244709518025905,44.616006180644035,0.07,0.93,0.19,0.62,0.2618772876262665,6.546932190656662,1712673912,,True,100,e8741741,2024-04-09_16-45-12,77.99937152862549,7517.3532338142395,13796,AT-MB-PC-EOS,127.0.0.1,7517.3532338142395,100,64,3,0.5,1e-05,e8741741
0.08,0.92,0.22,0.74,0.22460671444149577,38.18314145505428,0.07,0.93,0.23,0.75,0.21665648281574248,5.416412070393562,1712672640,,True,45,8dd7ae5e,2024-04-09_16-24-00,139.57015872001648,6232.137651205063,27468,AT-MB-PC-EOS,127.0.0.1,6232.137651205063,45,256,6,0.5,0.001,8dd7ae5e
0.08,0.92,0.15,0.61,0.2783969437374788,47.3274804353714,0.07,0.93,0.14,0.56,0.27331221163272856,6.832805290818214,1712669901,,True,45,0dd25503,2024-04-09_15-38-21,74.59349393844604,3470.588492155075,30328,AT-MB-PC-EOS,127.0.0.1,3470.588492155075,45,64,3,0.5,1e-05,0dd25503
0.08,0.91,0.09,0.52,0.33071396683945375,56.22137436270714,0.07,0.92,0.11,0.55,0.31428307175636294,7.857076793909073,1712668585,,True,15,9cdfe401,2024-04-09_15-16-25,139.93780398368835,2147.848802089691,30764,AT-MB-PC-EOS,127.0.0.1,2147.848802089691,15,64,6,0.5,1e-05,9cdfe401
0.08,0.94,0.55,0.87,0.16787325406775755,28.538453191518784,0.07,0.94,0.38,0.79,0.2042784124612808,5.106960311532021,1712674057,,True,100,6c99605b,2024-04-09_16-47-37,79.67056918144226,7590.70402598381,35560,AT-MB-PC-EOS,127.0.0.1,7590.70402598381,100,64,3,0.0,0.0001,6c99605b
0.08,0.93,0.42,0.84,0.1879915761158747,31.958567939698696,0.07,0.93,0.36,0.81,0.19839566171169282,4.95989154279232,1712676384,,True,100,bf1a8290,2024-04-09_17-26-24,97.64687299728394,7756.043522119522,30564,AT-MB-PC-EOS,127.0.0.1,7756.043522119522,100,256,3,0.5,0.001,bf1a8290
0.08,0.91,0.09,0.48,0.35455770475022935,60.274809807538986,0.07,0.91,0.09,0.51,0.3407015162706375,8.517537906765938,1712671054,,True,5,f1f684fd,2024-04-09_15-57-34,224.03271317481995,1142.9532845020294,17840,AT-MB-PC-EOS,127.0.0.1,1142.9532845020294,5,256,10,0.5,0.0001,f1f684fd
0.08,0.8,0.08,0.45,0.5087570884648491,86.48870503902435,0.07,0.87,0.08,0.44,0.45837130427360534,11.459282606840134,1712672239,,True,5,a68fa3a3,2024-04-09_16-17-19,225.76580142974854,1141.450962305069,13732,AT-MB-PC-EOS,127.0.0.1,1141.450962305069,5,256,10,0.2,1e-05,a68fa3a3
0.08,0.93,0.41,0.81,0.1993689540116226,33.89272218197584,0.07,0.93,0.32,0.75,0.21519236981868745,5.379809245467186,1712679368,,True,45,ae1533dd,2024-04-09_18-16-08,179.02825045585632,7104.321779251099,42480,AT-MB-PC-EOS,127.0.0.1,7104.321779251099,45,64,6,0.2,0.0001,ae1533dd
0.08,0.58,0.09,0.51,0.6691300251904656,113.75210428237915,0.07,0.67,0.11,0.5,0.628934211730957,15.723355293273926,1712673037,,True,5,ac985b08,2024-04-09_16-30-37,76.4633412361145,388.1882281303406,43328,AT-MB-PC-EOS,127.0.0.1,388.1882281303406,5,256,3,0.5,1e-05,ac985b08
0.08,0.92,0.13,0.59,0.28806130360154547,48.970421612262726,0.07,0.92,0.07,0.45,0.34392900228500367,8.598225057125092,1712674186,,True,5,dff9fce8,2024-04-09_16-49-46,225.3856942653656,1139.2692608833313,38512,AT-MB-PC-EOS,127.0.0.1,1139.2692608833313,5,256,10,0.2,0.001,dff9fce8
0.08,0.66,0.1,0.53,0.6102682380115285,103.74560046195984,0.07,0.78,0.11,0.51,0.5420421481132507,13.551053702831268,1712674640,,True,5,d1c4220a,2024-04-09_16-57-20,144.05139064788818,718.7385840415955,11312,AT-MB-PC-EOS,127.0.0.1,718.7385840415955,5,128,6,0.5,1e-05,d1c4220a
0.08,0.95,0.69,0.93,0.13216413555338102,22.467903044074774,0.07,0.93,0.41,0.82,0.2023760521411896,5.059401303529739,1712684064,,True,100,b1f61795,2024-04-09_19-34-24,105.07953238487244,9932.304293394089,38660,AT-MB-PC-EOS,127.0.0.1,9932.304293394089,100,128,3,0.0,0.001,b1f61795
0.08,0.92,0.22,0.68,0.25144059184719536,42.74490061402321,0.07,0.92,0.19,0.64,0.2644277137517929,6.610692843794823,1712678077,,True,15,1f919c00,2024-04-09_17-54-37,276.5369710922241,3880.9471940994263,29084,AT-MB-PC-EOS,127.0.0.1,3880.9471940994263,15,128,10,0.2,0.0001,1f919c00
0.08,0.63,0.1,0.51,0.6353862671291127,108.01566541194916,0.07,0.72,0.1,0.48,0.592272834777832,14.8068208694458,1712675056,,True,5,848ae9b2,2024-04-09_17-04-16,76.74504852294922,396.8725826740265,43284,AT-MB-PC-EOS,127.0.0.1,396.8725826740265,5,128,3,0.2,1e-05,848ae9b2
0.08,0.95,0.62,0.9,0.1520279277335195,25.844747714698315,0.07,0.94,0.4,0.8,0.19947540193796157,4.9868850484490395,1712691134,,False,91,577b569f,2024-04-09_21-32-14,185.2731568813324,15983.177861213684,12024,AT-MB-PC-EOS,127.0.0.1,15983.177861213684,91,256,6,0.0,0.0001,577b569f
0.08,0.65,0.08,0.46,0.6157332644743078,104.67465496063232,0.07,0.78,0.08,0.45,0.5496368658542633,13.740921646356583,1712678005,,True,5,3412f4c0,2024-04-09_17-53-25,302.2097554206848,1579.1438784599304,31172,AT-MB-PC-EOS,127.0.0.1,1579.1438784599304,5,64,10,0.5,1e-05,3412f4c0
0.08,0.66,0.1,0.53,0.6102750374990351,103.74675637483597,0.07,0.78,0.11,0.51,0.5420083808898926,13.550209522247314,1712679022,,True,5,66a1c053,2024-04-09_18-10-22,184.99661993980408,975.8774642944336,9936,AT-MB-PC-EOS,127.0.0.1,975.8774642944336,5,256,6,0.5,1e-05,66a1c053
