train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/modules/1/times
0.50015,0.50011,0.6878,0.57913,0.5001,0.8123830394485058,253.4635083079338,0.5002,0.50014,0.6982,0.5828,0.5001,0.8224736514944619,257.43425291776657,1713395652,,False,1,9518a83f,2024-04-18_01-14-12,168.08799290657043,168.08799290657043,35764,AT-MB-PC-E13,127.0.0.1,168.08799290657043,1,2
0.58098,0.58149,0.57782,0.57965,0.62792,0.6526829327146212,203.63707500696182,0.8014,0.81266,0.7834,0.79776,0.9062,0.3796567399376117,118.83255960047245,1713395786,,False,2,9518a83f,2024-04-18_01-16-26,134.3632776737213,302.45127058029175,35764,AT-MB-PC-E13,127.0.0.1,302.45127058029175,2,2
0.88912,0.89195,0.88552,0.88872,0.96732,0.22876295880772746,71.37404314801097,0.9076,0.87546,0.9504,0.91139,0.97977,0.19427967166748292,60.80953723192215,1713395913,,False,3,9518a83f,2024-04-18_01-18-33,127.10712885856628,429.55839943885803,35764,AT-MB-PC-E13,127.0.0.1,429.55839943885803,3,2
0.91612,0.91466,0.91787,0.91626,0.98202,0.16953650956901795,52.895390985533595,0.9189,0.95208,0.8822,0.91581,0.98392,0.17909644182009724,56.057186289690435,1713396041,,False,4,9518a83f,2024-04-18_01-20-41,127.86209273338318,557.4204921722412,35764,AT-MB-PC-E13,127.0.0.1,557.4204921722412,4,2
0.92408,0.92578,0.92208,0.92393,0.98593,0.1485615229078879,46.35119514726102,0.9244,0.96231,0.8834,0.92117,0.98541,0.1697026021241511,53.11691446485929,1713396174,,False,5,9518a83f,2024-04-18_01-22-54,133.37066793441772,690.7911601066589,35764,AT-MB-PC-E13,127.0.0.1,690.7911601066589,5,2
0.92849,0.92909,0.92778,0.92844,0.98739,0.13985920779836866,43.63607283309102,0.9207,0.93362,0.9058,0.9195,0.98355,0.16571645391361114,51.86925007496029,1713396315,,False,6,9518a83f,2024-04-18_01-25-15,140.66478037834167,831.4559404850006,35764,AT-MB-PC-E13,127.0.0.1,831.4559404850006,6,2
0.93214,0.93427,0.92969,0.93197,0.9883,0.13492840028648528,42.097660889383405,0.9289,0.90032,0.9646,0.93135,0.98843,0.14363006211054055,44.956209440599196,1713396442,,False,7,9518a83f,2024-04-18_01-27-22,127.32226848602295,958.7782089710236,35764,AT-MB-PC-E13,127.0.0.1,958.7782089710236,7,2
0.93655,0.93923,0.93349,0.93635,0.98986,0.12518456783026266,39.05758516304195,0.9159,0.88775,0.9522,0.91885,0.98209,0.17388454611642293,54.425862934440374,1713396570,,False,8,9518a83f,2024-04-18_01-29-30,128.0215516090393,1086.7997605800629,35764,AT-MB-PC-E13,127.0.0.1,1086.7997605800629,8,2
0.9363,0.93499,0.9378,0.93639,0.98986,0.12427464126346585,38.773688074201345,0.9198,0.9593,0.8768,0.9162,0.98382,0.21194448141000286,66.33862268133089,1713396698,,False,9,9518a83f,2024-04-18_01-31-38,128.22353959083557,1215.0233001708984,35764,AT-MB-PC-E13,127.0.0.1,1215.0233001708984,9,2
0.9376,0.93804,0.9371,0.93757,0.99003,0.12458398828554589,38.870204345090315,0.932,0.93165,0.9324,0.93203,0.98792,0.13781873775294984,43.1372649166733,1713396813,,True,10,9518a83f,2024-04-18_01-33-33,114.69677567481995,1329.7200758457184,35764,AT-MB-PC-E13,127.0.0.1,1329.7200758457184,10,2
