train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/optimizer/base_learning_rate,logdir
0.53649,0.54094,0.48626,0.51215,0.55713,0.6911784909605011,255.0448631644249,0.58214,0.66781,0.32828,0.44018,0.63664,0.6900003671646118,51.750027537345886,1715760750,,True,10,6bcf8999,2024-05-15_10-12-30,15.864078044891357,161.40433311462402,48424,AT-MB-PC-E13,127.0.0.1,161.40433311462402,10,256,3,1e-05,6bcf8999
0.98184,0.98267,0.981,0.98184,0.99915,0.030956415824838462,11.422917439365392,0.98147,0.97667,0.98653,0.98157,0.99928,0.039784229875076564,2.983817240630742,1715760769,,True,10,06923a3f,2024-05-15_10-12-49,19.072142124176025,173.4121823310852,38744,AT-MB-PC-E13,127.0.0.1,173.4121823310852,10,256,6,0.001,06923a3f
0.49966,0.0,0.0,0.0,0.50177,0.6939708542048446,256.0752452015877,0.49958,0.0,0.0,0.0,0.50856,0.6932770578066508,51.99577933549881,1715760794,,True,2,e718f602,2024-05-15_10-13-14,21.248112440109253,44.101479291915894,48424,AT-MB-PC-E13,127.0.0.1,44.101479291915894,2,256,3,1e-05,e718f602
0.49966,0.0,0.0,0.0,0.49859,0.7515141978496458,277.3087390065193,0.49958,0.0,0.0,0.0,0.50243,0.7349425021807353,55.120687663555145,1715760814,,True,2,9cde75c3,2024-05-15_10-13-34,20.859460830688477,45.66428589820862,38744,AT-MB-PC-E13,127.0.0.1,45.66428589820862,2,256,6,1e-05,9cde75c3
0.98133,0.97665,0.98626,0.98143,0.99597,0.06519082518260381,24.055414492380805,0.98484,0.98322,0.98653,0.98487,0.99233,0.07992265727681418,5.994199295761064,1715760996,,True,10,cd66b04d,2024-05-15_10-16-36,19.95436978340149,201.62326622009277,48424,AT-MB-PC-E13,127.0.0.1,201.62326622009277,10,64,3,0.0001,cd66b04d
0.98218,0.98105,0.98338,0.98221,0.99933,0.02822413255248611,10.414704911867375,0.98147,0.9931,0.9697,0.98126,0.99937,0.03986007383976054,2.9895055379820406,1715761017,,True,10,b6134cc6,2024-05-15_10-16-57,20.98969268798828,202.4610080718994,38744,AT-MB-PC-E13,127.0.0.1,202.4610080718994,10,256,3,0.001,b6134cc6
0.50102,0.50133,0.5117,0.50646,0.50221,0.693516409978634,255.90755528211594,0.50042,0.50042,1.0,0.66704,0.50382,0.6934431020418803,52.00823265314102,1715761043,,True,2,bb85a255,2024-05-15_10-17-23,20.818017721176147,46.484493255615234,48424,AT-MB-PC-E13,127.0.0.1,46.484493255615234,2,256,10,0.0001,bb85a255
0.50034,0.50034,1.0,0.66697,0.49407,0.6944561064404847,256.25430327653885,0.50042,0.50042,1.0,0.66704,0.50252,0.6938066577911377,52.03549933433533,1715761064,,True,2,1a3f47cf,2024-05-15_10-17-44,22.229183673858643,46.81913661956787,38744,AT-MB-PC-E13,127.0.0.1,46.81913661956787,2,128,10,1e-05,1a3f47cf
0.5017,0.50776,0.13314,0.21096,0.49956,0.703682908520789,259.65899324417114,0.50042,0.50299,0.14141,0.22076,0.50447,0.6934655475616455,52.00991606712341,1715761089,,True,2,02d07fd5,2024-05-15_10-18-09,21.157227754592896,45.44577383995056,48424,AT-MB-PC-E13,127.0.0.1,45.44577383995056,2,128,6,0.0001,02d07fd5
0.49966,0.0,0.0,0.0,0.50177,0.6939708532356634,256.0752448439598,0.49958,0.0,0.0,0.0,0.50856,0.6932770586013794,51.995779395103455,1715761109,,True,2,c511907f,2024-05-15_10-18-29,20.76435112953186,44.71179175376892,38744,AT-MB-PC-E13,127.0.0.1,44.71179175376892,2,256,3,1e-05,c511907f
