train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/modules/1/times
0.5,0.5,1.0,0.67,0.5,1.2343193132143755,385.10762572288513,0.5,0.5,1.0,0.67,0.5,1.250349737203921,391.35946774482727,1712426530,,False,1,115b79ba,2024-04-06_20-02-10,189.54337692260742,189.54337692260742,46288,AT-MB-PC-E13,127.0.0.1,189.54337692260742,1,3
0.51,0.51,0.58,0.54,0.51,0.6998615102508129,218.35679119825363,0.52,0.54,0.23,0.32,0.55,0.6908943862579882,216.2499428987503,1712426667,,False,2,115b79ba,2024-04-06_20-04-27,137.00002312660217,326.5434000492096,46288,AT-MB-PC-E13,127.0.0.1,326.5434000492096,2,3
0.76,0.76,0.76,0.76,0.86,0.44201262517330736,137.9079390540719,0.85,0.95,0.74,0.83,0.95,0.4410729399694802,138.0558302104473,1712426821,,False,3,115b79ba,2024-04-06_20-07-01,154.23540210723877,480.77880215644836,46288,AT-MB-PC-E13,127.0.0.1,480.77880215644836,3,3
0.91,0.91,0.91,0.91,0.98,0.20349150521155351,63.489349626004696,0.83,0.75,0.99,0.86,0.97,0.49695945497804556,155.54830940812826,1712426958,,False,4,115b79ba,2024-04-06_20-09-18,136.56126308441162,617.34006524086,46288,AT-MB-PC-E13,127.0.0.1,617.34006524086,4,3
0.94,0.94,0.94,0.94,0.99,0.146663500321432,45.75901210028678,0.9,0.91,0.89,0.9,0.97,0.25739929094886815,80.56597806699574,1712427115,,False,5,115b79ba,2024-04-06_20-11-55,157.32838416099548,774.6684494018555,46288,AT-MB-PC-E13,127.0.0.1,774.6684494018555,5,3
0.94,0.94,0.95,0.94,0.99,0.1284018378937617,40.06137342285365,0.95,0.95,0.94,0.95,0.99,0.1302614403061402,40.771830815821886,1712427244,,False,6,115b79ba,2024-04-06_20-14-04,129.62734580039978,904.2957952022552,46288,AT-MB-PC-E13,127.0.0.1,904.2957952022552,6,3
0.95,0.95,0.95,0.95,0.99,0.11364838585723191,35.45829638745636,0.93,0.93,0.93,0.93,0.99,0.16058902727803007,50.26436553802341,1712427355,,False,7,115b79ba,2024-04-06_20-15-55,110.08920550346375,1014.385000705719,46288,AT-MB-PC-E13,127.0.0.1,1014.385000705719,7,3
0.95,0.95,0.96,0.95,0.99,0.10531808298009519,32.8592418897897,0.95,0.95,0.96,0.95,0.99,0.10243279390191784,32.061464491300285,1712427468,,False,8,115b79ba,2024-04-06_20-17-48,113.14750933647156,1127.5325100421906,46288,AT-MB-PC-E13,127.0.0.1,1127.5325100421906,8,3
0.96,0.96,0.96,0.96,1.0,0.08818598169361791,27.514026288408786,0.96,0.95,0.97,0.96,0.99,0.11105061427150041,34.75884226697963,1712427576,,False,9,115b79ba,2024-04-06_20-19-36,107.90326189994812,1235.4357719421387,46288,AT-MB-PC-E13,127.0.0.1,1235.4357719421387,9,3
0.97,0.96,0.97,0.97,1.0,0.08220162571617551,25.64690722344676,0.95,0.98,0.93,0.95,0.99,0.12151458939483847,38.03406648058444,1712427680,,True,10,115b79ba,2024-04-06_20-21-20,104.63625502586365,1340.0720269680023,46288,AT-MB-PC-E13,127.0.0.1,1340.0720269680023,10,3
