train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.79623,0.76778,0.77754,0.77263,0.86065,0.47036543137886944,15.992424666881561,0.62914,0.59302,0.70833,0.64557,0.69462,0.676862508058548,3.38431254029274,0.66556,0.62778,0.76871,0.69113,0.75866,0.6160926282405853,6.160926282405853,1713337218,,False,14,22d7d967,2024-04-17_09-00-18,18.692201852798462,290.7105071544647,31356,AT-MB-PC-E13,127.0.0.1,290.7105071544647,14,64,0.0,3,0.0001
0.7934,0.75659,0.79025,0.77306,0.88029,0.43191604754504037,14.685145616531372,0.70861,0.68421,0.72222,0.7027,0.75457,0.6083030283451081,3.04151514172554,0.70861,0.68098,0.7551,0.71613,0.76449,0.6261843353509903,6.261843353509903,1713337238,,False,15,22d7d967,2024-04-17_09-00-38,20.181702613830566,310.8922097682953,31356,AT-MB-PC-E13,127.0.0.1,310.8922097682953,15,64,0.0,3,0.0001
0.80566,0.77479,0.79449,0.78452,0.87684,0.4373640619656619,14.870378106832504,0.65563,0.625,0.69444,0.65789,0.69585,0.7376710772514343,3.6883553862571716,0.68874,0.6732,0.70068,0.68667,0.77959,0.5761389702558517,5.7613897025585175,1713337259,,False,16,22d7d967,2024-04-17_09-00-59,20.775319576263428,331.6675293445587,31356,AT-MB-PC-E13,127.0.0.1,331.6675293445587,16,64,0.0,3,0.0001
0.81321,0.79274,0.78602,0.78936,0.88699,0.42437636151033287,14.428796291351318,0.68874,0.67123,0.68056,0.67586,0.74297,0.6308263301849365,3.1541316509246826,0.72517,0.69277,0.78231,0.73482,0.79377,0.5659743845462799,5.659743845462799,1713337279,,False,17,22d7d967,2024-04-17_09-01-19,20.373300552368164,352.0408298969269,31356,AT-MB-PC-E13,127.0.0.1,352.0408298969269,17,64,0.0,3,0.0001
0.80094,0.76687,0.79449,0.78044,0.88535,0.4206590415800319,14.302407413721085,0.69536,0.63542,0.84722,0.72619,0.7725,0.6530758380889893,3.2653791904449463,0.71192,0.64563,0.90476,0.75354,0.81097,0.5764092743396759,5.764092743396759,1713337299,,False,18,22d7d967,2024-04-17_09-01-39,20.337719202041626,372.3785490989685,31356,AT-MB-PC-E13,127.0.0.1,372.3785490989685,18,64,0.0,3,0.0001
0.82264,0.79461,0.81144,0.80294,0.8949,0.42016014281441183,14.285444855690002,0.76159,0.73684,0.77778,0.75676,0.80345,0.5640388429164886,2.8201942145824432,0.73841,0.72078,0.7551,0.73754,0.79978,0.5404886931180954,5.404886931180954,1713337319,,False,19,22d7d967,2024-04-17_09-01-59,19.257956981658936,391.63650608062744,31356,AT-MB-PC-E13,127.0.0.1,391.63650608062744,19,64,0.0,3,0.0001
0.83208,0.81013,0.81356,0.81184,0.9017,0.3992555781322367,13.574689656496048,0.68874,0.66667,0.69444,0.68027,0.74525,0.6257611155509949,3.1288055777549744,0.72848,0.68786,0.80952,0.74375,0.79293,0.5573361814022064,5.573361814022064,1713337340,,False,20,22d7d967,2024-04-17_09-02-20,21.024943113327026,412.66144919395447,31356,AT-MB-PC-E13,127.0.0.1,412.66144919395447,20,64,0.0,3,0.0001
0.82736,0.79917,0.8178,0.80838,0.90602,0.3874835284317241,13.17443996667862,0.64901,0.61728,0.69444,0.65359,0.68196,0.783307683467865,3.916538417339325,0.74834,0.7052,0.82993,0.7625,0.79263,0.5861756175756454,5.8617561757564545,1713337359,,False,21,22d7d967,2024-04-17_09-02-39,19.65392279624939,432.31537199020386,31356,AT-MB-PC-E13,127.0.0.1,432.31537199020386,21,64,0.0,3,0.0001
0.82736,0.80042,0.81568,0.80797,0.90807,0.3856443841667736,13.111909061670303,0.70861,0.68421,0.72222,0.7027,0.73945,0.6569268345832825,3.2846341729164124,0.74834,0.70056,0.84354,0.76543,0.81185,0.535121175646782,5.351211756467819,1713337380,,False,22,22d7d967,2024-04-17_09-03-00,20.97175931930542,453.2871313095093,31356,AT-MB-PC-E13,127.0.0.1,453.2871313095093,22,64,0.0,3,0.0001
0.81698,0.79202,0.79873,0.79536,0.9078,0.3828468489296296,13.016792863607407,0.72848,0.74603,0.65278,0.6963,0.77321,0.6166178107261657,3.083089053630829,0.74503,0.78226,0.65986,0.71587,0.81181,0.5556558221578598,5.556558221578598,1713337400,,False,23,22d7d967,2024-04-17_09-03-20,19.519052743911743,472.806184053421,31356,AT-MB-PC-E13,127.0.0.1,472.806184053421,23,64,0.0,3,0.0001
0.82642,0.80252,0.80932,0.80591,0.90923,0.37939180258442373,12.899321287870407,0.60265,0.61111,0.45833,0.52381,0.69708,0.7762411713600159,3.8812058568000793,0.65563,0.70476,0.5034,0.5873,0.73443,0.6895204365253449,6.8952043652534485,1713337419,,False,24,22d7d967,2024-04-17_09-03-39,18.933648824691772,491.7398328781128,31356,AT-MB-PC-E13,127.0.0.1,491.7398328781128,24,64,0.0,3,0.0001
0.81887,0.79915,0.79237,0.79574,0.90674,0.38900022208690643,13.226007550954819,0.72185,0.71429,0.69444,0.70423,0.78481,0.5851381003856659,2.9256905019283295,0.75828,0.74026,0.77551,0.75748,0.82629,0.5576282143592834,5.5762821435928345,1713337442,,False,25,22d7d967,2024-04-17_09-04-02,23.5742290019989,515.3140618801117,31356,AT-MB-PC-E13,127.0.0.1,515.3140618801117,25,64,0.0,3,0.0001
0.83774,0.81381,0.82415,0.81895,0.91714,0.364042246604667,12.377436384558678,0.70199,0.66265,0.76389,0.70968,0.73066,0.7126230359077453,3.563115179538727,0.7351,0.67725,0.87075,0.7619,0.82401,0.5642707765102386,5.6427077651023865,1713337461,,False,26,22d7d967,2024-04-17_09-04-21,18.684691190719604,533.9987530708313,31356,AT-MB-PC-E13,127.0.0.1,533.9987530708313,26,64,0.0,3,0.0001
0.84528,0.81557,0.84322,0.82917,0.91772,0.35795576870441437,12.170496135950089,0.68874,0.63158,0.83333,0.71856,0.76635,0.6607403635978699,3.3037018179893494,0.73841,0.67347,0.89796,0.76968,0.80878,0.589769721031189,5.89769721031189,1713337480,,False,27,22d7d967,2024-04-17_09-04-40,18.700162410736084,552.6989154815674,31356,AT-MB-PC-E13,127.0.0.1,552.6989154815674,27,64,0.0,3,0.0001
0.84717,0.82979,0.82627,0.82803,0.92626,0.35618990791194577,12.110456869006157,0.72848,0.6962,0.76389,0.72848,0.74279,0.7178670287132263,3.5893351435661316,0.72185,0.67403,0.82993,0.7439,0.83103,0.5336950421333313,5.336950421333313,1713337499,,False,28,22d7d967,2024-04-17_09-04-59,18.839502573013306,571.5384180545807,31356,AT-MB-PC-E13,127.0.0.1,571.5384180545807,28,64,0.0,3,0.0001
0.85,0.82536,0.8411,0.83316,0.9281,0.3426135756513652,11.648861572146416,0.76159,0.73684,0.77778,0.75676,0.78235,0.6155002832412719,3.07750141620636,0.72185,0.72028,0.70068,0.71034,0.81488,0.5373057126998901,5.373057126998901,1713337517,,False,29,22d7d967,2024-04-17_09-05-17,18.575103759765625,590.1135218143463,31356,AT-MB-PC-E13,127.0.0.1,590.1135218143463,29,64,0.0,3,0.0001
0.85566,0.84154,0.83263,0.83706,0.93516,0.3241340070962906,11.02055624127388,0.64901,0.64179,0.59722,0.61871,0.69251,0.8369266390800476,4.184633195400238,0.74503,0.74306,0.72789,0.7354,0.80724,0.5495723485946655,5.495723485946655,1713337536,,False,30,22d7d967,2024-04-17_09-05-36,18.68858027458191,608.8021020889282,31356,AT-MB-PC-E13,127.0.0.1,608.8021020889282,30,64,0.0,3,0.0001
0.86226,0.84534,0.84534,0.84534,0.93035,0.3361687506822979,11.429737523198128,0.74834,0.72973,0.75,0.73973,0.80116,0.6004713296890258,3.0023566484451294,0.7649,0.7375,0.80272,0.76873,0.81023,0.5897868782281875,5.897868782281876,1713337555,,False,31,22d7d967,2024-04-17_09-05-55,19.017500162124634,627.8196022510529,31356,AT-MB-PC-E13,127.0.0.1,627.8196022510529,31,64,0.0,3,0.0001
0.85755,0.84222,0.83686,0.83953,0.93434,0.34123044548665776,11.601835146546364,0.69536,0.68056,0.68056,0.68056,0.77391,0.6681237995624543,3.340618997812271,0.76159,0.76596,0.73469,0.75,0.82107,0.5439701497554779,5.439701497554779,1713337574,,False,32,22d7d967,2024-04-17_09-06-14,18.71197819709778,646.5315804481506,31356,AT-MB-PC-E13,127.0.0.1,646.5315804481506,32,64,0.0,3,0.0001
0.85,0.82004,0.84958,0.83455,0.93064,0.33575508129947323,11.41567276418209,0.69536,0.64444,0.80556,0.71605,0.73066,0.7138541102409363,3.5692705512046814,0.72185,0.66845,0.85034,0.7485,0.80654,0.5899269193410873,5.899269193410873,1713337593,,False,33,22d7d967,2024-04-17_09-06-33,19.116678714752197,665.6482591629028,31356,AT-MB-PC-E13,127.0.0.1,665.6482591629028,33,64,0.0,3,0.0001
0.84717,0.82427,0.83475,0.82947,0.92776,0.36959822344429355,12.56633959710598,0.6755,0.65753,0.66667,0.66207,0.73488,0.7335781931877137,3.667890965938568,0.75166,0.75352,0.72789,0.74048,0.81962,0.558270537853241,5.58270537853241,1713337611,,False,34,22d7d967,2024-04-17_09-06-51,17.908690690994263,683.5569498538971,31356,AT-MB-PC-E13,127.0.0.1,683.5569498538971,34,64,0.0,3,0.0001
0.86038,0.83891,0.84958,0.84421,0.93754,0.31944937872536044,10.861278876662254,0.70199,0.74545,0.56944,0.64567,0.78991,0.6487547159194946,3.243773579597473,0.72848,0.80374,0.58503,0.67717,0.83305,0.551300710439682,5.51300710439682,1713337630,,False,35,22d7d967,2024-04-17_09-07-10,19.316625118255615,702.8735749721527,31356,AT-MB-PC-E13,127.0.0.1,702.8735749721527,35,64,0.0,3,0.0001
0.86321,0.84421,0.84958,0.84688,0.93836,0.32871483266353607,11.176304310560226,0.72185,0.69737,0.73611,0.71622,0.79307,0.6204834699630737,3.1024173498153687,0.7351,0.7006,0.79592,0.74522,0.80707,0.5651537001132965,5.651537001132965,1713337648,,False,36,22d7d967,2024-04-17_09-07-28,17.68165636062622,720.5552313327789,31356,AT-MB-PC-E13,127.0.0.1,720.5552313327789,36,64,0.0,3,0.0001
0.86321,0.84861,0.84322,0.84591,0.9404,0.3043720869018751,10.348650954663754,0.76159,0.73077,0.79167,0.76,0.80046,0.6336109638214111,3.1680548191070557,0.7351,0.68508,0.84354,0.7561,0.83357,0.5493721395730973,5.493721395730972,1713337668,,False,37,22d7d967,2024-04-17_09-07-48,19.994221687316895,740.5494530200958,31356,AT-MB-PC-E13,127.0.0.1,740.5494530200958,37,64,0.0,3,0.0001
0.8717,0.84711,0.86864,0.85774,0.94348,0.3039124007610714,10.333021625876427,0.70861,0.75,0.58333,0.65625,0.77127,0.6838483691215516,3.4192418456077576,0.74503,0.80172,0.63265,0.70722,0.84727,0.530406704545021,5.304067045450211,1713337686,,False,38,22d7d967,2024-04-17_09-08-06,17.85720181465149,758.4066548347473,31356,AT-MB-PC-E13,127.0.0.1,758.4066548347473,38,64,0.0,3,0.0001
0.86887,0.86755,0.83263,0.84973,0.94369,0.30073357241995197,10.224941462278366,0.70861,0.68421,0.72222,0.7027,0.76582,0.6512071371078492,3.2560356855392456,0.74172,0.73469,0.73469,0.73469,0.80838,0.5459168136119843,5.4591681361198425,1713337705,,False,39,22d7d967,2024-04-17_09-08-25,19.844104051589966,778.2507588863373,31356,AT-MB-PC-E13,127.0.0.1,778.2507588863373,39,64,0.0,3,0.0001
0.86792,0.84874,0.85593,0.85232,0.93477,0.32028138681369667,10.889567151665688,0.70199,0.72131,0.61111,0.66165,0.7224,0.8301621556282044,4.150810778141022,0.76159,0.74194,0.78231,0.76159,0.81751,0.5752906382083893,5.752906382083893,1713337723,,False,40,22d7d967,2024-04-17_09-08-43,17.66856813430786,795.9193270206451,31356,AT-MB-PC-E13,127.0.0.1,795.9193270206451,40,64,0.0,3,0.0001
0.86981,0.84937,0.86017,0.85474,0.94995,0.2876914051525733,9.781507775187492,0.71523,0.68831,0.73611,0.71141,0.7834,0.6485672950744629,3.2428364753723145,0.75166,0.73377,0.76871,0.75083,0.82848,0.5197061896324158,5.197061896324158,1713337743,,False,41,22d7d967,2024-04-17_09-09-03,19.609662532806396,815.5289895534515,31356,AT-MB-PC-E13,127.0.0.1,815.5289895534515,41,64,0.0,3,0.0001
0.85943,0.83437,0.85381,0.84398,0.9429,0.2986762677045429,10.15499310195446,0.61589,0.62069,0.5,0.55385,0.72046,0.7861456036567688,3.930728018283844,0.71523,0.72263,0.67347,0.69718,0.81488,0.5793631196022033,5.793631196022034,1713337761,,False,42,22d7d967,2024-04-17_09-09-21,18.480626583099365,834.0096161365509,31356,AT-MB-PC-E13,127.0.0.1,834.0096161365509,42,64,0.0,3,0.0001
0.87642,0.86047,0.86229,0.86138,0.94935,0.28407689972835426,9.658614590764046,0.68212,0.66667,0.66667,0.66667,0.76653,0.6760120332241059,3.380060166120529,0.75828,0.72561,0.80952,0.76527,0.83011,0.5526215761899949,5.526215761899948,1713337781,,False,43,22d7d967,2024-04-17_09-09-41,19.456414699554443,853.4660308361053,31356,AT-MB-PC-E13,127.0.0.1,853.4660308361053,43,64,0.0,3,0.0001
0.87453,0.85093,0.87076,0.86073,0.94995,0.28420519434353886,9.66297660768032,0.70199,0.70149,0.65278,0.67626,0.77057,0.6361179769039154,3.180589884519577,0.76821,0.75839,0.76871,0.76351,0.83476,0.5363427311182022,5.363427311182022,1713337799,,False,44,22d7d967,2024-04-17_09-09-59,18.561399221420288,872.0274300575256,31356,AT-MB-PC-E13,127.0.0.1,872.0274300575256,44,64,0.0,3,0.0001
0.87736,0.87174,0.84958,0.86052,0.95286,0.2903239503502846,9.871014311909676,0.6755,0.64557,0.70833,0.6755,0.75316,0.732352101802826,3.6617605090141296,0.75166,0.6978,0.86395,0.77204,0.83055,0.5494471460580825,5.494471460580826,1713337818,,False,45,22d7d967,2024-04-17_09-10-18,18.783052444458008,890.8104825019836,31356,AT-MB-PC-E13,127.0.0.1,890.8104825019836,45,64,0.0,3,0.0001
0.88585,0.85743,0.89195,0.87435,0.95259,0.2832521007341497,9.63057142496109,0.70861,0.7,0.68056,0.69014,0.79325,0.6242646634578705,3.1213233172893524,0.72848,0.76423,0.63946,0.6963,0.83112,0.5357254981994629,5.357254981994629,1713337837,,False,46,22d7d967,2024-04-17_09-10-37,18.740092277526855,909.5505747795105,31356,AT-MB-PC-E13,127.0.0.1,909.5505747795105,46,64,0.0,3,0.0001
