train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss
0.20655,0.896,0.94809,0.09232,0.30384,0.20656525509334572,312.1201004460454,0.28186,0.81818,0.91145,0.1665,0.40805,0.28183794683880276,91.3154947757721,0.28121,0.81111,0.90597,0.16311,0.40387,0.2812323119077418,91.11926905810833
0.20578,0.8966,0.94819,0.09179,0.30297,0.20577534604238248,310.92654787003994,0.28288,0.81645,0.91157,0.16808,0.40998,0.2828406809748691,91.64038063585758,0.28058,0.81146,0.90706,0.16281,0.4035,0.28054918155626013,90.89793482422829
0.20374,0.89805,0.94912,0.0905,0.30083,0.2037409406221915,307.85256128013134,0.28102,0.81714,0.91255,0.16745,0.4092,0.2810827835382503,91.07082186639309,0.27921,0.81226,0.90782,0.16212,0.40264,0.27918825339939857,90.45699410140514
0.2031,0.89774,0.949,0.09078,0.30129,0.20309001149660227,306.869007371366,0.28323,0.8137,0.91129,0.1706,0.41304,0.2831968720772384,91.75578655302525,0.28253,0.80835,0.90603,0.1655,0.40682,0.2825675681233406,91.55189207196236
0.20185,0.8987,0.94966,0.08992,0.29987,0.201862649253707,305.01446302235126,0.28,0.81781,0.91257,0.16684,0.40846,0.28002136715768294,90.72692295908928,0.2796,0.81176,0.90624,0.16255,0.40318,0.2795811218703971,90.58428348600864
0.20044,0.89993,0.94999,0.08883,0.29804,0.2004314778726437,302.85196306556463,0.28072,0.81695,0.91189,0.16763,0.40942,0.28074859487421716,90.96254473924637,0.27889,0.8154,0.90796,0.15941,0.39926,0.2789587184418867,90.38262477517128
0.20035,0.90024,0.95041,0.08855,0.29758,0.20034118749640148,302.7155343070626,0.28023,0.81753,0.91257,0.1671,0.40877,0.2801285456912017,90.76164880394936,0.27899,0.81337,0.90722,0.16116,0.40145,0.2790150686546608,90.40088224411011
0.19803,0.90207,0.9509,0.08694,0.29485,0.1980337021387941,299.2289239317179,0.28001,0.81826,0.91258,0.16643,0.40795,0.279979534217237,90.71336908638477,0.27985,0.81135,0.90705,0.16291,0.40362,0.2798579973571094,90.67399114370346
0.19731,0.90297,0.95122,0.08613,0.29349,0.1973037483832601,298.125963807106,0.28167,0.8158,0.91189,0.16868,0.41071,0.28166708823891334,91.26013658940792,0.28034,0.81117,0.90655,0.16306,0.4038,0.2803790531132692,90.84281320869923
0.19737,0.90299,0.9514,0.08612,0.29346,0.1973910864509154,298.25793162733316,0.28171,0.81668,0.91137,0.16787,0.40972,0.2817024917882166,91.27160733938217,0.28016,0.81214,0.90671,0.16223,0.40277,0.2802576618154108,90.80348242819309
0.19739,0.90301,0.9513,0.0861,0.29342,0.19739049762329622,298.2570419088006,0.28081,0.81726,0.91239,0.16734,0.40907,0.2808811328385347,91.00548703968525,0.27981,0.81195,0.90704,0.16239,0.40297,0.27981153351289256,90.65893685817719
0.19609,0.90365,0.95195,0.08553,0.29246,0.19608444589344892,296.2835977450013,0.28071,0.81686,0.91246,0.16771,0.40952,0.2808152925637033,90.98415479063988,0.27792,0.81371,0.90779,0.16087,0.40108,0.27793541964557433,90.05107596516609
0.19585,0.90308,0.95177,0.08604,0.29332,0.1958514136945783,295.93148609250784,0.28097,0.81683,0.91245,0.16774,0.40956,0.2811733978214087,91.10018089413643,0.2794,0.81243,0.90718,0.16197,0.40246,0.2793556800411071,90.51124033331871
0.19512,0.90445,0.95217,0.08482,0.29123,0.19511257418234723,294.81509958952665,0.28179,0.81569,0.91189,0.16878,0.41083,0.28169115752349666,91.26793503761292,0.2798,0.81196,0.90674,0.16238,0.40296,0.2797595914683224,90.64210763573647
0.19514,0.90414,0.95183,0.0851,0.29171,0.19513242787907725,294.8450985252857,0.28005,0.8174,0.91242,0.16722,0.40892,0.2799245201419165,90.69554452598095,0.27834,0.81414,0.90747,0.1605,0.40062,0.2783011686470773,90.16957864165306
0.19509,0.90432,0.952,0.08494,0.29144,0.19508909712182537,294.77962575107813,0.28029,0.81793,0.91237,0.16673,0.40832,0.2803297479303531,90.8268383294344,0.27884,0.81343,0.90764,0.16111,0.40139,0.2788413149063234,90.34458602964878
0.19421,0.90467,0.95252,0.08462,0.2909,0.19421333907890762,293.4563553482294,0.28031,0.81822,0.91283,0.16646,0.408,0.28035155021482044,90.83390226960182,0.27883,0.81286,0.9075,0.1616,0.402,0.2788322204608976,90.34163942933083
0.19459,0.90499,0.95216,0.08434,0.29042,0.19458377748372774,294.0160877779126,0.28089,0.81741,0.9123,0.1672,0.40891,0.2808523876247583,90.99617359042168,0.27984,0.81049,0.90688,0.16365,0.40454,0.2799291186678557,90.69703444838524
0.1942,0.90481,0.95222,0.0845,0.29069,0.19420561295010094,293.44468116760254,0.28072,0.81729,0.91231,0.16731,0.40904,0.28081689430055795,90.98467375338078,0.27942,0.81221,0.90695,0.16216,0.40269,0.27942187550627157,90.53268766403198
