train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/modules/1/times
0.4999,0.49995,0.95563,0.65646,0.50001,0.7521162671156418,234.66027534008026,0.5,0.5,0.9596,0.65744,0.50001,0.7547592465489056,236.23964416980743,1714465335,,False,1,96084731,2024-04-30_10-22-15,572.715667963028,572.715667963028,63172,AT-MB-PC-E13,127.0.0.1,572.715667963028,1,1
0.5,0.5,0.53896,0.51875,0.50006,0.6945854996641477,216.71067589521408,0.5005,0.50042,0.5902,0.54162,0.50035,0.6934319178517253,217.04419028759003,1714465848,,False,2,96084731,2024-04-30_10-30-48,512.9901452064514,1085.7058131694794,63172,AT-MB-PC-E13,127.0.0.1,1085.7058131694794,2,1
0.50075,0.50072,0.51993,0.51015,0.50128,0.6933239715603682,216.31707912683487,0.5018,0.50207,0.4364,0.46694,0.5027,0.693296421450167,217.00177991390228,1714466311,,False,3,96084731,2024-04-30_10-38-31,462.6995379924774,1548.4053511619568,63172,AT-MB-PC-E13,127.0.0.1,1548.4053511619568,3,1
0.54637,0.54516,0.5598,0.55238,0.57406,0.6790430769324303,211.86144000291824,0.5023,0.89655,0.0052,0.01034,0.61542,1.3647918916357973,427.17986208200455,1714466814,,False,4,96084731,2024-04-30_10-46-54,503.0527811050415,2051.4581322669983,63172,AT-MB-PC-E13,127.0.0.1,2051.4581322669983,4,1
0.67909,0.67927,0.67859,0.67893,0.77473,0.5452257170318029,170.1104237139225,0.6761,0.70979,0.5958,0.64782,0.78213,0.5486318584257802,171.7217716872692,1714467309,,False,5,96084731,2024-04-30_10-55-09,495.68336820602417,2547.1415004730225,63172,AT-MB-PC-E13,127.0.0.1,2547.1415004730225,5,1
0.69451,0.69533,0.69241,0.69387,0.79962,0.5124206385360315,159.8752392232418,0.682,0.67086,0.7146,0.69204,0.78762,0.5267948058847421,164.8867742419243,1714467850,,False,6,96084731,2024-04-30_11-04-10,540.0562880039215,3087.197788476944,63172,AT-MB-PC-E13,127.0.0.1,3087.197788476944,6,1
0.69827,0.69981,0.69441,0.6971,0.80909,0.49118395952078014,153.2493953704834,0.6867,0.67859,0.7094,0.69365,0.7966,0.5108324777775298,159.89056554436684,1714468386,,False,7,96084731,2024-04-30_11-13-06,536.8350658416748,3624.032854318619,63172,AT-MB-PC-E13,127.0.0.1,3624.032854318619,7,1
0.70092,0.69861,0.70673,0.70265,0.81326,0.4852625853740252,151.40192663669586,0.6776,0.6398,0.8128,0.716,0.79028,0.5190285011983147,162.45592087507248,1714468855,,False,8,96084731,2024-04-30_11-20-55,468.4267809391022,4092.459635257721,63172,AT-MB-PC-E13,127.0.0.1,4092.459635257721,8,1
0.70378,0.70294,0.70583,0.70438,0.81759,0.4783495091474973,149.24504685401917,0.6802,0.67421,0.6974,0.68561,0.79184,0.5111501408270753,159.9899940788746,1714469281,,False,9,96084731,2024-04-30_11-28-01,425.9236238002777,4518.383259057999,63172,AT-MB-PC-E13,127.0.0.1,4518.383259057999,9,1
0.70618,0.70069,0.71985,0.71014,0.82111,0.47107638380466366,146.97583174705505,0.6758,0.62266,0.8924,0.73352,0.7934,0.5754165268553713,180.1053729057312,1714469706,,True,10,96084731,2024-04-30_11-35-06,425.503782749176,4943.887041807175,63172,AT-MB-PC-E13,127.0.0.1,4943.887041807175,10,1
