train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.07743,0.92245,0.17328,0.64676,0.2592899812495007,44.07929681241512,0.07345,0.92671,0.18172,0.64662,0.25099788427352904,6.274947106838226,1714573106,,True,100,3d39717c,2024-05-01_16-18-26,121.14431428909302,12399.191810131073,6688,AT-MB-PC-EOS,127.0.0.1,12399.191810131073,100,64,3,0.5,1e-05,3d39717c
0.07743,0.92919,0.34301,0.81352,0.19945083742632586,33.906642362475395,0.07345,0.9326,0.34444,0.78842,0.1947469735145569,4.868674337863922,1714576906,,True,100,d4327431,2024-05-01_17-21-46,166.20337343215942,16190.908888101578,14056,AT-MB-PC-EOS,127.0.0.1,16190.908888101578,100,256,6,0.5,0.001,d4327431
0.07743,0.5876,0.08764,0.50139,0.6644770629265729,112.9611006975174,0.07345,0.66683,0.1146,0.53819,0.6239863657951354,15.599659144878387,1714561346,,True,5,0ff37913,2024-05-01_13-02-26,121.84534525871277,622.5175666809082,18192,AT-MB-PC-EOS,127.0.0.1,622.5175666809082,5,64,3,0.5,1e-05,0ff37913
0.07743,0.66004,0.09744,0.52884,0.6139229855116676,104.36690753698349,0.07345,0.78434,0.10731,0.50867,0.5312049198150635,13.280122995376587,1714562173,,True,5,3b24b3fc,2024-05-01_13-16-13,161.2407829761505,817.9986782073975,24532,AT-MB-PC-EOS,127.0.0.1,817.9986782073975,5,64,6,0.5,1e-05,3b24b3fc
0.07743,0.91802,0.1029,0.52283,0.32455890275099697,55.17501346766949,0.07345,0.9239,0.1176,0.51097,0.30726809442043307,7.681702360510826,1714562796,,True,5,faf4847c,2024-05-01_13-26-36,120.54215860366821,614.3008525371552,21352,AT-MB-PC-EOS,127.0.0.1,614.3008525371552,5,64,3,0.0,0.0001,faf4847c
0.07743,0.93248,0.42558,0.84418,0.18588637571562738,31.600683871656656,0.07345,0.93494,0.37192,0.81278,0.19273816853761672,4.818454213440418,1714575253,,True,100,f4d2b759,2024-05-01_16-54-13,124.86074423789978,12447.475317955017,4452,AT-MB-PC-EOS,127.0.0.1,12447.475317955017,100,256,3,0.5,0.001,f4d2b759
0.07743,0.91114,0.08438,0.49362,0.34366734974524554,58.42344945669174,0.07345,0.92121,0.10969,0.54185,0.32490301847457886,8.122575461864471,1714574206,,True,5,4b39d032,2024-05-01_16-36-46,214.65342712402344,1085.0311918258667,22112,AT-MB-PC-EOS,127.0.0.1,1085.0311918258667,5,256,10,0.5,0.0001,4b39d032
0.07743,0.80038,0.07493,0.46842,0.5000898320885265,85.01527145504951,0.07345,0.86822,0.08627,0.48148,0.43581785678863527,10.895446419715881,1714575300,,True,5,89cf149a,2024-05-01_16-55-00,213.82860946655273,1085.069995880127,12628,AT-MB-PC-EOS,127.0.0.1,1085.069995880127,5,256,10,0.2,1e-05,89cf149a
0.07743,0.92423,0.25408,0.71894,0.23691401095951306,40.27538186311722,0.07345,0.91648,0.21495,0.66866,0.2613836890459061,6.534592226147652,1714577736,,True,15,ee208044,2024-05-01_17-35-36,162.45778799057007,2474.1636447906494,18776,AT-MB-PC-EOS,127.0.0.1,2474.1636447906494,15,64,6,0.2,0.0001,ee208044
0.07743,0.58766,0.08763,0.5014,0.6644850138355703,112.96245235204697,0.07345,0.66739,0.11456,0.53821,0.6240048789978028,15.600121974945068,1714575940,,True,5,dd05e943,2024-05-01_17-05-40,123.18831658363342,630.2210831642151,19908,AT-MB-PC-EOS,127.0.0.1,630.2210831642151,5,256,3,0.5,1e-05,dd05e943
