train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
5.369999885559082,-32.58,-0.06,29.809999465942383,5.460000038146973,5.370729774611427,8115.172689437866,5.340000152587891,-31.27,-0.07,29.549999237060547,5.440000057220459,5.344312230745952,1731.5571627616882,5.380000114440918,-33.56,-0.07,29.84000015258789,5.460000038146973,5.3758410877651635,1741.772512435913,1713223790,,False,1,ed52b8d8,2024-04-15_23-29-50,390.70317697525024,390.70317697525024,1738553,vader,131.130.125.97,390.70317697525024,1,64,0.0,3,0.0001
1.600000023841858,-4.44,0.26,4.829999923706055,2.200000047683716,1.599419001590961,2416.722111403942,0.8100000023841858,-0.38,0.53,1.2699999809265137,1.1299999952316284,0.8091451027143148,262.163013279438,0.8399999737739563,-0.64,0.49,1.4199999570846558,1.190000057220459,0.8428599552055935,273.0866254866123,1713224136,,False,2,ed52b8d8,2024-04-15_23-35-36,345.9289073944092,736.6320843696594,1738553,vader,131.130.125.97,736.6320843696594,2,64,0.0,3,0.0001
0.7300000190734863,-0.14,0.56,1.0099999904632568,1.0099999904632568,0.7334299798559306,1108.2126995623112,0.6100000143051147,0.28,0.69,0.6600000262260437,0.8100000023841858,0.6092717779087432,197.40405604243279,0.6200000047683716,0.21,0.67,0.6800000071525574,0.8199999928474426,0.621289643884441,201.29784461855888,1713224475,,False,3,ed52b8d8,2024-04-15_23-41-15,339.16022872924805,1075.7923130989075,1738553,vader,131.130.125.97,1075.7923130989075,3,64,0.0,3,0.0001
0.5899999737739563,0.27,0.66,0.6399999856948853,0.800000011920929,0.5923721028983712,895.0742474794388,0.5600000023841858,0.37,0.74,0.5699999928474426,0.7599999904632568,0.5567153924961149,180.37578716874123,0.5600000023841858,0.36,0.73,0.5600000023841858,0.75,0.5558962680307435,180.1103908419609,1713224833,,False,4,ed52b8d8,2024-04-15_23-47-13,357.99677991867065,1433.7890930175781,1738553,vader,131.130.125.97,1433.7890930175781,4,64,0.0,3,0.0001
0.550000011920929,0.37,0.7,0.5600000023841858,0.75,0.5504313492561949,831.7017687261105,0.5199999809265137,0.42,0.76,0.5299999713897705,0.7300000190734863,0.5229469821041013,169.43482220172882,0.5199999809265137,0.42,0.75,0.5,0.7099999785423279,0.5207828826006548,168.73365396261215,1713225201,,False,5,ed52b8d8,2024-04-15_23-53-21,368.15859508514404,1801.9476881027222,1738553,vader,131.130.125.97,1801.9476881027222,5,64,0.0,3,0.0001
0.5299999713897705,0.42,0.73,0.5099999904632568,0.7200000286102295,0.5252453317948321,793.6456963419914,0.5899999737739563,0.29,0.69,0.6499999761581421,0.8100000023841858,0.5885460861487153,190.68893191218376,0.5899999737739563,0.27,0.68,0.6299999952316284,0.800000011920929,0.5873088965445389,190.2880824804306,1713225562,,False,6,ed52b8d8,2024-04-15_23-59-22,361.0410485267639,2162.988736629486,1738553,vader,131.130.125.97,2162.988736629486,6,64,0.0,3,0.0001
0.5,0.47,0.74,0.4699999988079071,0.6800000071525574,0.5039702159612088,761.4989963173866,0.4699999988079071,0.52,0.77,0.4399999976158142,0.6600000262260437,0.46538685933675294,150.78534242510796,0.4699999988079071,0.49,0.76,0.4399999976158142,0.6600000262260437,0.4722306858058329,153.00274220108986,1713225919,,False,7,ed52b8d8,2024-04-16_00-05-19,357.1707594394684,2520.1594960689545,1738553,vader,131.130.125.97,2520.1594960689545,7,64,0.0,3,0.0001
0.47999998927116394,0.51,0.76,0.4300000071525574,0.6600000262260437,0.4836279149484666,730.761779487133,0.4699999988079071,0.52,0.76,0.4399999976158142,0.6700000166893005,0.47359091241234613,153.44345562160015,0.4699999988079071,0.52,0.75,0.4099999964237213,0.6399999856948853,0.4704740948883104,152.43360674381256,1713226273,,False,8,ed52b8d8,2024-04-16_00-11-13,353.1452295780182,2873.3047256469727,1738553,vader,131.130.125.97,2873.3047256469727,8,64,0.0,3,0.0001
0.47999998927116394,0.53,0.77,0.41999998688697815,0.6499999761581421,0.47518610041083126,718.0061977207661,0.44999998807907104,0.59,0.81,0.3799999952316284,0.6100000143051147,0.4501789483575173,145.85797926783562,0.44999998807907104,0.59,0.81,0.3499999940395355,0.5899999737739563,0.44653268305607785,144.67658931016922,1713226631,,False,9,ed52b8d8,2024-04-16_00-17-11,358.4056649208069,3231.7103905677795,1738553,vader,131.130.125.97,3231.7103905677795,9,64,0.0,3,0.0001
0.46000000834465027,0.55,0.78,0.4000000059604645,0.6299999952316284,0.4633074538310106,700.057562738657,0.49000000953674316,0.52,0.77,0.4399999976158142,0.6600000262260437,0.4904388032025761,158.90217223763466,0.49000000953674316,0.5,0.75,0.4300000071525574,0.6600000262260437,0.4925872297198684,159.59826242923737,1713226989,,False,10,ed52b8d8,2024-04-16_00-23-09,358.20451831817627,3589.914908885956,1738553,vader,131.130.125.97,3589.914908885956,10,64,0.0,3,0.0001
