train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss
0.26383,0.83437,0.92076,0.14703,0.38344,0.26383426475808924,398.6535740494728,0.30783,0.78372,0.90079,0.19805,0.44503,0.3078338009891687,99.73815152049065,0.30471,0.77778,0.89435,0.1919,0.43806,0.304807575672497,98.75765451788902
0.26202,0.83738,0.92219,0.14435,0.37994,0.2620352105361432,395.9352031201124,0.30627,0.77737,0.90007,0.20387,0.45152,0.3064141679141257,99.27819040417671,0.30257,0.77341,0.8951,0.19567,0.44234,0.30254144267535504,98.02342742681503
0.25941,0.83848,0.92293,0.14338,0.37866,0.2594126999910741,391.97258968651295,0.30657,0.78,0.89989,0.20146,0.44885,0.3064461913373735,99.28856599330902,0.30025,0.77827,0.89604,0.19147,0.43758,0.3001866518623299,97.26047520339489
0.25754,0.8411,0.92391,0.14105,0.37557,0.25753777705423886,389.1395811289549,0.30784,0.77756,0.89913,0.20369,0.45132,0.3077826288839181,99.72157175838947,0.30181,0.77672,0.89513,0.19281,0.4391,0.3018828343921973,97.81003834307194
0.25497,0.84369,0.92527,0.13876,0.3725,0.2549663657762608,385.2541786879301,0.31096,0.77306,0.89952,0.20781,0.45586,0.3108729784043483,100.72284500300884,0.3045,0.77283,0.89625,0.19617,0.44291,0.30442263342348147,98.63293322920799
0.25311,0.84645,0.92616,0.1363,0.36919,0.2531003043854339,382.43455992639065,0.30413,0.78079,0.89995,0.20074,0.44804,0.30398113786438363,98.4898886680603,0.30045,0.77816,0.89582,0.19157,0.43768,0.3004551798933082,97.34747828543186
0.2492,0.84976,0.92804,0.13336,0.36519,0.2492023310978471,376.54472228884697,0.30543,0.77974,0.90018,0.2017,0.44911,0.3054351922998458,98.96100230515003,0.30048,0.77749,0.8958,0.19215,0.43835,0.3005284788891857,97.37122716009617
0.24793,0.85108,0.929,0.1322,0.36359,0.24791841719775387,374.6047283858061,0.30597,0.7854,0.90077,0.19651,0.4433,0.30587085313451146,99.1021564155817,0.30155,0.78137,0.89717,0.1888,0.43451,0.3014953011807836,97.68447758257389
0.2449,0.85455,0.93033,0.12911,0.35932,0.24489708585032244,370.0394967198372,0.30481,0.78532,0.90115,0.19659,0.44338,0.3049254358550649,98.79584121704102,0.29761,0.78428,0.89874,0.18628,0.43161,0.297676005297237,96.44702571630478
0.24273,0.85644,0.93115,0.12744,0.35698,0.2427396399741296,366.7795960009098,0.30593,0.78218,0.89965,0.19947,0.44662,0.30587696205870607,99.10413570702076,0.30052,0.77812,0.89604,0.1916,0.43772,0.30061694515156157,97.39989022910595
0.24071,0.85883,0.93196,0.12531,0.354,0.24072262512619808,363.7318865656853,0.30369,0.78315,0.89942,0.19858,0.44562,0.3035850784292928,98.36156541109085,0.30061,0.77923,0.89549,0.19064,0.43662,0.30057535628661697,97.3864154368639
0.23792,0.86101,0.93359,0.12338,0.35125,0.23791990937045046,359.49698305875063,0.30215,0.78605,0.90141,0.19592,0.44263,0.3022038099574454,97.91403442621231,0.29762,0.78036,0.89694,0.18967,0.43551,0.2976666338465832,96.44398936629295
0.2355,0.86337,0.93464,0.12128,0.34826,0.23549805458297327,355.8375604748726,0.30239,0.78322,0.90239,0.19851,0.44555,0.3023287548603099,97.95451657474041,0.29694,0.78133,0.8987,0.18883,0.43454,0.29686974375336256,96.18579697608948
0.2332,0.86562,0.93533,0.11929,0.34538,0.23319914812760822,352.36391282081604,0.29972,0.78646,0.9026,0.19555,0.44221,0.2995800744328234,97.06394411623478,0.29529,0.78472,0.89863,0.1859,0.43116,0.29528014118104806,95.67076574265957
0.23139,0.86696,0.93611,0.1181,0.34365,0.23141911529216602,349.67428320646286,0.29923,0.78908,0.90333,0.19315,0.43949,0.2993484185433682,96.9888876080513,0.29524,0.78404,0.89777,0.18649,0.43184,0.29526318283176717,95.66527123749256
0.22951,0.86914,0.93703,0.11616,0.34083,0.2295217945737842,346.8074316009879,0.3037,0.78529,0.90152,0.19662,0.44341,0.30372148991366965,98.40576273202896,0.29728,0.78281,0.89822,0.18756,0.43308,0.2972769023459635,96.31771636009216
0.22737,0.87173,0.93814,0.11387,0.33744,0.22738674956587748,343.58137859404087,0.29896,0.78933,0.90233,0.19292,0.43923,0.29899291942516965,96.87370589375496,0.296,0.78256,0.89749,0.18776,0.43332,0.29608729711653275,95.9322842657566
0.2262,0.87272,0.93867,0.11298,0.33613,0.2262077722908013,341.7999439314008,0.30167,0.78401,0.90266,0.19779,0.44474,0.30180072007171904,97.78343330323696,0.29679,0.78115,0.89828,0.18899,0.43473,0.2967888144891203,96.15957589447498
0.22442,0.87314,0.93932,0.11261,0.33558,0.22440930650200297,339.0824621245265,0.29956,0.78978,0.90299,0.19251,0.43876,0.3000760172252302,97.22462958097458,0.29378,0.78562,0.89927,0.18513,0.43026,0.29372830670556904,95.16797137260437
0.22226,0.87592,0.94034,0.11014,0.33188,0.22226651448295418,335.84470338374376,0.30021,0.78853,0.90277,0.19365,0.44006,0.30026406408460055,97.28555676341057,0.29412,0.78577,0.90006,0.18499,0.43011,0.2941465576489766,95.30348467826843
