train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss
6.66832,-51.09749,0.02072,46.24639,6.80047,6.668310304574821,10075.816870212555,6.64571,-49.20394,0.02839,45.97331,6.78036,6.646233354085758,2153.3796067237854,6.66072,-52.43451,0.02944,46.1427,6.79284,6.6608670699743575,2158.120930671692
1.13162,-1.93118,0.39591,2.60198,1.61306,1.1315717094785562,1709.8048530220985,0.74244,-0.06706,0.5769,0.97714,0.9885,0.7424639504816797,240.55831995606422,0.74771,-0.1319,0.56364,0.97744,0.98865,0.7475210652675157,242.1968251466751
0.6857,0.08046,0.60755,0.81627,0.90347,0.6856835995148066,1036.0679188668728,0.64328,0.1421,0.65674,0.78561,0.88634,0.6430638383752034,208.3526836335659,0.62929,0.17285,0.65763,0.71428,0.84515,0.6293365408057048,203.90503922104836
0.59514,0.29945,0.6774,0.62187,0.78859,0.5951255242174466,899.2346670925617,0.55825,0.37302,0.69503,0.57415,0.75772,0.558347109567236,180.90446349978447,0.54729,0.39221,0.6886,0.52485,0.72447,0.5472695094383793,177.3153210580349
0.53659,0.42337,0.7202,0.51187,0.71545,0.5365750143103534,810.7648466229439,0.6452,0.18471,0.72037,0.74659,0.86405,0.6448974056560316,208.94675943255424,0.63365,0.20163,0.71713,0.68942,0.83031,0.6336641596791185,205.3071877360344
0.50163,0.49066,0.74946,0.45213,0.67241,0.5016292834778956,757.9618473351002,0.51162,0.47953,0.77486,0.47661,0.69037,0.5116735139378795,165.78221851587296,0.50676,0.47771,0.76844,0.45102,0.67158,0.5066535184044897,164.15573996305466
0.47004,0.54495,0.77286,0.40394,0.63556,0.470017847302416,710.1969672739506,0.59963,0.31716,0.81309,0.6253,0.79076,0.5997421002866309,194.31644049286842,0.58562,0.33335,0.81347,0.57568,0.75873,0.5854942303748778,189.70013064146042
0.45109,0.57732,0.78818,0.3752,0.61254,0.4511001874168214,681.6123831868172,0.62973,0.24257,0.8279,0.69361,0.83283,0.630039397765089,204.13276487588882,0.61862,0.2549,0.82898,0.64342,0.80213,0.6185910171932645,200.42348957061768
0.43077,0.60863,0.80404,0.34742,0.58942,0.4307682513204495,650.8908277451992,0.47844,0.48588,0.82574,0.4708,0.68615,0.4783428176133721,154.98307290673256,0.46756,0.51171,0.82508,0.42165,0.64935,0.4674777035359983,151.46277594566345
0.4231,0.62077,0.80973,0.33664,0.58021,0.42310570381596574,639.3127184659243,0.53621,0.41176,0.80873,0.53867,0.73394,0.5361993801262643,173.72859916090965,0.52352,0.42247,0.8039,0.49872,0.7062,0.5235613788719531,169.6338867545128
0.41615,0.63315,0.8152,0.32565,0.57065,0.41614973999702876,628.8022571355104,0.93437,-0.22942,0.80335,1.12582,1.06105,0.9342927250229283,302.71084290742874,0.93439,-0.29391,0.79562,1.11734,1.05704,0.9342787124124574,302.7063028216362
0.40468,0.64852,0.82374,0.312,0.55857,0.4046568283472213,611.4364676326513,0.41646,0.64809,0.84528,0.32225,0.56767,0.4165353394216961,134.95744997262955,0.40984,0.66381,0.8475,0.29031,0.5388,0.4100529882642958,132.85716819763184
0.39957,0.65828,0.82814,0.30334,0.55077,0.39956098425120096,603.7366472035646,0.37898,0.66891,0.84605,0.30319,0.55063,0.3789860832930347,122.79149098694324,0.3735,0.69433,0.8432,0.26396,0.51377,0.3735046147104399,121.01549516618252
0.39249,0.67343,0.83562,0.28989,0.53842,0.3924879946115394,593.049359858036,0.62386,0.35159,0.83117,0.59377,0.77057,0.6236431829539346,202.0603912770748,0.6204,0.33442,0.83291,0.57475,0.75812,0.6206825426147308,201.10114380717278
0.38546,0.68205,0.83966,0.28224,0.53126,0.385460137709492,582.4302680790424,0.43322,0.64742,0.86098,0.32287,0.56821,0.4330878128056173,140.32045134902,0.42947,0.64454,0.85643,0.30695,0.55403,0.42943151626322007,139.1358112692833
0.38219,0.68794,0.8436,0.27701,0.52632,0.38218402022324516,577.4800545573235,0.36207,0.69754,0.86261,0.27697,0.52628,0.3619387600524926,117.2681582570076,0.35135,0.71883,0.8635,0.2428,0.49275,0.351407586608404,113.8560580611229
0.37753,0.6974,0.84715,0.26862,0.51828,0.3775465811900474,570.4728841781616,0.36443,0.71495,0.8665,0.26103,0.51091,0.36438230494106255,118.05986680090427,0.35891,0.72823,0.86675,0.23468,0.48444,0.35883698037561074,116.26318164169788
0.3757,0.70445,0.84863,0.26236,0.51221,0.3757082640355506,567.6951869577169,0.37427,0.71393,0.86506,0.26196,0.51182,0.37412277121602755,121.21577787399292,0.36999,0.71556,0.86324,0.24563,0.49561,0.3699623352767509,119.86779662966728
0.37005,0.7114,0.85353,0.25619,0.50615,0.37004343250151267,559.1356265097857,0.35604,0.72792,0.8669,0.24915,0.49915,0.3559412128855417,115.3249529749155,0.34952,0.73629,0.86571,0.22772,0.4772,0.34954971691340575,113.25410827994347
0.36727,0.71339,0.85521,0.25442,0.5044,0.36725795290708385,554.9267668426037,0.38182,0.68049,0.87888,0.29258,0.54091,0.3818504372036751,123.71954165399075,0.37378,0.6943,0.87621,0.26398,0.51379,0.3737605522720166,121.09841893613338
0.36819,0.71299,0.85436,0.25477,0.50475,0.3681982531009487,556.3475604355335,0.35665,0.72509,0.872,0.25175,0.50174,0.35656894012181845,115.52833659946918,0.34861,0.73438,0.87,0.22937,0.47893,0.3485604078957328,112.93357215821743
0.36239,0.72266,0.85971,0.24619,0.49617,0.3623927508084526,547.5754464715719,0.35682,0.73793,0.87276,0.23999,0.48989,0.3566961322485665,115.56954684853554,0.35676,0.72528,0.86557,0.23723,0.48706,0.35671129468598484,115.57445947825909
0.36117,0.72461,0.86022,0.24446,0.49443,0.3611722174935748,545.7312206327915,0.37591,0.67826,0.86576,0.29462,0.54279,0.3757601986052813,121.74630434811115,0.36402,0.70051,0.86598,0.25862,0.50855,0.36396550897646834,117.92482490837574
0.35993,0.72525,0.86045,0.24389,0.49385,0.35993939176606154,543.868420958519,0.34416,0.73152,0.87786,0.24586,0.49584,0.3441036600665546,111.48958586156368,0.33848,0.74966,0.8776,0.21618,0.46495,0.33857996025939047,109.69990712404251
