train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/modules/1/times
0.49965,0.49954,0.37891,0.43094,0.49985,0.7186783393606161,224.22764188051224,0.5007,0.50085,0.4122,0.45222,0.50139,0.7206210754930783,225.5543966293335,1714565846,,False,1,5e9b08a7,2024-05-01_14-17-26,480.4218451976776,480.4218451976776,33056,AT-MB-PC-E13,127.0.0.1,480.4218451976776,1,3
0.7163,0.71589,0.71725,0.71657,0.82407,0.4808301765423937,150.01901508122683,0.8632,0.90302,0.8138,0.85609,0.94417,0.3093149910886257,96.81559221073985,1714566283,,False,2,5e9b08a7,2024-05-01_14-24-43,436.6249933242798,917.0468385219574,33056,AT-MB-PC-E13,127.0.0.1,917.0468385219574,2,3
0.91687,0.92091,0.91206,0.91647,0.98225,0.16825796279889077,52.49648439325392,0.8952,0.89504,0.8954,0.89522,0.97295,0.22787135447890233,71.32373395189643,1714566730,,False,3,5e9b08a7,2024-05-01_14-32-10,447.3348665237427,1364.3817050457,33056,AT-MB-PC-E13,127.0.0.1,1364.3817050457,3,3
0.94892,0.95091,0.94671,0.94881,0.99199,0.11464952612116647,35.77065214980394,0.9195,0.94298,0.893,0.91731,0.98427,0.15331203214074382,47.98666606005281,1714567172,,False,4,5e9b08a7,2024-05-01_14-39-32,441.7312035560608,1806.1129086017609,33056,AT-MB-PC-E13,127.0.0.1,1806.1129086017609,4,3
0.95598,0.95639,0.95553,0.95596,0.99393,0.09956643609136033,31.06472806050442,0.9122,0.93099,0.8904,0.91024,0.98143,0.16871149098268523,52.806696677580476,1714567634,,False,5,5e9b08a7,2024-05-01_14-47-14,461.90072989463806,2268.013638496399,33056,AT-MB-PC-E13,127.0.0.1,2268.013638496399,5,3
0.95598,0.95539,0.95663,0.95601,0.99396,0.09788633568603426,30.54053673404269,0.92,0.90462,0.939,0.92149,0.98522,0.1517639265569766,47.502109012333676,1714568093,,False,6,5e9b08a7,2024-05-01_14-54-53,459.3259711265564,2727.3396096229553,33056,AT-MB-PC-E13,127.0.0.1,2727.3396096229553,6,3
0.96179,0.96054,0.96314,0.96184,0.99499,0.08848799780398856,27.608255314844428,0.9157,0.8795,0.9634,0.91954,0.97978,0.18475540591249118,57.82844205060974,1714568536,,False,7,5e9b08a7,2024-05-01_15-02-16,443.24128818511963,3170.580897808075,33056,AT-MB-PC-E13,127.0.0.1,3170.580897808075,7,3
0.95959,0.95899,0.96024,0.95961,0.99487,0.09018454051170594,28.137576639652252,0.9212,0.95565,0.8834,0.9181,0.98452,0.1575356587171019,49.308661178452894,1714569007,,False,8,5e9b08a7,2024-05-01_15-10-07,470.320588350296,3640.901486158371,33056,AT-MB-PC-E13,127.0.0.1,3640.901486158371,8,3
0.96424,0.96471,0.96374,0.96422,0.99559,0.08329478475766686,25.98797284439206,0.92,0.89444,0.9524,0.92251,0.98456,0.1588806580877104,49.72964598145336,1714569467,,False,9,5e9b08a7,2024-05-01_15-17-47,460.43606400489807,4101.337550163269,33056,AT-MB-PC-E13,127.0.0.1,4101.337550163269,9,3
0.9665,0.96542,0.96765,0.96653,0.99604,0.07838577446632254,24.456361633492634,0.9275,0.95683,0.8954,0.9251,0.98721,0.16423268943798905,51.40483179409057,1714569922,,True,10,5e9b08a7,2024-05-01_15-25-22,455.0426695346832,4556.380219697952,33056,AT-MB-PC-E13,127.0.0.1,4556.380219697952,10,3
