train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_ranking_accuracy_0.1,val_ranking_accuracy_0.2,val_ranking_accuracy_0.3,val_ranking_accuracy_0.4,val_ranking_accuracy_0.5,val_ranking_accuracy_0.6,val_ranking_accuracy_0.7,val_ranking_accuracy_0.8,val_ranking_accuracy_0.9,val_ranking_accuracy_1.0,val_ranking_accuracy_1.1,val_ranking_accuracy_1.2,val_ranking_accuracy_1.3,val_ranking_accuracy_1.4,val_ranking_accuracy_1.5,val_ranking_accuracy_1.6,val_ranking_accuracy_1.7,val_ranking_accuracy_1.8,val_ranking_accuracy_1.9,val_ranking_accuracy_2.0,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_ranking_accuracy_0.1,test_ranking_accuracy_0.2,test_ranking_accuracy_0.3,test_ranking_accuracy_0.4,test_ranking_accuracy_0.5,test_ranking_accuracy_0.6,test_ranking_accuracy_0.7,test_ranking_accuracy_0.8,test_ranking_accuracy_0.9,test_ranking_accuracy_1.0,test_ranking_accuracy_1.1,test_ranking_accuracy_1.2,test_ranking_accuracy_1.3,test_ranking_accuracy_1.4,test_ranking_accuracy_1.5,test_ranking_accuracy_1.6,test_ranking_accuracy_1.7,test_ranking_accuracy_1.8,test_ranking_accuracy_1.9,test_ranking_accuracy_2.0,test_mean_loss,test_sum_loss
6.45,-48.5,-0.43,43.94,6.63,6.447489752674734,9735.709526538849,6.38,-46.1,-0.45,43.13,6.57,0.34,0.33,0.32,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.19,0.19,0.18,0.17,0.18,6.3816071248348845,2067.6407084465027,6.46,-50.03,-0.44,44.07,6.64,0.35,0.35,0.34,0.32,0.32,0.31,0.3,0.29,0.28,0.27,0.25,0.25,0.24,0.23,0.22,0.21,0.22,0.21,0.21,0.21,6.456640474590254,2091.9515137672424
1.33,-3.32,0.35,3.84,1.96,1.328965174875512,2006.7374140620232,0.73,-0.15,0.57,1.05,1.03,0.72,0.73,0.75,0.76,0.77,0.78,0.78,0.8,0.8,0.81,0.82,0.83,0.83,0.84,0.84,0.86,0.86,0.86,0.86,0.87,0.7295593988196349,236.37724521756172,0.73,-0.26,0.57,1.09,1.04,0.71,0.72,0.74,0.75,0.77,0.78,0.79,0.8,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.86,0.87,0.87,0.87,0.87,0.7329701153952398,237.4823173880577
0.64,0.13,0.64,0.77,0.88,0.6355228944527392,959.6395706236362,0.53,0.42,0.72,0.53,0.73,0.77,0.79,0.8,0.81,0.83,0.84,0.86,0.86,0.88,0.89,0.9,0.9,0.91,0.91,0.91,0.92,0.92,0.92,0.93,0.93,0.5347529142911052,173.25994423031807,0.53,0.42,0.71,0.5,0.71,0.77,0.78,0.8,0.81,0.83,0.85,0.86,0.87,0.88,0.9,0.9,0.91,0.91,0.92,0.93,0.93,0.94,0.95,0.95,0.96,0.5252835142575665,170.19185861945152
0.49,0.49,0.75,0.45,0.67,0.49396668871901683,745.8896999657154,0.43,0.58,0.81,0.38,0.62,0.83,0.84,0.86,0.88,0.89,0.9,0.91,0.92,0.93,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.43420117173665834,140.6811796426773,0.42,0.6,0.81,0.35,0.59,0.83,0.85,0.87,0.88,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.4229669320730515,137.0412859916687
0.43,0.61,0.8,0.35,0.59,0.43397065016212844,655.2956817448139,0.49,0.5,0.76,0.46,0.67,0.78,0.8,0.82,0.83,0.85,0.85,0.87,0.88,0.9,0.9,0.91,0.92,0.93,0.93,0.93,0.94,0.95,0.95,0.95,0.95,0.49167100846031564,159.30140674114227,0.49,0.51,0.75,0.43,0.65,0.79,0.8,0.82,0.84,0.85,0.86,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.96,0.95,0.95,0.96,0.48562140863986664,157.3413363993168
0.41,0.64,0.82,0.32,0.56,0.4114825727134351,621.338684797287,0.41,0.65,0.83,0.32,0.57,0.82,0.84,0.86,0.88,0.9,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.40917384987811983,132.57232736051083,0.4,0.65,0.83,0.3,0.55,0.83,0.85,0.86,0.88,0.89,0.9,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.98,0.40241009061351235,130.380869358778
0.4,0.67,0.83,0.3,0.54,0.39705415255581306,599.5517703592777,0.43,0.59,0.82,0.37,0.61,0.82,0.84,0.85,0.87,0.89,0.9,0.92,0.93,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.97,0.96,0.96,0.43087348861642827,139.60301031172276,0.42,0.61,0.82,0.34,0.58,0.83,0.84,0.86,0.88,0.89,0.91,0.92,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.4187170717359325,135.66433124244213
0.39,0.67,0.84,0.29,0.54,0.39229002674881197,592.3579403907061,0.39,0.68,0.85,0.3,0.54,0.84,0.86,0.88,0.9,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.38915051243923326,126.08476603031158,0.38,0.68,0.85,0.27,0.52,0.83,0.86,0.87,0.89,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.3817370023440432,123.68278875946999
0.38,0.69,0.84,0.28,0.53,0.3825807092995044,577.6968710422516,0.43,0.64,0.84,0.33,0.58,0.83,0.85,0.86,0.88,0.89,0.9,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.4313080358652421,139.74380362033844,0.42,0.63,0.84,0.32,0.56,0.84,0.86,0.87,0.89,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.42464575005902183,137.58522301912308
0.37,0.7,0.85,0.27,0.52,0.37390172528904797,564.5916051864624,0.39,0.69,0.86,0.28,0.53,0.85,0.87,0.88,0.9,0.91,0.93,0.93,0.95,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.39100601675885693,126.68594942986965,0.39,0.69,0.86,0.27,0.52,0.84,0.86,0.88,0.9,0.91,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.3856294677581316,124.94394755363464
0.37,0.71,0.85,0.26,0.51,0.37041495939753705,559.3265886902809,0.42,0.61,0.83,0.36,0.6,0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.93,0.94,0.95,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.4200608247868073,136.09970723092556,0.41,0.63,0.83,0.32,0.57,0.84,0.86,0.88,0.89,0.91,0.92,0.93,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.405689821291117,131.44350209832191
0.36,0.72,0.86,0.25,0.5,0.3609010483255449,544.9605829715729,0.36,0.73,0.87,0.25,0.5,0.86,0.88,0.89,0.91,0.92,0.93,0.95,0.95,0.96,0.97,0.97,0.98,0.98,0.99,0.98,0.98,0.99,0.98,0.99,0.98,0.36177420482775313,117.21484236419201,0.36,0.73,0.87,0.23,0.48,0.86,0.88,0.9,0.91,0.92,0.94,0.95,0.95,0.96,0.96,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.35680782082088197,115.60573394596577
0.35,0.73,0.86,0.24,0.49,0.35386340962537866,534.3337485343218,0.34,0.75,0.88,0.23,0.48,0.87,0.89,0.9,0.92,0.93,0.95,0.95,0.96,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.34250890698145936,110.97288586199284,0.33,0.76,0.88,0.21,0.46,0.87,0.89,0.91,0.92,0.93,0.95,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.3339659220734496,108.20495875179768
0.35,0.74,0.87,0.23,0.48,0.3462057739890964,522.7707187235355,0.35,0.73,0.87,0.24,0.49,0.87,0.88,0.9,0.91,0.93,0.94,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.34962915987880144,113.27984780073166,0.34,0.75,0.87,0.22,0.47,0.86,0.88,0.9,0.91,0.92,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.340192621320854,110.2224093079567
0.34,0.75,0.87,0.22,0.47,0.34043429854097745,514.055790796876,0.34,0.77,0.89,0.21,0.46,0.86,0.88,0.9,0.91,0.92,0.93,0.95,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.34063105032215885,110.36446030437946,0.34,0.76,0.88,0.2,0.45,0.86,0.88,0.9,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.33715923760592204,109.23959298431873
0.33,0.76,0.88,0.21,0.46,0.33475248932048973,505.4762588739395,0.35,0.75,0.87,0.23,0.48,0.86,0.88,0.9,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.35155361573453303,113.9033714979887,0.35,0.74,0.87,0.22,0.47,0.86,0.88,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.98,0.99,0.99,0.99,0.3492699706076104,113.16347047686577
0.33,0.77,0.88,0.21,0.45,0.32962432452385,497.7327300310135,0.35,0.74,0.88,0.23,0.48,0.86,0.89,0.91,0.92,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.3536938301942967,114.59680098295212,0.35,0.75,0.88,0.22,0.47,0.86,0.89,0.9,0.92,0.93,0.95,0.96,0.96,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.3487046129633615,112.98029460012913
0.33,0.77,0.88,0.2,0.45,0.3279737533026973,495.24036748707294,0.33,0.77,0.89,0.21,0.45,0.86,0.88,0.9,0.91,0.92,0.94,0.95,0.96,0.96,0.96,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.32808031380912406,106.29802167415619,0.32,0.77,0.89,0.2,0.44,0.87,0.89,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.32160799941163004,104.20099180936813
0.32,0.78,0.89,0.2,0.44,0.3217129968057405,485.78662517666817,0.32,0.79,0.89,0.2,0.44,0.86,0.88,0.9,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,1.0,1.0,0.3231788350292194,104.70994254946709,0.32,0.78,0.89,0.19,0.43,0.87,0.89,0.91,0.92,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.3169896012103116,102.70463079214096
0.32,0.79,0.89,0.19,0.44,0.3170306522127808,478.71628484129906,0.33,0.77,0.89,0.21,0.46,0.86,0.88,0.9,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.32799849153300864,106.2715112566948,0.32,0.77,0.89,0.2,0.44,0.87,0.89,0.91,0.92,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.32001529086703134,103.68495424091816
0.31,0.79,0.89,0.19,0.43,0.3140667178970299,474.24074402451515,0.35,0.75,0.88,0.23,0.48,0.87,0.89,0.91,0.92,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.3484545809527238,112.89928422868252,0.34,0.74,0.88,0.22,0.47,0.86,0.88,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.3425312802931409,110.98013481497765
0.31,0.79,0.89,0.19,0.43,0.3120004543010762,471.1206859946251,0.35,0.75,0.88,0.23,0.48,0.87,0.89,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.0,0.3479005997011691,112.71979430317879,0.34,0.74,0.88,0.22,0.47,0.86,0.88,0.89,0.91,0.92,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.34184653992638175,110.75827893614769
0.31,0.8,0.9,0.18,0.42,0.30616414509466944,462.3078590929508,0.33,0.79,0.89,0.2,0.44,0.87,0.89,0.9,0.92,0.93,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.32510869954655197,105.33521865308285,0.32,0.78,0.89,0.19,0.44,0.88,0.89,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.3208259015723511,103.94759210944176
0.3,0.8,0.9,0.18,0.42,0.30269590583660744,457.07081781327724,0.32,0.79,0.89,0.2,0.44,0.87,0.9,0.91,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.3196144402487042,103.55507864058018,0.31,0.78,0.89,0.19,0.43,0.87,0.89,0.91,0.92,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.311581199551806,100.95230865478516
0.3,0.8,0.9,0.17,0.42,0.3016852979529772,455.5447999089956,0.34,0.76,0.89,0.22,0.46,0.87,0.9,0.91,0.92,0.93,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.3431867082361822,111.19249346852303,0.34,0.76,0.89,0.2,0.45,0.87,0.89,0.91,0.92,0.94,0.95,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.33856853037888623,109.69620384275913
0.3,0.81,0.9,0.17,0.41,0.297835367839068,449.73140543699265,0.32,0.79,0.89,0.19,0.44,0.87,0.89,0.91,0.92,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,1.0,1.0,1.0,1.0,0.3195183289547761,103.52393858134747,0.31,0.79,0.89,0.18,0.43,0.87,0.89,0.9,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.3136396996308992,101.61926268041134
0.29,0.81,0.91,0.17,0.41,0.293480863811954,443.1561043560505,0.31,0.8,0.9,0.19,0.43,0.87,0.89,0.91,0.92,0.94,0.95,0.96,0.97,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.0,0.99,0.3079599764795951,99.77903237938881,0.3,0.8,0.9,0.18,0.42,0.88,0.9,0.92,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.30162609014430164,97.72685320675373
0.29,0.81,0.91,0.16,0.41,0.29072483924050996,438.99450725317,0.33,0.76,0.9,0.22,0.47,0.87,0.89,0.91,0.93,0.94,0.95,0.96,0.96,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.33377096581238286,108.14179292321205,0.33,0.77,0.9,0.2,0.45,0.88,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.0,0.99,0.3259931466553682,105.6217795163393
0.29,0.82,0.91,0.16,0.4,0.2864634367310448,432.5597894638777,0.31,0.8,0.9,0.19,0.43,0.87,0.89,0.9,0.92,0.93,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.31038553861004337,100.56491450965405,0.3,0.8,0.9,0.17,0.42,0.88,0.9,0.92,0.93,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.3031966617261922,98.23571839928627
0.28,0.82,0.91,0.16,0.4,0.2840987454483051,428.9891056269407,0.31,0.79,0.9,0.19,0.44,0.87,0.89,0.91,0.92,0.93,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.31474393836142106,101.97703602910042,0.31,0.8,0.9,0.18,0.42,0.88,0.9,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.30576893885010553,99.0691361874342
0.28,0.83,0.91,0.15,0.39,0.27999859602246063,422.79787999391556,0.3,0.81,0.9,0.18,0.42,0.87,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.30309502665459376,98.20278863608837,0.3,0.81,0.9,0.17,0.41,0.87,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.2950170186382753,95.5855140388012
0.28,0.83,0.91,0.15,0.39,0.2778126843224298,419.497153326869,0.31,0.79,0.9,0.19,0.44,0.88,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.98,0.98,0.98,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.3148945856057567,102.02584573626518,0.31,0.79,0.9,0.18,0.43,0.87,0.9,0.91,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.3085100380818785,99.95725233852863
0.27,0.83,0.92,0.15,0.38,0.2740801605266451,413.8610423952341,0.31,0.8,0.9,0.18,0.42,0.88,0.9,0.92,0.94,0.95,0.96,0.97,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.3070200551071285,99.47449785470963,0.3,0.81,0.9,0.17,0.41,0.88,0.9,0.92,0.94,0.94,0.96,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.0,0.99,0.29524126276373863,95.65816913545132
