train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.8199999928474426,-0.34,0.49,1.159999966621399,1.0800000429153442,0.8179311569506368,256.0124521255493,1.2200000286102295,-1.32,0.52,2.130000114440918,1.4600000381469727,1.2190754712580112,381.5706225037575,1712471422,,True,15,714978ab,2024-04-07_08-30-22,164.87347793579102,2612.3187024593353,1468944,rey,131.130.125.90,2612.3187024593353,15,64,3,0.5,1e-05,714978ab
0.699999988079071,0.05,0.59,0.8199999928474426,0.9100000262260437,0.6972209313235724,218.23015150427818,1.2899999618530273,-1.63,0.61,2.4200000762939453,1.5499999523162842,1.2912719841963185,404.1681310534477,1712470317,,True,5,85014ee1,2024-04-07_08-11-57,280.8801863193512,1501.8925683498383,1469143,rey,131.130.125.90,1501.8925683498383,5,256,6,0.5,0.001,85014ee1
0.5299999713897705,0.42,0.7,0.5,0.7099999785423279,0.5326635555718273,166.72369289398193,1.0499999523162842,-0.67,0.76,1.5399999618530273,1.2400000095367432,1.0513637981856594,329.07686883211136,1712485450,,True,100,57e0b6a1,2024-04-07_12-24-10,160.91632890701294,16629.005610227585,1469285,rey,131.130.125.90,16629.005610227585,100,64,3,0.5,1e-05,57e0b6a1
1.840000033378601,-5.59,0.24,5.710000038146973,2.390000104904175,1.8415636909655488,576.4094352722168,1.9900000095367432,-5.56,0.33,6.019999980926514,2.450000047683716,1.9876127940016433,622.1228045225143,1712470347,,True,5,877cf928,2024-04-07_08-12-27,241.85888528823853,1520.8496239185333,1469421,rey,131.130.125.90,1520.8496239185333,5,64,6,0.5,1e-05,877cf928
0.30000001192092896,0.81,0.9,0.17000000178813934,0.4099999964237213,0.3003169412430102,93.9992026090622,0.3400000035762787,0.74,0.88,0.23999999463558197,0.49000000953674316,0.3384412911753304,105.93212413787842,1712485701,,True,100,495f3433,2024-04-07_12-28-21,157.94728994369507,16868.547308683395,1469563,rey,131.130.125.90,16868.547308683395,100,64,3,0.0,0.0001,495f3433
0.3400000035762787,0.75,0.88,0.20999999344348907,0.46000000834465027,0.3368025641567029,105.41920258104801,0.3400000035762787,0.73,0.88,0.25,0.5,0.33929928570700146,106.20067642629147,1712487104,,True,100,69d21d04,2024-04-07_12-51-44,176.29100966453552,16779.52353644371,1469971,rey,131.130.125.90,16779.52353644371,100,256,3,0.5,0.001,69d21d04
0.8899999856948853,-0.58,0.46,1.3700000047683716,1.1699999570846558,0.8866137277584868,277.5100967884064,2.2699999809265137,-6.1,0.49,6.519999980926514,2.549999952316284,2.2729516680629107,711.4338721036911,1712472571,,True,5,4047a5ff,2024-04-07_08-49-31,444.8920612335205,2217.271631002426,1470051,rey,131.130.125.90,2217.271631002426,5,256,10,0.5,0.0001,4047a5ff
1.2100000381469727,-2.08,0.37,2.6700000762939453,1.6399999856948853,1.2075011825409179,377.9478701353073,1.3200000524520874,-2.32,0.47,3.0399999618530273,1.7400000095367432,1.3180615721038356,412.5532720685005,1712473743,,True,5,edda1f93,2024-04-07_09-09-03,450.98899102211,2314.0780460834503,1470310,rey,131.130.125.90,2314.0780460834503,5,256,10,0.2,1e-05,edda1f93
0.5099999904632568,0.47,0.74,0.46000000834465027,0.6800000071525574,0.514200533731296,160.94476705789566,0.6800000071525574,0.1,0.77,0.8299999833106995,0.9100000262260437,0.6766197019682144,211.7819667160511,1712476697,,True,15,2724d88e,2024-04-07_09-58-17,266.4374520778656,4118.803773641586,1470602,rey,131.130.125.90,4118.803773641586,15,64,6,0.2,0.0001,2724d88e
1.6299999952316284,-4.24,0.3,4.550000190734863,2.130000114440918,1.6315796575226342,510.6844328045845,1.5,-3.17,0.32,3.8299999237060547,1.9600000381469727,1.4973160239835135,468.65991550683975,1712474766,,True,5,a8305cba,2024-04-07_09-26-06,170.40288186073303,1016.2777094841003,1470822,rey,131.130.125.90,1016.2777094841003,5,256,3,0.5,1e-05,a8305cba
0.4000000059604645,0.66,0.82,0.30000001192092896,0.5400000214576721,0.40467996876270246,126.66483022272587,0.4000000059604645,0.65,0.85,0.3199999928474426,0.5699999928474426,0.3950523237546031,123.65137733519077,1712494441,,True,45,33125856,2024-04-07_14-54-01,480.0738604068756,19667.61599755287,1471393,rey,131.130.125.90,19667.61599755287,45,256,10,0.2,0.001,33125856
