train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
5.320000171661377,-32.18,-0.08,29.459999084472656,5.429999828338623,5.323810020083233,8044.276940345764,5.289999961853027,-30.86,-0.1,29.18000030517578,5.400000095367432,5.294853707890452,1715.5326013565063,5.329999923706055,-33.18,-0.09,29.510000228881836,5.429999828338623,5.330958930062659,1727.2306933403015,1713158984,,False,1,5d7752fd,2024-04-15_05-29-44,667.9848895072937,667.9848895072937,1711248,vader,131.130.125.97,667.9848895072937,1,128,0.0,3,0.001
0.7099999785423279,-0.17,0.6,1.0399999618530273,1.0199999809265137,0.7130286575626017,1077.3863015770912,0.5400000214576721,0.4,0.72,0.550000011920929,0.7400000095367432,0.54168023886504,175.50439739227295,0.5299999713897705,0.41,0.72,0.5099999904632568,0.7099999785423279,0.5280206640377457,171.0786951482296,1713159464,,False,2,5d7752fd,2024-04-15_05-37-44,479.76855731010437,1147.753446817398,1711248,vader,131.130.125.97,1147.753446817398,2,128,0.0,3,0.001
0.550000011920929,0.4,0.71,0.5299999713897705,0.7300000190734863,0.5485122320590471,828.8019826412201,0.6200000047683716,0.25,0.73,0.6899999976158142,0.8299999833106995,0.6176471045171773,200.11766186356544,0.6100000143051147,0.24,0.73,0.6600000262260437,0.8100000023841858,0.6097701282044987,197.5655215382576,1713159948,,False,3,5d7752fd,2024-04-15_05-45-48,484.48000860214233,1632.2334554195404,1711248,vader,131.130.125.97,1632.2334554195404,3,128,0.0,3,0.001
0.5199999809265137,0.45,0.73,0.49000000953674316,0.699999988079071,0.5221158060153378,788.9169828891754,0.47999998927116394,0.52,0.75,0.4399999976158142,0.6700000166893005,0.48039232902688744,155.64711460471153,0.47999998927116394,0.52,0.75,0.41999998688697815,0.6499999761581421,0.4756023870942033,154.09517341852188,1713160423,,False,4,5d7752fd,2024-04-15_05-53-43,475.269615650177,2107.5030710697174,1711248,vader,131.130.125.97,2107.5030710697174,4,128,0.0,3,0.001
0.5,0.51,0.76,0.4399999976158142,0.6600000262260437,0.4952815917254599,748.3704850971699,0.46000000834465027,0.56,0.82,0.4000000059604645,0.6399999856948853,0.45537955700247373,147.5429764688015,0.44999998807907104,0.56,0.81,0.3799999952316284,0.6100000143051147,0.44712482705528356,144.86844396591187,1713160902,,False,5,5d7752fd,2024-04-15_06-01-42,478.15822529792786,2585.6612963676453,1711248,vader,131.130.125.97,2585.6612963676453,5,128,0.0,3,0.001
0.4699999988079071,0.55,0.78,0.4000000059604645,0.6299999952316284,0.4706427934132689,711.1412608474493,1.0,-0.6,0.74,1.4700000286102295,1.2100000381469727,1.001129968666736,324.36610984802246,1.0,-0.63,0.74,1.409999966621399,1.190000057220459,0.9968011099615215,322.96355962753296,1713161356,,False,6,5d7752fd,2024-04-15_06-09-16,454.2554440498352,3039.9167404174805,1711248,vader,131.130.125.97,3039.9167404174805,6,128,0.0,3,0.001
0.46000000834465027,0.57,0.78,0.3799999952316284,0.6200000047683716,0.45586977992761535,688.8192374706268,0.4000000059604645,0.67,0.85,0.30000001192092896,0.550000011920929,0.3992498043326684,129.35693660378456,0.4000000059604645,0.67,0.84,0.2800000011920929,0.5299999713897705,0.3959241819418507,128.27943494915962,1713161825,,False,7,5d7752fd,2024-04-15_06-17-05,469.70366406440735,3509.620404481888,1711248,vader,131.130.125.97,3509.620404481888,7,128,0.0,3,0.001
0.4300000071525574,0.61,0.8,0.3400000035762787,0.5799999833106995,0.4336077443500925,655.1813017129898,0.41999998688697815,0.63,0.82,0.33000001311302185,0.5799999833106995,0.42270041698658906,136.95493510365486,0.4300000071525574,0.62,0.81,0.33000001311302185,0.5799999833106995,0.42852521982089975,138.8421712219715,1713162313,,False,8,5d7752fd,2024-04-15_06-25-13,487.2556755542755,3996.8760800361633,1711248,vader,131.130.125.97,3996.8760800361633,8,128,0.0,3,0.001
0.41999998688697815,0.62,0.81,0.33000001311302185,0.5799999833106995,0.424590547103743,641.5563166737556,0.38999998569488525,0.67,0.85,0.30000001192092896,0.550000011920929,0.39323371713176186,127.40772435069084,0.4099999964237213,0.6,0.83,0.3499999940395355,0.5899999737739563,0.4057692040539818,131.4692221134901,1713162786,,False,9,5d7752fd,2024-04-15_06-33-06,472.78314542770386,4469.659225463867,1711248,vader,131.130.125.97,4469.659225463867,9,128,0.0,3,0.001
0.41999998688697815,0.63,0.81,0.33000001311302185,0.5699999928474426,0.4203483569728547,635.1463673859835,0.38999998569488525,0.65,0.86,0.3199999928474426,0.5699999928474426,0.3927957359931351,127.26581846177578,0.4000000059604645,0.62,0.84,0.33000001311302185,0.5699999928474426,0.3963942266540763,128.43172943592072,1713163282,,False,10,5d7752fd,2024-04-15_06-41-22,495.9467227458954,4965.605948209763,1711248,vader,131.130.125.97,4965.605948209763,10,128,0.0,3,0.001
