train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,test_accuracy-0_0,test_accuracy-0_5,test_ap,test_auc,test_mean_loss,test_sum_loss
0.08,0.5,0.1,0.51,0.8374733833705678,142.37047517299652,0.07,0.49,0.12,0.5,0.8421303606033326,21.053259015083313,0.08,0.5,0.12,0.49,0.8334195930130628,40.837560057640076
0.08,0.83,0.1,0.53,0.42726510806995277,72.63506837189198,0.07,0.91,0.13,0.55,0.3169467568397522,7.923668920993805,0.08,0.9,0.13,0.52,0.35185823878463435,17.241053700447083
0.08,0.91,0.14,0.56,0.31009198102880925,52.715636774897575,0.07,0.92,0.15,0.6,0.2888414591550827,7.221036478877068,0.08,0.91,0.17,0.62,0.3211312567701145,15.735431581735611
0.08,0.92,0.16,0.62,0.27801640428164426,47.262788727879524,0.07,0.92,0.21,0.7,0.26447269439697263,6.611817359924316,0.08,0.91,0.21,0.7,0.2873133604927939,14.0783546641469
0.08,0.92,0.18,0.66,0.25823861027465145,43.90056374669075,0.07,0.93,0.14,0.56,0.6015296316146851,15.038240790367126,0.08,0.92,0.16,0.6,0.629879296434169,30.864085525274277
0.08,0.92,0.2,0.69,0.2492446368231493,42.37158825993538,0.07,0.93,0.17,0.63,0.29265747129917147,7.316436782479286,0.08,0.92,0.2,0.64,0.3095095534713901,15.165968120098114
0.08,0.92,0.21,0.7,0.2455484250012566,41.74323225021362,0.07,0.93,0.15,0.55,0.6079512515477836,15.19878128869459,0.08,0.92,0.16,0.57,0.6896941959857941,33.79501560330391
0.08,0.92,0.21,0.7,0.24232309285332174,41.1949257850647,0.07,0.93,0.22,0.68,0.25792681753635405,6.448170438408852,0.08,0.92,0.24,0.69,0.2851978996578528,13.974697083234787
0.08,0.92,0.22,0.71,0.24208572559496935,41.15457335114479,0.07,0.93,0.21,0.72,0.24587302148342133,6.146825537085533,0.08,0.92,0.24,0.73,0.25461991040074095,12.476375609636307
0.08,0.92,0.21,0.69,0.240651158813168,40.91069699823856,0.07,0.93,0.22,0.66,0.2506320685148239,6.265801712870598,0.08,0.92,0.24,0.67,0.26088729348717904,12.783477380871773
0.08,0.92,0.22,0.71,0.23747589640757616,40.37090238928795,0.07,0.93,0.24,0.71,0.23487990081310273,5.871997520327568,0.08,0.92,0.25,0.71,0.25376889261664176,12.434675738215446
0.08,0.92,0.23,0.71,0.23681825495818082,40.25910334289074,0.07,0.93,0.23,0.69,0.23654556691646575,5.913639172911644,0.08,0.92,0.24,0.7,0.24890179871296397,12.196188136935234
0.08,0.92,0.23,0.72,0.2320330099147909,39.44561168551445,0.07,0.92,0.24,0.73,0.24234078884124755,6.058519721031189,0.08,0.92,0.26,0.74,0.25329067725308085,12.411243185400963
0.08,0.92,0.24,0.74,0.2291976434781271,38.963599391281605,0.07,0.9,0.21,0.66,0.3014336907863617,7.535842269659042,0.08,0.9,0.21,0.64,0.31395612626659625,15.383850187063217
0.08,0.92,0.24,0.73,0.2309580179698327,39.26286305487156,0.07,0.93,0.25,0.72,0.23705824732780456,5.926456183195114,0.08,0.92,0.25,0.71,0.2593429587325271,12.70780497789383
0.08,0.93,0.25,0.73,0.22763687898130977,38.69826942682266,0.07,0.93,0.24,0.69,0.25187072932720184,6.296768233180046,0.08,0.92,0.25,0.69,0.2647825686299071,12.974345862865448
0.08,0.93,0.26,0.74,0.2254094075630693,38.31959928572178,0.07,0.93,0.26,0.71,0.2431428450345993,6.078571125864983,0.08,0.92,0.27,0.72,0.2593200656832481,12.706683218479156
0.08,0.93,0.26,0.74,0.22491144323173692,38.234945349395275,0.07,0.93,0.27,0.74,0.2226523780822754,5.566309452056885,0.08,0.92,0.29,0.73,0.2433343040091651,11.923380896449089
0.08,0.93,0.28,0.76,0.21975066328749937,37.35761275887489,0.07,0.92,0.25,0.74,0.2544535130262375,6.361337825655937,0.08,0.91,0.27,0.74,0.26062064815540703,12.770411759614944
0.08,0.93,0.27,0.76,0.22173083109014174,37.6942412853241,0.07,0.93,0.32,0.77,0.2193378072977066,5.483445182442665,0.08,0.92,0.32,0.78,0.23238362341511007,11.386797547340393
0.08,0.93,0.29,0.76,0.21827034634702347,37.10595887899399,0.07,0.93,0.29,0.71,0.23897326797246932,5.974331699311733,0.08,0.92,0.3,0.73,0.24362800042239988,11.937772020697594
0.08,0.93,0.29,0.77,0.21718952568138347,36.92221936583519,0.07,0.93,0.28,0.73,0.23364340662956237,5.8410851657390594,0.08,0.92,0.34,0.74,0.2515710151317168,12.326979741454124
0.08,0.93,0.28,0.76,0.218486657431897,37.14273176342249,0.07,0.93,0.28,0.72,0.2687682557106018,6.719206392765045,0.08,0.92,0.31,0.73,0.26827885545029934,13.145663917064667
0.08,0.93,0.28,0.77,0.2172551971148042,36.933383509516716,0.07,0.92,0.28,0.77,0.24665687799453737,6.166421949863434,0.08,0.92,0.3,0.77,0.2492597507578986,12.213727787137032
0.08,0.93,0.29,0.76,0.21696756762616776,36.88448649644852,0.07,0.93,0.29,0.73,0.23351194143295287,5.837798535823822,0.08,0.92,0.29,0.73,0.2465137960959454,12.079176008701324
0.08,0.93,0.29,0.76,0.21546302424634203,36.62871412187815,0.07,0.92,0.3,0.76,0.24092793345451355,6.023198336362839,0.08,0.92,0.33,0.78,0.2410920082914586,11.813508406281471
0.08,0.93,0.31,0.77,0.2136812649667263,36.32581504434347,0.07,0.93,0.3,0.75,0.23082129389047623,5.770532347261906,0.08,0.92,0.31,0.76,0.24672201002130703,12.089378491044044
0.08,0.93,0.31,0.77,0.21397194980698472,36.375231467187405,0.07,0.92,0.28,0.75,0.23253833770751953,5.813458442687988,0.08,0.92,0.34,0.77,0.2366217028121559,11.594463437795639
0.08,0.93,0.3,0.78,0.21321672889239648,36.2468439117074,0.07,0.93,0.25,0.67,0.2618898358941078,6.5472458973526955,0.08,0.92,0.29,0.7,0.2899281263959651,14.20647819340229
0.08,0.93,0.31,0.78,0.21076783792060963,35.83053244650364,0.07,0.92,0.28,0.72,0.24702332258224488,6.175583064556122,0.08,0.92,0.29,0.73,0.2521959476324977,12.357601433992386
0.08,0.93,0.32,0.78,0.21043158142882235,35.7733688428998,0.07,0.93,0.29,0.75,0.22885309934616088,5.721327483654022,0.08,0.93,0.37,0.76,0.2430839520327899,11.911113649606705
0.08,0.93,0.32,0.78,0.21042000454138307,35.77140077203512,0.07,0.93,0.3,0.75,0.2201831603050232,5.50457900762558,0.08,0.92,0.35,0.77,0.220392107051246,10.799213245511055
0.08,0.93,0.32,0.78,0.21013552011812434,35.72303842008114,0.07,0.93,0.29,0.77,0.22954621851444246,5.738655462861061,0.08,0.92,0.33,0.78,0.23131623043089497,11.334495291113853
0.08,0.93,0.32,0.79,0.20825328910175492,35.403059147298336,0.07,0.93,0.3,0.75,0.23034158751368522,5.758539687842131,0.08,0.92,0.34,0.78,0.2398870084054616,11.754463411867619
0.08,0.93,0.33,0.78,0.20854482032796917,35.45261945575476,0.07,0.93,0.32,0.79,0.2128841495513916,5.32210373878479,0.08,0.92,0.33,0.78,0.22799572470236798,11.17179051041603
0.08,0.93,0.33,0.79,0.2060074497233419,35.02126645296812,0.07,0.93,0.33,0.8,0.21356654405593872,5.339163601398468,0.08,0.92,0.34,0.79,0.22421341891191443,10.986457526683807
0.08,0.93,0.32,0.79,0.20687516491641017,35.16877803578973,0.07,0.93,0.32,0.76,0.20624206840991974,5.1560517102479935,0.08,0.93,0.39,0.79,0.21616383170594974,10.592027753591537
0.08,0.93,0.34,0.79,0.20520530939102172,34.884902596473694,0.07,0.93,0.33,0.78,0.208706816136837,5.217670403420925,0.08,0.93,0.38,0.79,0.21923604333887295,10.742566123604774
0.08,0.93,0.33,0.8,0.20520311168888036,34.88452898710966,0.07,0.93,0.33,0.79,0.21507004797458648,5.376751199364662,0.08,0.92,0.36,0.79,0.22297581680575196,10.925815023481846
0.08,0.93,0.34,0.8,0.20510499087326667,34.867848448455334,0.07,0.93,0.34,0.79,0.21231737583875657,5.307934395968914,0.08,0.92,0.36,0.8,0.22034412835325515,10.796862289309502
0.08,0.93,0.35,0.81,0.2027512182645938,34.467707104980946,0.07,0.92,0.32,0.78,0.23008986115455626,5.752246528863907,0.08,0.91,0.35,0.79,0.23385889250404981,11.45908573269844
0.08,0.93,0.35,0.81,0.20245803541996898,34.41786602139473,0.07,0.93,0.34,0.78,0.20715965658426286,5.178991414606571,0.08,0.93,0.38,0.8,0.2167022284500453,10.61840919405222
0.08,0.93,0.35,0.8,0.20180061143987318,34.30610394477844,0.07,0.93,0.34,0.79,0.214439777135849,5.360994428396225,0.08,0.92,0.38,0.8,0.21992273126937906,10.776213832199574
0.08,0.93,0.36,0.81,0.20042203901445163,34.07174663245678,0.07,0.93,0.32,0.77,0.21171042829751968,5.292760707437992,0.08,0.92,0.38,0.8,0.21845117135315525,10.704107396304607
0.08,0.93,0.36,0.81,0.19972888437264105,33.95391034334898,0.07,0.93,0.34,0.8,0.21656733572483064,5.414183393120766,0.08,0.92,0.36,0.8,0.21974693694893194,10.767599910497665
0.08,0.93,0.37,0.82,0.19846909655367626,33.739746414124966,0.07,0.93,0.32,0.77,0.22445727050304412,5.611431762576103,0.08,0.92,0.4,0.79,0.22194716699269354,10.875411182641983
0.08,0.93,0.37,0.82,0.19671174555140383,33.44099674373865,0.07,0.93,0.34,0.8,0.2193375188112259,5.483437970280647,0.08,0.92,0.39,0.8,0.21356250619401737,10.464562803506851
0.08,0.93,0.35,0.81,0.1994570157107185,33.907692670822144,0.07,0.93,0.36,0.79,0.20825164079666136,5.206291019916534,0.08,0.93,0.4,0.81,0.21430374651539083,10.50088357925415
0.08,0.93,0.37,0.82,0.1949870523722733,33.14779890328646,0.07,0.93,0.35,0.81,0.20756549566984175,5.189137391746044,0.08,0.92,0.38,0.81,0.2165374856214134,10.610336795449257
0.08,0.93,0.37,0.82,0.19775980202590718,33.61916634440422,0.07,0.93,0.33,0.78,0.20855073750019074,5.213768437504768,0.08,0.93,0.39,0.79,0.21669736702223213,10.618170984089375
