train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_ranking_accuracy_0.1,val_ranking_accuracy_0.2,val_ranking_accuracy_0.3,val_ranking_accuracy_0.4,val_ranking_accuracy_0.5,val_ranking_accuracy_0.6,val_ranking_accuracy_0.7,val_ranking_accuracy_0.8,val_ranking_accuracy_0.9,val_ranking_accuracy_1.0,val_ranking_accuracy_1.1,val_ranking_accuracy_1.2,val_ranking_accuracy_1.3,val_ranking_accuracy_1.4,val_ranking_accuracy_1.5,val_ranking_accuracy_1.6,val_ranking_accuracy_1.7,val_ranking_accuracy_1.8,val_ranking_accuracy_1.9,val_ranking_accuracy_2.0,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_ranking_accuracy_0.1,test_ranking_accuracy_0.2,test_ranking_accuracy_0.3,test_ranking_accuracy_0.4,test_ranking_accuracy_0.5,test_ranking_accuracy_0.6,test_ranking_accuracy_0.7,test_ranking_accuracy_0.8,test_ranking_accuracy_0.9,test_ranking_accuracy_1.0,test_ranking_accuracy_1.1,test_ranking_accuracy_1.2,test_ranking_accuracy_1.3,test_ranking_accuracy_1.4,test_ranking_accuracy_1.5,test_ranking_accuracy_1.6,test_ranking_accuracy_1.7,test_ranking_accuracy_1.8,test_ranking_accuracy_1.9,test_ranking_accuracy_2.0,test_mean_loss,test_sum_loss
4.24,-20.65,0.5,19.22,4.38,4.237505782676848,6398.633731842041,4.26,-19.72,0.58,18.97,4.36,0.71,0.73,0.74,0.75,0.76,0.77,0.78,0.8,0.81,0.82,0.83,0.84,0.86,0.86,0.87,0.87,0.88,0.89,0.89,0.9,4.2578709118160205,1379.5501754283905,4.25,-20.97,0.56,18.97,4.36,0.71,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.78,0.8,0.82,0.82,0.84,0.85,0.85,0.86,0.87,0.87,0.89,0.89,4.254462031670559,1378.445698261261
0.99,-1.17,0.43,1.93,1.39,0.9885017806133687,1492.6376887261868,0.66,0.12,0.7,0.81,0.9,0.76,0.77,0.79,0.81,0.82,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.9,0.91,0.9,0.9,0.91,0.91,0.91,0.91,0.6634606506537508,214.96125081181526,0.65,0.11,0.69,0.77,0.88,0.76,0.77,0.79,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.91,0.92,0.92,0.92,0.93,0.92,0.6532533266294149,211.65407782793045
0.54,0.42,0.7,0.51,0.72,0.5387060968094314,813.4462061822414,0.52,0.44,0.76,0.52,0.72,0.8,0.82,0.83,0.85,0.86,0.87,0.89,0.9,0.91,0.92,0.93,0.94,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.5195764425544092,168.34276738762856,0.51,0.44,0.76,0.48,0.7,0.79,0.8,0.82,0.84,0.85,0.87,0.88,0.89,0.9,0.91,0.92,0.92,0.93,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.5130405205267446,166.22512865066528
0.48,0.53,0.76,0.41,0.64,0.4760078134126221,718.7717982530594,0.67,0.16,0.77,0.77,0.88,0.79,0.81,0.83,0.84,0.86,0.87,0.88,0.89,0.91,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.96,0.95,0.95,0.6693807590154954,216.8793659210205,0.66,0.14,0.76,0.74,0.86,0.79,0.8,0.82,0.84,0.86,0.87,0.89,0.9,0.91,0.91,0.92,0.93,0.94,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.663998295587522,215.13544777035713
0.45,0.59,0.78,0.37,0.61,0.4468230890319837,674.7028644382954,0.48,0.52,0.84,0.44,0.67,0.84,0.86,0.88,0.89,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.47827051598348735,154.9596471786499,0.47,0.53,0.83,0.41,0.64,0.84,0.86,0.88,0.89,0.91,0.92,0.93,0.93,0.94,0.95,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.4687454108102822,151.87351310253143
0.43,0.62,0.81,0.34,0.58,0.42541641802187785,642.3787912130356,0.43,0.59,0.85,0.37,0.61,0.84,0.86,0.87,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.42791295925408235,138.64379879832268,0.42,0.61,0.84,0.34,0.58,0.84,0.85,0.87,0.89,0.91,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.41728190764968776,135.19933807849884
0.41,0.65,0.82,0.31,0.56,0.4095718851744734,618.4535466134548,0.45,0.58,0.85,0.39,0.62,0.84,0.86,0.88,0.89,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.44513942384057575,144.22517332434654,0.43,0.6,0.85,0.34,0.59,0.84,0.86,0.88,0.89,0.91,0.93,0.93,0.94,0.95,0.95,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.4303909679989756,139.4466736316681
0.4,0.66,0.83,0.3,0.55,0.3995345774075843,603.2972118854523,0.42,0.63,0.85,0.34,0.58,0.84,0.86,0.88,0.9,0.91,0.92,0.93,0.95,0.95,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.41778083789495774,135.3609914779663,0.41,0.64,0.84,0.31,0.56,0.84,0.86,0.88,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.4074384899419031,132.0100707411766
0.39,0.67,0.83,0.29,0.54,0.3921189065603231,592.0995489060879,0.38,0.67,0.86,0.3,0.55,0.86,0.87,0.89,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.38044890857957026,123.26544637978077,0.37,0.69,0.86,0.27,0.52,0.84,0.86,0.88,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.3696924311419328,119.78034768998623
0.39,0.68,0.84,0.28,0.53,0.385187138192701,581.6325786709785,0.42,0.63,0.85,0.34,0.58,0.85,0.86,0.88,0.89,0.91,0.92,0.94,0.94,0.95,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.4168860420216749,135.07107761502266,0.4,0.65,0.85,0.3,0.55,0.85,0.87,0.88,0.9,0.91,0.92,0.94,0.95,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.4015136842650396,130.09043370187283
0.38,0.69,0.84,0.28,0.53,0.38295312698511097,578.2592217475176,0.38,0.67,0.87,0.31,0.55,0.86,0.87,0.89,0.9,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.38258909461674867,123.95886665582657,0.37,0.68,0.87,0.27,0.52,0.86,0.88,0.9,0.91,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.3708834170283359,120.16622711718082
0.37,0.7,0.85,0.27,0.52,0.374666365546896,565.7462119758129,0.38,0.68,0.88,0.29,0.54,0.85,0.87,0.89,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.3844323559307758,124.55608332157135,0.37,0.7,0.88,0.26,0.51,0.86,0.88,0.9,0.91,0.92,0.94,0.94,0.95,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.374116694347726,121.21380896866322
0.37,0.71,0.86,0.25,0.5,0.36734022396487115,554.6837381869555,0.46,0.57,0.88,0.39,0.63,0.86,0.88,0.89,0.91,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.459479713053615,148.87142702937126,0.45,0.59,0.88,0.36,0.6,0.87,0.88,0.9,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.4461129347299352,144.540590852499
0.36,0.72,0.86,0.25,0.5,0.35946544698926786,542.7928249537945,0.34,0.75,0.88,0.23,0.48,0.87,0.89,0.9,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.98,0.34241033166095064,110.940947458148,0.33,0.76,0.88,0.21,0.46,0.86,0.88,0.9,0.91,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.33217532794784616,107.62480625510216
0.35,0.73,0.86,0.24,0.49,0.3549357350693633,535.9529599547386,0.39,0.68,0.88,0.29,0.54,0.87,0.89,0.91,0.92,0.93,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.387067723237438,125.4099423289299,0.37,0.69,0.88,0.26,0.51,0.86,0.88,0.9,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.3709236430809086,120.17926035821438
0.35,0.74,0.87,0.23,0.48,0.34860215815684653,526.3892588168383,0.34,0.75,0.88,0.23,0.47,0.86,0.87,0.9,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.3361104486717118,108.89978536963463,0.33,0.76,0.88,0.2,0.45,0.87,0.89,0.9,0.91,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.32882266579034886,106.53854371607304
0.34,0.75,0.87,0.22,0.47,0.3441050494743499,519.5986247062683,0.35,0.74,0.88,0.23,0.48,0.87,0.89,0.91,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.3508572445055585,113.67774721980095,0.34,0.74,0.88,0.22,0.47,0.87,0.89,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.3440491420067387,111.47192201018333
