train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_ranking_accuracy_0.1,val_ranking_accuracy_0.2,val_ranking_accuracy_0.3,val_ranking_accuracy_0.4,val_ranking_accuracy_0.5,val_ranking_accuracy_0.6,val_ranking_accuracy_0.7,val_ranking_accuracy_0.8,val_ranking_accuracy_0.9,val_ranking_accuracy_1.0,val_ranking_accuracy_1.1,val_ranking_accuracy_1.2,val_ranking_accuracy_1.3,val_ranking_accuracy_1.4,val_ranking_accuracy_1.5,val_ranking_accuracy_1.6,val_ranking_accuracy_1.7,val_ranking_accuracy_1.8,val_ranking_accuracy_1.9,val_ranking_accuracy_2.0,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_ranking_accuracy_0.1,test_ranking_accuracy_0.2,test_ranking_accuracy_0.3,test_ranking_accuracy_0.4,test_ranking_accuracy_0.5,test_ranking_accuracy_0.6,test_ranking_accuracy_0.7,test_ranking_accuracy_0.8,test_ranking_accuracy_0.9,test_ranking_accuracy_1.0,test_ranking_accuracy_1.1,test_ranking_accuracy_1.2,test_ranking_accuracy_1.3,test_ranking_accuracy_1.4,test_ranking_accuracy_1.5,test_ranking_accuracy_1.6,test_ranking_accuracy_1.7,test_ranking_accuracy_1.8,test_ranking_accuracy_1.9,test_ranking_accuracy_2.0,test_mean_loss,test_sum_loss
7.03,-56.21,-0.07,50.78,7.13,7.029351932955104,10614.321418762207,6.59,-47.76,-0.16,44.65,6.68,0.44,0.43,0.43,0.43,0.43,0.42,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.4,0.4,0.4,6.58532225349803,2133.644410133362,6.63,-51.42,-0.17,45.26,6.73,0.45,0.45,0.44,0.44,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.4,0.39,0.38,0.38,6.633245763955293,2149.171627521515
0.98,-1.51,0.47,2.23,1.49,0.9779377666332864,1476.6860276162624,0.95,-0.67,0.75,1.53,1.24,0.79,0.81,0.83,0.85,0.86,0.87,0.89,0.89,0.9,0.91,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.94,0.94,0.94,0.9536410932555611,308.9797142148018,0.94,-0.74,0.75,1.5,1.22,0.79,0.81,0.82,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.91,0.92,0.92,0.92,0.92,0.93,0.94,0.93,0.94,0.9384105282801168,304.0450111627579
0.58,0.34,0.68,0.59,0.77,0.5775550666234351,872.108150601387,0.47,0.54,0.77,0.42,0.65,0.81,0.82,0.84,0.85,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.93,0.94,0.94,0.94,0.95,0.95,0.96,0.96,0.97,0.47413830974219756,153.62081235647202,0.46,0.56,0.78,0.38,0.62,0.81,0.82,0.84,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.94,0.94,0.95,0.95,0.95,0.96,0.96,0.96,0.96,0.4602052203299087,149.1064913868904
0.51,0.47,0.74,0.47,0.68,0.5113507749821177,772.1396702229977,0.64,0.2,0.81,0.73,0.86,0.83,0.84,0.86,0.87,0.89,0.89,0.91,0.92,0.93,0.93,0.93,0.93,0.94,0.95,0.95,0.95,0.96,0.96,0.96,0.96,0.642102567685975,208.0412319302559,0.62,0.23,0.82,0.67,0.82,0.82,0.83,0.85,0.87,0.88,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.6229128618667155,201.82376724481583
0.49,0.52,0.75,0.43,0.65,0.48598954738765365,733.844216555357,0.45,0.59,0.82,0.37,0.61,0.81,0.83,0.85,0.86,0.87,0.89,0.9,0.91,0.92,0.93,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.45252454096888317,146.61795127391815,0.44,0.61,0.82,0.34,0.58,0.82,0.84,0.86,0.87,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.4415070802709203,143.04829400777817
0.47,0.54,0.77,0.41,0.64,0.4737515954387109,715.3649091124535,0.44,0.62,0.84,0.34,0.59,0.84,0.86,0.87,0.89,0.9,0.92,0.93,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.4399561861782898,142.5458043217659,0.43,0.63,0.84,0.32,0.57,0.84,0.86,0.87,0.89,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.4331902806405668,140.35365092754364
0.46,0.57,0.78,0.39,0.62,0.45944228515719737,693.757850587368,0.42,0.6,0.85,0.36,0.6,0.85,0.86,0.88,0.9,0.91,0.92,0.93,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.4161514289861108,134.8330629914999,0.4,0.63,0.85,0.32,0.56,0.84,0.86,0.87,0.89,0.9,0.91,0.92,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.40187825363727264,130.20855417847633
0.46,0.57,0.78,0.39,0.62,0.45891542468244667,692.9622912704945,0.45,0.61,0.83,0.36,0.6,0.83,0.85,0.87,0.88,0.9,0.91,0.92,0.93,0.94,0.94,0.95,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.44825480114898564,145.23455557227135,0.44,0.61,0.83,0.33,0.58,0.83,0.85,0.87,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.98,0.97,0.98,0.44146343752925776,143.03415375947952
0.45,0.57,0.78,0.38,0.61,0.4534899820160392,684.7698728442192,0.54,0.5,0.85,0.46,0.68,0.85,0.86,0.88,0.9,0.91,0.92,0.94,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.98,0.97,0.98,0.98,0.98,0.5426207530645677,175.80912399291992,0.54,0.49,0.85,0.44,0.66,0.84,0.86,0.88,0.9,0.91,0.93,0.94,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.54038280138263,175.0840276479721
0.44,0.59,0.79,0.37,0.6,0.4436988965565006,669.9853338003159,0.4,0.67,0.85,0.31,0.55,0.84,0.86,0.88,0.9,0.91,0.92,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.3958571353628312,128.2577118575573,0.39,0.68,0.85,0.28,0.53,0.85,0.87,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.38902651067869165,126.04458945989609
0.44,0.59,0.79,0.36,0.6,0.44393773284179483,670.3459765911102,0.48,0.51,0.84,0.45,0.67,0.85,0.86,0.88,0.89,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.47751082286790564,154.71350660920143,0.46,0.54,0.84,0.4,0.63,0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.93,0.94,0.95,0.95,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.4610171137768545,149.36954486370087
0.43,0.61,0.8,0.35,0.59,0.4312908970757036,651.2492545843124,0.42,0.62,0.86,0.35,0.59,0.84,0.86,0.88,0.89,0.91,0.92,0.93,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.41930439902676475,135.85462528467178,0.4,0.64,0.86,0.31,0.56,0.85,0.87,0.89,0.9,0.91,0.92,0.94,0.94,0.95,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.4043813501427203,131.01955744624138
0.42,0.63,0.81,0.33,0.57,0.41510757525630343,626.8124386370182,0.43,0.59,0.86,0.38,0.61,0.84,0.86,0.88,0.89,0.91,0.92,0.93,0.94,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.4323308122010879,140.07518315315247,0.42,0.61,0.86,0.33,0.58,0.85,0.86,0.88,0.9,0.91,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.41885115684550484,135.70777481794357
0.41,0.65,0.82,0.31,0.56,0.40572806762543734,612.6493821144104,0.39,0.68,0.86,0.3,0.55,0.85,0.87,0.89,0.9,0.92,0.93,0.94,0.94,0.95,0.96,0.96,0.96,0.97,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.3925470284381766,127.18523721396923,0.39,0.69,0.86,0.27,0.52,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.38592625763497235,125.04010747373104
0.4,0.65,0.83,0.31,0.56,0.4019304890703681,606.9150384962559,0.38,0.66,0.87,0.32,0.56,0.85,0.86,0.88,0.89,0.91,0.93,0.94,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.3832511484714938,124.17337210476398,0.37,0.67,0.86,0.28,0.53,0.86,0.88,0.9,0.92,0.93,0.94,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.37380104889104393,121.11153984069824
0.39,0.67,0.83,0.3,0.55,0.39471392304889413,596.0180238038301,0.36,0.72,0.87,0.26,0.51,0.86,0.87,0.89,0.9,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.98,0.98,0.3610931086687394,116.99416720867157,0.35,0.72,0.87,0.24,0.49,0.86,0.88,0.9,0.91,0.92,0.94,0.95,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.98,0.98,0.98,0.3547943356320446,114.95336474478245
0.39,0.67,0.84,0.29,0.54,0.390122281439257,589.084644973278,0.37,0.7,0.87,0.27,0.52,0.85,0.87,0.89,0.9,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.3730360566189996,120.86368234455585,0.37,0.71,0.87,0.25,0.5,0.86,0.88,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.36771473279337824,119.13957342505455
0.39,0.68,0.84,0.29,0.53,0.3861168108239079,583.036384344101,0.37,0.71,0.87,0.27,0.52,0.85,0.88,0.89,0.91,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.365598501338635,118.45391443371773,0.36,0.72,0.87,0.24,0.49,0.86,0.87,0.89,0.91,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.97,0.97,0.97,0.98,0.35846970451098903,116.14418426156044
0.38,0.68,0.84,0.28,0.53,0.38321551488132666,578.6554274708033,0.36,0.7,0.87,0.27,0.52,0.85,0.87,0.89,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.36292003743626455,117.58609212934971,0.35,0.72,0.87,0.24,0.49,0.86,0.88,0.9,0.91,0.92,0.93,0.95,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.98,0.98,0.3510880944445545,113.75254260003567
0.38,0.69,0.85,0.27,0.52,0.3778759349951681,570.5926618427038,0.35,0.72,0.88,0.26,0.51,0.85,0.87,0.89,0.9,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.3452354831000169,111.85629652440548,0.34,0.73,0.87,0.23,0.48,0.86,0.88,0.9,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.33591604977846146,108.83680012822151
0.37,0.7,0.85,0.27,0.52,0.3729354536395199,563.1325349956751,0.35,0.72,0.88,0.25,0.5,0.86,0.88,0.9,0.92,0.93,0.94,0.95,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.34579860547810426,112.03874817490578,0.34,0.74,0.87,0.23,0.48,0.86,0.88,0.9,0.91,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.98,0.98,0.33524521053941164,108.61944821476936
