train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
5.909999847412109,-39.74,-0.16,36.16999816894531,6.010000228881836,5.912057831774951,8933.11938381195,5.820000171661377,-37.33,-0.39,35.099998474121094,5.920000076293945,5.818546457055175,1885.2090520858765,5.860000133514404,-40.1,-0.41,35.4900016784668,5.960000038146973,5.8551117991223744,1897.0562229156494,1713150558,,False,1,c900a115,2024-04-15_03-09-18,437.1988308429718,437.1988308429718,1705101,vader,131.130.125.97,437.1988308429718,1,64,0.5,3,0.001
0.9800000190734863,-1.35,0.47,2.0899999141693115,1.4500000476837158,0.9763861223808745,1475.3194309175014,0.5600000023841858,0.29,0.73,0.6499999761581421,0.8100000023841858,0.5646711750714867,182.9534607231617,0.5600000023841858,0.24,0.72,0.6499999761581421,0.8100000023841858,0.5630542565091157,182.42957910895348,1713150964,,False,2,c900a115,2024-04-15_03-16-04,406.22369050979614,843.422521352768,1705101,vader,131.130.125.97,843.422521352768,2,64,0.5,3,0.001
0.6299999952316284,0.2,0.64,0.7099999785423279,0.8399999737739563,0.6310357906264552,953.4950796365738,0.6499999761581421,0.11,0.75,0.8199999928474426,0.8999999761581421,0.6470561134226528,209.6461807489395,0.6299999952316284,0.09,0.74,0.7900000214576721,0.8899999856948853,0.6337161790809513,205.32404202222824,1713151367,,False,3,c900a115,2024-04-15_03-22-47,402.32566595077515,1245.748187303543,1705101,vader,131.130.125.97,1245.748187303543,3,64,0.5,3,0.001
0.5799999833106995,0.34,0.69,0.5899999737739563,0.7699999809265137,0.5766751487905185,871.3561498224735,0.4699999988079071,0.53,0.78,0.4300000071525574,0.6600000262260437,0.46768379616148675,151.52954995632172,0.46000000834465027,0.54,0.77,0.4000000059604645,0.6299999952316284,0.4617131363462519,149.5950561761856,1713151770,,False,4,c900a115,2024-04-15_03-29-30,402.74122953414917,1648.4894168376923,1705101,vader,131.130.125.97,1648.4894168376923,4,64,0.5,3,0.001
0.5400000214576721,0.42,0.71,0.5199999809265137,0.7200000286102295,0.5369395915835524,811.3157228827477,0.5,0.46,0.79,0.5,0.699999988079071,0.4995041212733881,161.83933529257774,0.49000000953674316,0.47,0.79,0.46000000834465027,0.6800000071525574,0.49289067595461267,159.6965790092945,1713152159,,False,5,c900a115,2024-04-15_03-35-59,389.8569190502167,2038.346335887909,1705101,vader,131.130.125.97,2038.346335887909,5,64,0.5,3,0.001
0.5,0.49,0.74,0.44999998807907104,0.6700000166893005,0.5004996689915421,756.25499984622,0.41999998688697815,0.61,0.82,0.36000001430511475,0.6000000238418579,0.420645153356923,136.28902968764305,0.4099999964237213,0.62,0.82,0.3199999928474426,0.5699999928474426,0.41286169838758163,133.76719027757645,1713152561,,False,6,c900a115,2024-04-15_03-42-41,401.7908582687378,2440.1371941566467,1705101,vader,131.130.125.97,2440.1371941566467,6,64,0.5,3,0.001
0.4699999988079071,0.54,0.76,0.4099999964237213,0.6399999856948853,0.4727168031317915,714.2750895321369,0.4699999988079071,0.51,0.79,0.44999998807907104,0.6700000166893005,0.4660900335436986,151.01317086815834,0.44999998807907104,0.52,0.78,0.41999998688697815,0.6399999856948853,0.4544352047421314,147.23700633645058,1713152959,,False,7,c900a115,2024-04-15_03-49-19,397.2662093639374,2837.403403520584,1705101,vader,131.130.125.97,2837.403403520584,7,64,0.5,3,0.001
0.46000000834465027,0.56,0.77,0.38999998569488525,0.6299999952316284,0.4599515865726395,694.9868473112583,0.41999998688697815,0.61,0.83,0.36000001430511475,0.6000000238418579,0.41796422841740244,135.4204100072384,0.4099999964237213,0.63,0.82,0.3199999928474426,0.5699999928474426,0.4087221860701655,132.42598828673363,1713153346,,False,8,c900a115,2024-04-15_03-55-46,387.7525498867035,3225.1559534072876,1705101,vader,131.130.125.97,3225.1559534072876,8,64,0.5,3,0.001
0.44999998807907104,0.58,0.78,0.3700000047683716,0.6100000143051147,0.44920190496211176,678.7440783977509,0.41999998688697815,0.61,0.83,0.36000001430511475,0.6000000238418579,0.4182135162898052,135.50117927789688,0.4099999964237213,0.62,0.83,0.33000001311302185,0.5699999928474426,0.4069935139498593,131.8658985197544,1713153742,,False,9,c900a115,2024-04-15_04-02-22,395.6832478046417,3620.8392012119293,1705101,vader,131.130.125.97,3620.8392012119293,9,64,0.5,3,0.001
0.46000000834465027,0.57,0.78,0.3799999952316284,0.6200000047683716,0.4551962200751926,687.8014885336161,0.4300000071525574,0.56,0.82,0.4000000059604645,0.6299999952316284,0.43366458653299894,140.50732603669167,0.41999998688697815,0.58,0.82,0.36000001430511475,0.6000000238418579,0.4237387254834175,137.29134705662727,1713154134,,False,10,c900a115,2024-04-15_04-08-54,391.64101672172546,4012.480217933655,1705101,vader,131.130.125.97,4012.480217933655,10,64,0.5,3,0.001
0.46000000834465027,0.57,0.77,0.3799999952316284,0.6200000047683716,0.4564933316112748,689.7614240646362,0.5299999713897705,0.42,0.81,0.5299999713897705,0.7300000190734863,0.5264134287466238,170.5579509139061,0.5099999904632568,0.44,0.81,0.47999998927116394,0.699999988079071,0.5127031582373159,166.11582326889038,1713154517,,False,11,c900a115,2024-04-15_04-15-17,383.87546706199646,4396.355684995651,1705101,vader,131.130.125.97,4396.355684995651,11,64,0.5,3,0.001
0.44999998807907104,0.58,0.78,0.3700000047683716,0.6100000143051147,0.446743445511609,675.0293461680412,0.44999998807907104,0.57,0.78,0.38999998569488525,0.6299999952316284,0.4517006387497172,146.35100695490837,0.4399999976158142,0.59,0.79,0.36000001430511475,0.6000000238418579,0.4427095179756482,143.43788382411003,1713154901,,False,12,c900a115,2024-04-15_04-21-41,383.96543550491333,4780.321120500565,1705101,vader,131.130.125.97,4780.321120500565,12,64,0.5,3,0.001
0.44999998807907104,0.58,0.78,0.3700000047683716,0.6100000143051147,0.4485885173003457,677.8172496408224,0.4699999988079071,0.51,0.83,0.44999998807907104,0.6700000166893005,0.468582963777913,151.8208802640438,0.44999998807907104,0.54,0.83,0.4000000059604645,0.6299999952316284,0.45334063718716305,146.88236644864082,1713155286,,False,13,c900a115,2024-04-15_04-28-06,384.39715027809143,5164.718270778656,1705101,vader,131.130.125.97,5164.718270778656,13,64,0.5,3,0.001
0.4399999976158142,0.59,0.79,0.3700000047683716,0.6100000143051147,0.4436234427772556,670.3150220364332,0.41999998688697815,0.65,0.84,0.3199999928474426,0.5699999928474426,0.4155389405786991,134.6346167474985,0.4099999964237213,0.65,0.84,0.30000001192092896,0.550000011920929,0.412383395994519,133.61222030222416,1713155677,,False,14,c900a115,2024-04-15_04-34-37,391.20944261550903,5555.927713394165,1705101,vader,131.130.125.97,5555.927713394165,14,64,0.5,3,0.001
0.4300000071525574,0.61,0.8,0.3499999940395355,0.5899999737739563,0.43304079631004483,654.3246432244778,0.4099999964237213,0.6,0.84,0.3700000047683716,0.6100000143051147,0.4132797135339107,133.90262718498707,0.4000000059604645,0.62,0.84,0.33000001311302185,0.5699999928474426,0.4007552307513025,129.844694763422,1713156066,,False,15,c900a115,2024-04-15_04-41-06,388.5264127254486,5944.454126119614,1705101,vader,131.130.125.97,5944.454126119614,15,64,0.5,3,0.001
0.4300000071525574,0.61,0.8,0.3400000035762787,0.5899999737739563,0.4270644822138812,645.2944326251745,0.4000000059604645,0.66,0.85,0.3100000023841858,0.550000011920929,0.395636883828743,128.18635036051273,0.38999998569488525,0.67,0.84,0.2800000011920929,0.5299999713897705,0.39138021996175804,126.8071912676096,1713156464,,False,16,c900a115,2024-04-15_04-47-44,398.4262444972992,6342.880370616913,1705101,vader,131.130.125.97,6342.880370616913,16,64,0.5,3,0.001
