train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_ranking_accuracy_0.1,val_ranking_accuracy_0.2,val_ranking_accuracy_0.3,val_ranking_accuracy_0.4,val_ranking_accuracy_0.5,val_ranking_accuracy_0.6,val_ranking_accuracy_0.7,val_ranking_accuracy_0.8,val_ranking_accuracy_0.9,val_ranking_accuracy_1.0,val_ranking_accuracy_1.1,val_ranking_accuracy_1.2,val_ranking_accuracy_1.3,val_ranking_accuracy_1.4,val_ranking_accuracy_1.5,val_ranking_accuracy_1.6,val_ranking_accuracy_1.7,val_ranking_accuracy_1.8,val_ranking_accuracy_1.9,val_ranking_accuracy_2.0,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_ranking_accuracy_0.1,test_ranking_accuracy_0.2,test_ranking_accuracy_0.3,test_ranking_accuracy_0.4,test_ranking_accuracy_0.5,test_ranking_accuracy_0.6,test_ranking_accuracy_0.7,test_ranking_accuracy_0.8,test_ranking_accuracy_0.9,test_ranking_accuracy_1.0,test_ranking_accuracy_1.1,test_ranking_accuracy_1.2,test_ranking_accuracy_1.3,test_ranking_accuracy_1.4,test_ranking_accuracy_1.5,test_ranking_accuracy_1.6,test_ranking_accuracy_1.7,test_ranking_accuracy_1.8,test_ranking_accuracy_1.9,test_ranking_accuracy_2.0,test_mean_loss,test_sum_loss
3.98708,-18.72268,0.07327,17.50629,4.18405,3.9870778042749064,6020.487484455109,3.92215,-17.64379,0.05495,17.0727,4.13191,0.51385,0.51518,0.51403,0.51786,0.51912,0.52148,0.52423,0.52467,0.52868,0.53322,0.53397,0.53482,0.54416,0.55096,0.55721,0.56275,0.57064,0.56904,0.56522,0.56224,3.92190612539833,1270.6975846290588,3.96158,-19.07409,0.0798,17.33473,4.1635,0.53049,0.53194,0.53251,0.53656,0.54098,0.54075,0.54204,0.54256,0.5417,0.54154,0.54221,0.5393,0.54227,0.54945,0.5571,0.5603,0.55829,0.55819,0.56079,0.56417,3.961610675593953,1283.5618588924408
0.62312,0.15132,0.64959,0.75328,0.86792,0.6231213902400818,940.9132992625237,0.46191,0.53452,0.79731,0.42625,0.65288,0.81438,0.83066,0.84684,0.86615,0.87966,0.89001,0.90347,0.91357,0.9226,0.93263,0.93327,0.93787,0.94157,0.94358,0.94238,0.94904,0.95082,0.95639,0.95171,0.95399,0.46180824585902835,149.6258716583252,0.45883,0.52485,0.78953,0.41031,0.64055,0.80919,0.82375,0.83955,0.86066,0.87421,0.88823,0.89754,0.90553,0.9166,0.92464,0.93077,0.93443,0.93992,0.94062,0.94338,0.94377,0.94903,0.95047,0.95301,0.95518,0.4588064693926293,148.6532960832119
0.49952,0.48758,0.75178,0.4549,0.67446,0.499517309389367,754.2711371779442,0.6236,0.22946,0.6853,0.7056,0.84,0.75994,0.7744,0.78614,0.79825,0.81211,0.82401,0.83926,0.84783,0.86265,0.87167,0.87589,0.88146,0.88694,0.89189,0.89463,0.90198,0.90876,0.91507,0.92503,0.93061,0.6234281144944238,201.9907090961933,0.62296,0.20309,0.67108,0.68816,0.82955,0.7513,0.76687,0.77919,0.79142,0.80799,0.82106,0.83776,0.84856,0.85593,0.86891,0.87939,0.8904,0.89708,0.90449,0.9111,0.92333,0.92545,0.93212,0.93365,0.9375,0.6227562124898405,201.7730128467083
0.46236,0.55771,0.78095,0.39265,0.62662,0.4623576617398799,698.1600692272186,0.41679,0.61551,0.82048,0.35209,0.59337,0.83463,0.85141,0.86745,0.88441,0.89841,0.90924,0.92012,0.92473,0.93225,0.93675,0.94359,0.94696,0.95157,0.95538,0.95766,0.95699,0.95402,0.95382,0.95298,0.95376,0.41677580856614643,135.03536197543144,0.41254,0.63392,0.81652,0.31613,0.56225,0.81541,0.83461,0.8527,0.87087,0.88484,0.8941,0.90463,0.9151,0.92593,0.93375,0.93767,0.94197,0.94624,0.94993,0.95249,0.95306,0.9512,0.95331,0.95409,0.94818,0.41242355632561223,133.62523224949837
0.42886,0.61263,0.80617,0.34384,0.58638,0.4288586584740127,647.5765742957592,0.50038,0.49425,0.85282,0.46313,0.68054,0.84241,0.86286,0.87863,0.89259,0.90553,0.91859,0.92817,0.93519,0.94252,0.9485,0.95586,0.95899,0.96341,0.96435,0.96455,0.96541,0.96649,0.96741,0.96628,0.96626,0.5004291838885825,162.13905557990074,0.49248,0.51977,0.85568,0.4147,0.64397,0.84378,0.86392,0.88049,0.89961,0.91232,0.92268,0.93752,0.94614,0.95504,0.95871,0.96316,0.97034,0.9751,0.97495,0.97316,0.97637,0.97852,0.97764,0.97691,0.97514,0.4924426784301982,159.5514278113842
0.41884,0.62711,0.8142,0.33093,0.57526,0.41883952931457796,632.4476892650127,0.49873,0.46937,0.83909,0.48591,0.69707,0.83131,0.85408,0.86871,0.88697,0.90401,0.91619,0.9221,0.93311,0.94151,0.94485,0.94953,0.95369,0.96011,0.96347,0.96436,0.96329,0.96789,0.96846,0.96977,0.968,0.49873066169244273,161.58873438835144,0.48491,0.50179,0.8394,0.43022,0.65591,0.83507,0.85702,0.8748,0.89238,0.90772,0.9214,0.93138,0.94148,0.94885,0.95337,0.95888,0.96219,0.96376,0.96646,0.96827,0.97106,0.97344,0.97684,0.97677,0.97554,0.485135126720976,157.1837810575962
0.40962,0.64161,0.82293,0.3181,0.56401,0.4096243415841993,618.532755792141,0.44056,0.56606,0.86329,0.39737,0.63038,0.85899,0.87553,0.88876,0.90316,0.91849,0.9273,0.93674,0.94546,0.95245,0.95968,0.96713,0.96913,0.9709,0.97082,0.97343,0.97588,0.97511,0.97397,0.97159,0.97215,0.44051398309292616,142.72653052210808,0.42732,0.59589,0.86481,0.34897,0.59073,0.85611,0.87393,0.89173,0.90943,0.92328,0.93287,0.94182,0.94956,0.95551,0.95869,0.96291,0.96909,0.96956,0.97262,0.97299,0.97341,0.97297,0.97556,0.97663,0.97804,0.4274603763112315,138.49716192483902
0.40777,0.64639,0.82531,0.31393,0.56029,0.40777278472453554,615.7369049340487,0.41256,0.67034,0.87434,0.30188,0.54944,0.85413,0.87245,0.89146,0.91144,0.92026,0.93312,0.94547,0.95086,0.95611,0.96064,0.96509,0.96695,0.96896,0.97395,0.97795,0.9797,0.98125,0.98169,0.98596,0.98495,0.4124201848919009,133.6241399049759,0.4116,0.67392,0.87191,0.28158,0.53065,0.85857,0.87967,0.89998,0.91506,0.93074,0.94395,0.95217,0.96054,0.967,0.97294,0.97825,0.98182,0.98311,0.98207,0.98243,0.98376,0.98629,0.98547,0.9871,0.98659,0.411580375591178,133.35204169154167
0.40372,0.65523,0.82908,0.30607,0.55324,0.40372438548219125,609.6238220781088,0.99362,-0.27598,0.86401,1.16845,1.08095,0.85211,0.87189,0.89148,0.90803,0.92014,0.93048,0.9413,0.95283,0.95939,0.96188,0.96475,0.96926,0.97285,0.97601,0.97906,0.97902,0.97952,0.97872,0.97806,0.97443,0.9935087429152595,321.89683270454407,1.00008,-0.35396,0.86511,1.16919,1.08129,0.85157,0.86894,0.88886,0.90823,0.91771,0.92932,0.93723,0.94703,0.95515,0.96593,0.97024,0.97432,0.97534,0.97732,0.97652,0.97625,0.97603,0.97388,0.975,0.97974,1.000056822910721,324.0184106230736
0.39107,0.6713,0.83777,0.29182,0.54021,0.3910748443954828,590.523015037179,0.37285,0.69172,0.86676,0.2823,0.53132,0.85065,0.87378,0.89174,0.90606,0.91934,0.93031,0.93897,0.94849,0.95042,0.95995,0.96531,0.96784,0.96827,0.96993,0.97019,0.97045,0.97203,0.9716,0.97424,0.9717,0.37272577525840866,120.7631511837244,0.36776,0.70914,0.871,0.25117,0.50117,0.85819,0.87667,0.8956,0.9117,0.92617,0.93723,0.94667,0.95283,0.96064,0.96601,0.97179,0.97383,0.97985,0.98349,0.98624,0.986,0.98478,0.98265,0.98248,0.98326,0.3677013843883703,119.13524854183197
