train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/optimizer/base_learning_rate
0.5,0.5,0.99379,0.66528,0.49819,0.6950459392407001,216.85433304309845,0.5,0.5,0.992,0.66488,0.49821,0.6950422380678951,217.54822051525116,1715718876,,False,1,75a83ec2,2024-05-14_22-34-36,46.214539766311646,46.214539766311646,33880,AT-MB-PC-E13,127.0.0.1,46.214539766311646,1,64,6,0.001
0.8746,0.90991,0.83153,0.86896,0.96301,0.3046616112428754,95.05442270777712,1.0,1.0,1.0,1.0,1.0,0.00014529561010890823,0.04547752596408827,1715718902,,False,2,75a83ec2,2024-05-14_22-35-02,26.388842344284058,72.6033821105957,33880,AT-MB-PC-E13,127.0.0.1,72.6033821105957,2,64,6,0.001
1.0,1.0,1.0,1.0,1.0,7.375096138946155e-05,0.023010299953512003,1.0,1.0,1.0,1.0,1.0,6.276671787979116e-06,0.001964598269637463,1715718929,,False,3,75a83ec2,2024-05-14_22-35-29,27.354825019836426,99.95820713043213,33880,AT-MB-PC-E13,127.0.0.1,99.95820713043213,3,64,6,0.001
1.0,1.0,1.0,1.0,1.0,3.5315875827826367e-06,0.0011018553258281827,1.0,1.0,1.0,1.0,1.0,1.5325134366781993e-06,0.00047967670568027643,1715718956,,False,4,75a83ec2,2024-05-14_22-35-56,27.08621072769165,127.04441785812378,33880,AT-MB-PC-E13,127.0.0.1,127.04441785812378,4,64,6,0.001
1.0,1.0,1.0,1.0,1.0,9.760424703677893e-07,0.00030452525075475023,1.0,1.0,1.0,1.0,1.0,3.026831527826051e-07,9.473982682095539e-05,1715718983,,False,5,75a83ec2,2024-05-14_22-36-23,26.3608238697052,153.40524172782898,33880,AT-MB-PC-E13,127.0.0.1,153.40524172782898,5,64,6,0.001
1.0,1.0,1.0,1.0,1.0,2.159058846123284e-07,6.736263599904646e-05,1.0,1.0,1.0,1.0,1.0,1.4874827813429986e-07,4.655821105603586e-05,1715719011,,False,6,75a83ec2,2024-05-14_22-36-51,28.556028366088867,181.96127009391785,33880,AT-MB-PC-E13,127.0.0.1,181.96127009391785,6,64,6,0.001
1.0,1.0,1.0,1.0,1.0,9.664134895862683e-08,3.015210087509157e-05,1.0,1.0,1.0,1.0,1.0,1.2679006565986837e-07,3.96852905515388e-05,1715719038,,False,7,75a83ec2,2024-05-14_22-37-18,26.48958158493042,208.45085167884827,33880,AT-MB-PC-E13,127.0.0.1,208.45085167884827,7,64,6,0.001
1.0,1.0,1.0,1.0,1.0,5.6636951809730967e-08,1.7670728964636062e-05,1.0,1.0,1.0,1.0,1.0,4.627434205714374e-08,1.448386906388599e-05,1715719066,,False,8,75a83ec2,2024-05-14_22-37-46,27.78486394882202,236.2357156276703,33880,AT-MB-PC-E13,127.0.0.1,236.2357156276703,8,64,6,0.001
1.0,1.0,1.0,1.0,1.0,2.8602152088014627e-08,8.923871451460563e-06,1.0,1.0,1.0,1.0,1.0,2.1625666965374925e-08,6.768833760162352e-06,1715719095,,False,9,75a83ec2,2024-05-14_22-38-15,29.646366834640503,265.8820824623108,33880,AT-MB-PC-E13,127.0.0.1,265.8820824623108,9,64,6,0.001
1.0,1.0,1.0,1.0,1.0,1.7348786222430117e-08,5.412821301398196e-06,1.0,1.0,1.0,1.0,1.0,1.2461252340969736e-08,3.900371982723527e-06,1715719123,,True,10,75a83ec2,2024-05-14_22-38-43,27.295803546905518,293.1778860092163,33880,AT-MB-PC-E13,127.0.0.1,293.1778860092163,10,64,6,0.001
