train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
6.630000114440918,-52.42,-0.17,46.34000015258789,6.809999942779541,6.6283084683524915,2074.66055059433,6.670000076293945,-50.3,-0.22,47.09000015258789,6.860000133514404,6.668693079354283,2087.3009338378906,1712500581,,False,1,4d1b39c2,2024-04-07_14-36-21,201.80567526817322,201.80567526817322,1144723,vader,131.130.125.97,201.80567526817322,1,64,3,0.0,0.0001
2.700000047683716,-12.04,0.04,11.3100004196167,3.359999895095825,2.701483099605329,845.5642101764679,1.3300000429153442,-2.71,0.25,3.4100000858306885,1.850000023841858,1.3345255687975655,417.706503033638,1712500732,,False,2,4d1b39c2,2024-04-07_14-38-52,150.76288986206055,352.56856513023376,1144723,vader,131.130.125.97,352.56856513023376,2,64,3,0.0,0.0001
1.190000057220459,-2.02,0.32,2.619999885559082,1.6200000047683716,1.1896181763551485,372.35048919916153,0.8899999856948853,-0.64,0.48,1.5,1.2300000190734863,0.8934979773938846,279.6648669242859,1712500864,,False,3,4d1b39c2,2024-04-07_14-41-04,132.1479890346527,484.7165541648865,1144723,vader,131.130.125.97,484.7165541648865,3,64,3,0.0,0.0001
0.9200000166893005,-0.8,0.45,1.559999942779541,1.25,0.9171310265224201,287.0620113015175,0.7599999904632568,-0.24,0.52,1.1399999856948853,1.0700000524520874,0.7593515037347714,237.67702066898346,1712500988,,False,4,4d1b39c2,2024-04-07_14-43-08,124.01236534118652,608.728919506073,1144723,vader,131.130.125.97,608.728919506073,4,64,3,0.0,0.0001
0.800000011920929,-0.37,0.52,1.190000057220459,1.090000033378601,0.8022879352584814,251.1161237359047,0.6899999976158142,0.02,0.63,0.8999999761581421,0.949999988079071,0.6859832859267823,214.71276849508286,1712501122,,False,5,4d1b39c2,2024-04-07_14-45-22,133.6625943183899,742.3915138244629,1144723,vader,131.130.125.97,742.3915138244629,5,64,3,0.0,0.0001
0.7200000286102295,-0.08,0.57,0.9399999976158142,0.9700000286102295,0.7170954950320454,224.4508899450302,0.6600000262260437,0.11,0.55,0.8100000023841858,0.8999999761581421,0.6606081592770049,206.77035385370255,1712501255,,False,6,4d1b39c2,2024-04-07_14-47-35,133.11002731323242,875.5015411376953,1144723,vader,131.130.125.97,875.5015411376953,6,64,3,0.0,0.0001
0.6600000262260437,0.09,0.61,0.7900000214576721,0.8899999856948853,0.6564735720713679,205.47622805833817,0.6899999976158142,0.1,0.5,0.8299999833106995,0.9100000262260437,0.6893058603944869,215.75273430347443,1712501385,,False,7,4d1b39c2,2024-04-07_14-49-45,129.94598150253296,1005.4475226402283,1144723,vader,131.130.125.97,1005.4475226402283,7,64,3,0.0,0.0001
0.6100000143051147,0.23,0.65,0.6600000262260437,0.8199999928474426,0.6102309847792117,191.00229823589325,0.6100000143051147,0.27,0.61,0.6700000166893005,0.8199999928474426,0.613455448859035,192.01155549287796,1712501510,,False,8,4d1b39c2,2024-04-07_14-51-50,125.31091690063477,1130.758439540863,1144723,vader,131.130.125.97,1130.758439540863,8,64,3,0.0,0.0001
0.5799999833106995,0.31,0.67,0.6000000238418579,0.7799999713897705,0.5831135773239806,182.51454970240593,0.5099999904632568,0.46,0.76,0.49000000953674316,0.699999988079071,0.5118223979069402,160.20041054487228,1712501642,,False,9,4d1b39c2,2024-04-07_14-54-02,132.16005039215088,1262.918489933014,1144723,vader,131.130.125.97,1262.918489933014,9,64,3,0.0,0.0001
0.550000011920929,0.38,0.7,0.5400000214576721,0.7300000190734863,0.5499930222765707,172.1478159725666,0.5400000214576721,0.43,0.72,0.5199999809265137,0.7200000286102295,0.5388622188720459,168.66387450695038,1712501777,,False,10,4d1b39c2,2024-04-07_14-56-17,135.0285210609436,1397.9470109939575,1144723,vader,131.130.125.97,1397.9470109939575,10,64,3,0.0,0.0001
0.5299999713897705,0.43,0.72,0.49000000953674316,0.699999988079071,0.5298057622231614,165.82920357584953,0.5099999904632568,0.46,0.73,0.5,0.699999988079071,0.5056705194921158,158.27487260103226,1712501907,,False,11,4d1b39c2,2024-04-07_14-58-27,129.56249165534973,1527.5095026493073,1144723,vader,131.130.125.97,1527.5095026493073,11,64,3,0.0,0.0001
0.5,0.48,0.74,0.44999998807907104,0.6700000166893005,0.5022449757153995,157.20267739892006,0.550000011920929,0.37,0.75,0.5799999833106995,0.7599999904632568,0.5540140260713169,173.4063901603222,1712502037,,False,12,4d1b39c2,2024-04-07_15-00-37,130.34701871871948,1657.8565213680267,1144723,vader,131.130.125.97,1657.8565213680267,12,64,3,0.0,0.0001
0.47999998927116394,0.54,0.76,0.4000000059604645,0.6299999952316284,0.4753558690936421,148.78638702630997,0.47999998927116394,0.56,0.79,0.4099999964237213,0.6399999856948853,0.47628599600479626,149.07751674950123,1712502165,,False,13,4d1b39c2,2024-04-07_15-02-45,128.20887970924377,1786.0654010772705,1144723,vader,131.130.125.97,1786.0654010772705,13,64,3,0.0,0.0001
