train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/optimizer/base_learning_rate
0.4989,0.49943,0.97236,0.65991,0.52641,0.6930296268218603,216.2252435684204,0.4982,0.49907,0.9696,0.65896,0.52696,0.6930307561216263,216.91862666606903,1715717285,,False,1,91dbcf48,2024-05-14_22-08-05,42.81102752685547,42.81102752685547,54940,AT-MB-PC-E13,127.0.0.1,42.81102752685547,1,256,3,1e-05
0.54713,0.53287,0.76392,0.62781,0.58891,0.6923625375597905,216.01711171865463,0.5822,0.56308,0.7338,0.6372,0.63507,0.6919114595404068,216.5682868361473,1715717311,,False,2,91dbcf48,2024-05-14_22-08-31,25.747990131378174,68.55901765823364,54940,AT-MB-PC-E13,127.0.0.1,68.55901765823364,2,256,3,1e-05
0.63567,0.60588,0.77634,0.6806,0.72645,0.6909302385189594,215.57023441791534,0.7112,0.68144,0.7932,0.73309,0.80501,0.6897922245839152,215.90496629476547,1715717345,,False,3,91dbcf48,2024-05-14_22-09-05,33.531322717666626,102.09034037590027,54940,AT-MB-PC-E13,127.0.0.1,102.09034037590027,3,256,3,1e-05
0.78581,0.74721,0.86388,0.80132,0.89169,0.6872176860387509,214.41191804409027,0.8744,0.84692,0.914,0.87918,0.95195,0.683578855123002,213.9601816534996,1715717386,,False,4,91dbcf48,2024-05-14_22-09-46,40.99206304550171,143.08240342140198,54940,AT-MB-PC-E13,127.0.0.1,143.08240342140198,4,256,3,1e-05
0.93044,0.92236,0.94,0.9311,0.98018,0.6731001879924383,210.00725865364075,0.9707,0.95338,0.9898,0.97125,0.99715,0.6570548767479845,205.65817642211914,1715717421,,False,5,91dbcf48,2024-05-14_22-10-21,35.82362604141235,178.90602946281433,54940,AT-MB-PC-E13,127.0.0.1,178.90602946281433,5,256,3,1e-05
0.99274,0.9918,0.99369,0.99275,0.99965,0.6033424106545937,188.24283212423325,0.9998,0.9998,0.9998,0.9998,1.0,0.527993956693826,165.26210844516754,1715717453,,False,6,91dbcf48,2024-05-14_22-10-53,31.48038959503174,210.38641905784607,54940,AT-MB-PC-E13,127.0.0.1,210.38641905784607,6,256,3,1e-05
1.0,1.0,1.0,1.0,1.0,0.4040404473168728,126.0606195628643,1.0,1.0,1.0,1.0,1.0,0.2796572820066263,87.53272926807404,1715717492,,False,7,91dbcf48,2024-05-14_22-11-32,38.902209758758545,249.28862881660461,54940,AT-MB-PC-E13,127.0.0.1,249.28862881660461,7,256,3,1e-05
1.0,1.0,1.0,1.0,1.0,0.17270267193611616,53.88323364406824,1.0,1.0,1.0,1.0,1.0,0.09127275276774416,28.56837161630392,1715717530,,False,8,91dbcf48,2024-05-14_22-12-10,37.901957273483276,287.1905860900879,54940,AT-MB-PC-E13,127.0.0.1,287.1905860900879,8,256,3,1e-05
1.0,1.0,1.0,1.0,1.0,0.05211566573080535,16.26008770801127,1.0,1.0,1.0,1.0,1.0,0.02621933398321985,8.206651536747813,1715717564,,False,9,91dbcf48,2024-05-14_22-12-44,34.369741678237915,321.5603277683258,54940,AT-MB-PC-E13,127.0.0.1,321.5603277683258,9,256,3,1e-05
1.0,1.0,1.0,1.0,1.0,0.015400136698586628,4.804842649959028,1.0,1.0,1.0,1.0,1.0,0.00876563589740247,2.743644035886973,1715717600,,True,10,91dbcf48,2024-05-14_22-13-20,36.177064180374146,357.73739194869995,54940,AT-MB-PC-E13,127.0.0.1,357.73739194869995,10,256,3,1e-05
