train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_ranking_accuracy_0.1,val_ranking_accuracy_0.2,val_ranking_accuracy_0.3,val_ranking_accuracy_0.4,val_ranking_accuracy_0.5,val_ranking_accuracy_0.6,val_ranking_accuracy_0.7,val_ranking_accuracy_0.8,val_ranking_accuracy_0.9,val_ranking_accuracy_1.0,val_ranking_accuracy_1.1,val_ranking_accuracy_1.2,val_ranking_accuracy_1.3,val_ranking_accuracy_1.4,val_ranking_accuracy_1.5,val_ranking_accuracy_1.6,val_ranking_accuracy_1.7,val_ranking_accuracy_1.8,val_ranking_accuracy_1.9,val_ranking_accuracy_2.0,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
3.069999933242798,-13.5,0.06,12.579999923706055,3.549999952316284,3.071650041219516,958.3548128604889,2.690000057220459,-10.06,0.07,10.149999618530273,3.190000057220459,0.53,0.53,0.53,0.53,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.54,0.54,0.54,0.55,2.6859336082165997,840.6972193717957,1712333525,,True,5,6c6bd0bb,2024-04-05_16-12-05,145.68926548957825,766.8383166790009,1011286,vader,131.130.125.97,766.8383166790009,5,64,3,0.5,1e-05,6c6bd0bb
0.5199999809265137,0.43,0.7,0.49000000953674316,0.699999988079071,0.52029361251073,162.33160710334778,0.47999998927116394,0.5,0.77,0.46000000834465027,0.6800000071525574,0.79,0.81,0.83,0.84,0.86,0.87,0.88,0.88,0.89,0.9,0.91,0.91,0.91,0.91,0.92,0.92,0.92,0.92,0.92,0.93,0.47579656498500716,148.92432484030724,1712336559,,True,15,f15b01c7,2024-04-05_17-02-39,250.91961312294006,3796.343929052353,1011557,vader,131.130.125.97,3796.343929052353,15,256,6,0.5,0.001,f15b01c7
0.9900000095367432,-1.05,0.41,1.7799999713897705,1.3300000429153442,0.9935849186701652,309.99849462509155,0.949999988079071,-0.76,0.27,1.6100000143051147,1.2699999809265137,0.59,0.6,0.61,0.61,0.62,0.63,0.63,0.64,0.65,0.65,0.66,0.67,0.67,0.67,0.68,0.69,0.69,0.68,0.69,0.68,0.949183530510424,297.0944450497627,1712334950,,True,15,4e88bf8d,2024-04-05_16-35-50,143.24497652053833,2183.363315343857,1011856,vader,131.130.125.97,2183.363315343857,15,64,3,0.5,1e-05,4e88bf8d
2.6700000762939453,-10.65,0.03,10.109999656677246,3.180000066757202,2.67319285372893,834.0361703634262,2.309999942779541,-7.94,0.07,8.199999809265137,2.859999895095825,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.52,0.51,0.51,0.52,0.51,0.51,0.51,0.52,0.52,0.52,0.52,0.51,2.3049705797871844,721.4557914733887,1712334343,,True,5,c95dd783,2024-04-05_16-25-43,303.5569865703583,1572.030644416809,1012108,vader,131.130.125.97,1572.030644416809,5,64,6,0.5,1e-05,c95dd783
0.25999999046325684,0.83,0.91,0.15000000596046448,0.38999998569488525,0.26462915167212486,82.56429532170296,0.36000001430511475,0.7,0.86,0.27000001072883606,0.5199999809265137,0.86,0.88,0.9,0.91,0.92,0.94,0.94,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.98,0.97,0.98,0.98,0.98,0.98,0.3635709688495904,113.7977132499218,1712344165,,True,82,c8592aa5,2024-04-05_19-09-25,134.16920685768127,11389.292049407959,1012353,vader,131.130.125.97,11389.292049407959,82,64,3,0.0,0.0001,c8592aa5
0.3700000047683716,0.7,0.85,0.25999999046325684,0.5099999904632568,0.3723914885941224,116.1861444413662,0.3700000047683716,0.7,0.86,0.2800000011920929,0.5299999713897705,0.84,0.86,0.87,0.88,0.9,0.91,0.93,0.94,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.3697523559434726,115.73248741030693,1712347883,,True,100,7b26a666,2024-04-05_20-11-23,143.4418032169342,14352.109763383865,1012792,vader,131.130.125.97,14352.109763383865,100,256,3,0.5,0.001,7b26a666
0.8700000047683716,-0.51,0.45,1.309999942779541,1.149999976158142,0.8695176432912166,271.2895047068596,0.7599999904632568,-0.21,0.47,1.1100000143051147,1.0499999523162842,0.66,0.67,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.74,0.76,0.76,0.78,0.78,0.79,0.79,0.8,0.8,0.79,0.7568826063182026,236.90425577759743,1712336786,,True,5,3eec33b8,2024-04-05_17-06-26,460.4715213775635,2438.113228559494,1013142,vader,131.130.125.97,2438.113228559494,5,256,10,0.5,0.0001,3eec33b8
1.559999942779541,-4.03,0.23,4.360000133514404,2.0899999141693115,1.5612888928407278,487.12213456630707,1.25,-2.53,0.4,3.240000009536743,1.7999999523162842,0.64,0.65,0.66,0.67,0.68,0.68,0.69,0.7,0.71,0.71,0.72,0.73,0.73,0.74,0.76,0.77,0.78,0.78,0.77,0.78,1.2471617241256154,390.3616196513176,1712337052,,True,5,d719e2f0,2024-04-05_17-10-52,411.147540807724,2098.1087276935577,1013351,vader,131.130.125.97,2098.1087276935577,5,256,10,0.2,1e-05,d719e2f0
0.5099999904632568,0.48,0.73,0.44999998807907104,0.6700000166893005,0.5076644678528492,158.39131397008896,0.5299999713897705,0.39,0.78,0.5600000023841858,0.75,0.8,0.82,0.83,0.85,0.87,0.88,0.89,0.9,0.91,0.91,0.92,0.92,0.93,0.93,0.93,0.94,0.94,0.94,0.93,0.93,0.5303035410829245,165.98500835895538,1712340653,,True,15,98bc9ee8,2024-04-05_18-10-53,259.20698523521423,4088.3565933704376,1013707,vader,131.130.125.97,4088.3565933704376,15,64,6,0.2,0.0001,98bc9ee8
3.069999933242798,-13.5,0.06,12.579999923706055,3.549999952316284,3.071743232699541,958.3838886022568,2.690000057220459,-10.06,0.07,10.149999618530273,3.190000057220459,0.53,0.53,0.53,0.53,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.54,0.54,0.54,0.55,2.6859668420907408,840.7076215744019,1712337536,,True,5,210cf41f,2024-04-05_17-18-56,138.85313296318054,744.7198376655579,1013824,vader,131.130.125.97,744.7198376655579,5,256,3,0.5,1e-05,210cf41f
