train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.08,0.93,0.38,0.8,0.20564572236993733,34.95977280288935,0.07,0.93,0.29,0.72,0.26362655878067015,6.590663969516754,1712142712,,True,15,1ad88a48,2024-04-03_13-11-52,174.88593864440918,2575.6268181800842,35416,AT-MB-PC-EOS,127.0.0.1,2575.6268181800842,15,256,6,0.0,0.0001,1ad88a48
0.08,0.58,0.09,0.53,0.668563382064595,113.65577495098114,0.07,0.67,0.11,0.57,0.6311742877960205,15.779357194900513,1712143376,,True,5,9f8214ff,2024-04-03_13-22-56,272.5795810222626,1382.7457780838013,30724,AT-MB-PC-EOS,127.0.0.1,1382.7457780838013,5,64,10,0.5,1e-05,9f8214ff
0.08,0.61,0.09,0.51,0.6414793200352613,109.05148440599442,0.07,0.68,0.1,0.52,0.579726574420929,14.493164360523224,1712143304,,True,5,c206647e,2024-04-03_13-21-44,177.58252716064453,885.8851118087769,20952,AT-MB-PC-EOS,127.0.0.1,885.8851118087769,5,256,6,0.5,1e-05,c206647e
0.08,0.93,0.38,0.81,0.19870317836894708,33.779540322721004,0.07,0.93,0.31,0.72,0.25225006222724916,6.306251555681229,1712145294,,True,15,e0794f4d,2024-04-03_13-54-54,170.93960523605347,2574.387958049774,26700,AT-MB-PC-EOS,127.0.0.1,2574.387958049774,15,128,6,0.0,0.001,e0794f4d
0.08,0.96,0.81,0.97,0.09709855093456367,16.506753658875823,0.07,0.94,0.43,0.81,0.24500867635011672,6.125216908752918,1712160447,,True,100,3156dad4,2024-04-03_18-07-27,175.19394207000732,17135.046197652817,37272,AT-MB-PC-EOS,127.0.0.1,17135.046197652817,100,256,6,0.2,0.001,3156dad4
0.08,0.95,0.6,0.9,0.15325026301776662,26.052544713020325,0.07,0.94,0.42,0.8,0.20280571043491363,5.070142760872841,1712147733,,True,45,f35dab34,2024-04-03_14-35-33,92.2774338722229,4348.711382627487,11132,AT-MB-PC-EOS,127.0.0.1,4348.711382627487,45,64,3,0.0,0.0001,f35dab34
0.08,0.91,0.15,0.58,0.31557537965914784,53.64781454205513,0.07,0.91,0.17,0.57,0.3113551640510559,7.783879101276398,1712146166,,True,5,6675bfeb,2024-04-03_14-09-26,169.80454635620117,859.3023328781128,31188,AT-MB-PC-EOS,127.0.0.1,859.3023328781128,5,64,6,0.2,0.0001,6675bfeb
0.08,0.99,0.98,1.0,0.028742924234008087,4.886297119781375,0.07,0.93,0.42,0.79,0.3964106476306915,9.910266190767288,1712155801,,True,100,12cc3001,2024-04-03_16-50-01,96.57691860198975,9627.138677597046,20560,AT-MB-PC-EOS,127.0.0.1,9627.138677597046,100,64,3,0.0,0.001,12cc3001
0.08,0.93,0.37,0.81,0.2026430099764291,34.44931169599295,0.07,0.93,0.27,0.74,0.23230325937271118,5.8075814843177795,1712149170,,True,15,cc24a759,2024-04-03_14-59-30,95.13633728027344,1428.2903282642365,34040,AT-MB-PC-EOS,127.0.0.1,1428.2903282642365,15,256,3,0.0,0.0001,cc24a759
0.08,0.99,0.99,1.0,0.018075141036773427,3.072773976251483,0.07,0.93,0.41,0.79,0.4680431020259857,11.701077550649643,1712167276,,True,100,2c7123da,2024-04-03_20-01-16,202.34665036201477,18097.99697780609,5876,AT-MB-PC-EOS,127.0.0.1,18097.99697780609,100,64,6,0.0,0.001,2c7123da
