train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/modules/1/times
0.5,0.5,0.83,0.62,0.5,1.055032988771414,329.1702924966812,0.5,0.5,0.85,0.63,0.5,1.0776515751601028,337.30494302511215,1712411304,,False,1,46698c3a,2024-04-06_15-48-24,96.05015015602112,96.05015015602112,47072,AT-MB-PC-E13,127.0.0.1,96.05015015602112,1,3
0.56,0.55,0.6,0.58,0.59,0.6838798441756995,213.37051138281822,0.59,0.55,0.98,0.71,0.77,0.888485323316373,278.09590619802475,1712411375,,False,2,46698c3a,2024-04-06_15-49-35,71.45182514190674,167.50197529792786,47072,AT-MB-PC-E13,127.0.0.1,167.50197529792786,2,3
0.82,0.83,0.82,0.82,0.92,0.34225185158161014,106.78257769346237,0.88,0.9,0.86,0.88,0.96,0.24765192363827754,77.51505209878087,1712411447,,False,3,46698c3a,2024-04-06_15-50-47,71.96788692474365,239.4698622226715,47072,AT-MB-PC-E13,127.0.0.1,239.4698622226715,3,3
0.91,0.91,0.91,0.91,0.98,0.19815512562098986,61.82439919374883,0.93,0.92,0.93,0.93,0.99,0.15699678231863834,49.1399928657338,1712411517,,False,4,46698c3a,2024-04-06_15-51-57,69.59513831138611,309.0650005340576,47072,AT-MB-PC-E13,127.0.0.1,309.0650005340576,4,3
0.93,0.93,0.93,0.93,0.99,0.1458398890771115,45.50204539205879,0.91,0.87,0.97,0.92,0.99,0.18059292234504185,56.5255846939981,1712411589,,False,5,46698c3a,2024-04-06_15-53-09,72.48288345336914,381.54788398742676,47072,AT-MB-PC-E13,127.0.0.1,381.54788398742676,5,3
0.95,0.95,0.95,0.95,0.99,0.11943847614113623,37.264804556034505,0.94,0.91,0.96,0.94,0.99,0.1569318144080845,49.11965790973045,1712411662,,False,6,46698c3a,2024-04-06_15-54-22,72.27896070480347,453.8268446922302,47072,AT-MB-PC-E13,127.0.0.1,453.8268446922302,6,3
0.95,0.95,0.95,0.95,0.99,0.10757996546677671,33.56494922563434,0.94,0.93,0.96,0.94,0.99,0.12653288066077728,39.60479164682329,1712411732,,False,7,46698c3a,2024-04-06_15-55-32,70.71889781951904,524.5457425117493,47072,AT-MB-PC-E13,127.0.0.1,524.5457425117493,7,3
0.96,0.96,0.96,0.96,0.99,0.09453449546037099,29.494762583635747,0.95,0.94,0.96,0.95,0.99,0.11327633007045332,35.45549131205189,1712411807,,False,8,46698c3a,2024-04-06_15-56-47,75.07212114334106,599.6178636550903,47072,AT-MB-PC-E13,127.0.0.1,599.6178636550903,8,3
0.96,0.96,0.96,0.96,0.99,0.09234190553737183,28.810674527660012,0.95,0.96,0.94,0.95,0.99,0.11100824424601234,34.745580449001864,1712411884,,False,9,46698c3a,2024-04-06_15-58-04,76.50219416618347,676.1200578212738,47072,AT-MB-PC-E13,127.0.0.1,676.1200578212738,9,3
0.96,0.96,0.96,0.96,1.0,0.08616954227872133,26.884897190961055,0.94,0.97,0.91,0.94,0.99,0.15669256333892528,49.04477232508361,1712411962,,False,10,46698c3a,2024-04-06_15-59-22,78.25760221481323,754.377660036087,47072,AT-MB-PC-E13,127.0.0.1,754.377660036087,10,3
