train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_ranking_accuracy_0.1,val_ranking_accuracy_0.2,val_ranking_accuracy_0.3,val_ranking_accuracy_0.4,val_ranking_accuracy_0.5,val_ranking_accuracy_0.6,val_ranking_accuracy_0.7,val_ranking_accuracy_0.8,val_ranking_accuracy_0.9,val_ranking_accuracy_1.0,val_ranking_accuracy_1.1,val_ranking_accuracy_1.2,val_ranking_accuracy_1.3,val_ranking_accuracy_1.4,val_ranking_accuracy_1.5,val_ranking_accuracy_1.6,val_ranking_accuracy_1.7,val_ranking_accuracy_1.8,val_ranking_accuracy_1.9,val_ranking_accuracy_2.0,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_ranking_accuracy_0.1,test_ranking_accuracy_0.2,test_ranking_accuracy_0.3,test_ranking_accuracy_0.4,test_ranking_accuracy_0.5,test_ranking_accuracy_0.6,test_ranking_accuracy_0.7,test_ranking_accuracy_0.8,test_ranking_accuracy_0.9,test_ranking_accuracy_1.0,test_ranking_accuracy_1.1,test_ranking_accuracy_1.2,test_ranking_accuracy_1.3,test_ranking_accuracy_1.4,test_ranking_accuracy_1.5,test_ranking_accuracy_1.6,test_ranking_accuracy_1.7,test_ranking_accuracy_1.8,test_ranking_accuracy_1.9,test_ranking_accuracy_2.0,test_mean_loss,test_sum_loss
4.76,-27.69,-0.47,25.47,5.05,4.758736713358898,7185.692437171936,4.72,-26.54,-0.48,25.22,5.02,0.33,0.32,0.31,0.3,0.29,0.29,0.28,0.26,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.19,0.18,0.18,0.18,0.17,4.722963685606733,1530.2402341365814,4.75,-28.36,-0.47,25.35,5.04,0.33,0.32,0.31,0.3,0.29,0.27,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.18,0.17,0.15,0.16,0.16,0.14,4.748154117737287,1538.401934146881
0.55,0.28,0.71,0.64,0.8,0.5454803693373471,823.6753576993942,0.4,0.66,0.84,0.31,0.56,0.84,0.85,0.87,0.88,0.89,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.4017394368571264,130.16357754170895,0.4,0.66,0.84,0.29,0.54,0.83,0.85,0.87,0.89,0.9,0.91,0.92,0.93,0.93,0.94,0.95,0.95,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.395869209902522,128.26162400841713
0.43,0.62,0.81,0.34,0.58,0.4254299701049628,642.3992548584938,0.59,0.42,0.84,0.53,0.73,0.83,0.85,0.87,0.88,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.97,0.97,0.5923729805666723,191.92884570360184,0.59,0.39,0.84,0.52,0.72,0.83,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.5940120178792212,192.45989379286766
0.41,0.65,0.82,0.31,0.56,0.4109915871296497,620.5972965657711,0.38,0.69,0.85,0.29,0.54,0.85,0.87,0.89,0.9,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.3788165355814092,122.73655752837658,0.37,0.7,0.85,0.26,0.51,0.85,0.86,0.88,0.9,0.91,0.93,0.94,0.95,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.3711776135052428,120.26154677569866
0.4,0.67,0.83,0.29,0.54,0.3962166012517664,598.2870678901672,0.37,0.69,0.86,0.28,0.53,0.85,0.86,0.88,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.36896048624206473,119.54319754242897,0.36,0.71,0.86,0.25,0.5,0.84,0.86,0.88,0.9,0.92,0.93,0.94,0.95,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.98,0.99,0.98,0.3584453030316918,116.13627818226814
0.39,0.67,0.84,0.29,0.54,0.3947543813100714,596.0791157782078,0.39,0.68,0.87,0.29,0.54,0.85,0.87,0.89,0.9,0.91,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.3871387233612714,125.43294636905193,0.38,0.7,0.87,0.26,0.51,0.85,0.87,0.89,0.9,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.3785277208612289,122.64298155903816
0.39,0.68,0.84,0.28,0.53,0.3897888617997138,588.5811813175678,0.44,0.63,0.83,0.34,0.59,0.83,0.85,0.86,0.88,0.89,0.91,0.92,0.93,0.94,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.98,0.97,0.98,0.98,0.4429929062356184,143.52970162034035,0.43,0.63,0.83,0.32,0.57,0.84,0.86,0.87,0.89,0.9,0.92,0.93,0.94,0.94,0.95,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.43471799744867984,140.84863117337227
0.38,0.69,0.85,0.28,0.53,0.3833374350572264,578.8395269364119,0.34,0.74,0.88,0.24,0.49,0.86,0.88,0.9,0.91,0.93,0.94,0.95,0.96,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.3434120744558764,111.26551212370396,0.33,0.75,0.88,0.21,0.46,0.86,0.88,0.89,0.91,0.92,0.94,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.33323017659562604,107.96657721698284
0.38,0.7,0.85,0.26,0.51,0.37588903171731936,567.5924378931522,0.33,0.75,0.89,0.23,0.48,0.87,0.89,0.91,0.92,0.93,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.33028832933417074,107.01341870427132,0.32,0.76,0.89,0.2,0.45,0.87,0.89,0.91,0.92,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.32122900162214113,104.07819652557373
0.37,0.71,0.86,0.26,0.51,0.367649287222237,555.1504237055779,0.42,0.68,0.89,0.3,0.54,0.87,0.89,0.91,0.92,0.93,0.95,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,1.0,0.4197647244106104,136.00377070903778,0.42,0.67,0.88,0.28,0.53,0.87,0.89,0.9,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.4161692069452486,134.83882305026054
0.37,0.71,0.85,0.26,0.51,0.37415085642148327,564.9677931964397,0.41,0.68,0.86,0.3,0.54,0.84,0.86,0.88,0.9,0.91,0.92,0.93,0.95,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.4109653847085105,133.1527846455574,0.41,0.67,0.85,0.28,0.53,0.84,0.86,0.88,0.9,0.91,0.93,0.94,0.95,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.41076498405065065,133.0878548324108
