train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/modules/1/times
0.49999,0.5,0.99662,0.66591,0.49998,1.1612376931794854,1997.328832268715,0.5,0.5,0.99591,0.66576,0.49998,1.186881422022058,435.58548188209534,0.5,0.5,0.99777,0.66617,0.49997,1.1958796902878643,436.4960869550705,1713889619,,False,1,702c62c4,2024-04-23_18-26-59,995.703202009201,995.703202009201,35520,AT-MB-PC-E13,127.0.0.1,995.703202009201,1,3
0.87234,0.86886,0.87705,0.87294,0.9623,0.23304461844611998,400.8367437273264,0.94497,0.91473,0.98143,0.94691,0.99344,0.1358085271222923,49.84172945388127,0.94699,0.91799,0.98167,0.94876,0.99402,0.13017227984590085,47.512882143753814,1713890572,,False,2,702c62c4,2024-04-23_18-42-52,953.6677534580231,1949.3709554672241,35520,AT-MB-PC-E13,127.0.0.1,1949.3709554672241,2,3
0.9628,0.96194,0.96374,0.96283,0.99582,0.08421157014828316,144.84390065504704,0.96951,0.97649,0.96218,0.96928,0.99783,0.0602490366291815,22.11139644290961,0.97114,0.9791,0.96283,0.9709,0.99785,0.060913893855089156,22.233571257107542,1713891513,,False,3,702c62c4,2024-04-23_18-58-33,940.9703052043915,2890.3412606716156,35520,AT-MB-PC-E13,127.0.0.1,2890.3412606716156,3,3
0.97133,0.97,0.97275,0.97137,0.99769,0.06125507208964209,105.3587239941844,0.96738,0.9546,0.98143,0.96783,0.99731,0.07687580230867008,28.21341944728192,0.97088,0.95817,0.98476,0.97128,0.99769,0.07084903018043755,25.859896015859704,1713892458,,False,4,702c62c4,2024-04-23_19-14-18,944.905654668808,3835.2469153404236,35520,AT-MB-PC-E13,127.0.0.1,3835.2469153404236,4,3
0.97455,0.97274,0.97645,0.97459,0.99819,0.05352244245937495,92.05860103012492,0.97428,0.97884,0.96951,0.97415,0.99833,0.051701353536811705,18.974396748009895,0.97885,0.97975,0.9779,0.97883,0.99855,0.04724407593542447,17.24408771642993,1713893402,,False,5,702c62c4,2024-04-23_19-30-02,944.12677526474,4779.373690605164,35520,AT-MB-PC-E13,127.0.0.1,4779.373690605164,5,3
0.97611,0.9745,0.9778,0.97615,0.99835,0.05040441259814881,86.69558966881596,0.98083,0.98422,0.97734,0.98077,0.9991,0.04009722545439163,14.715681741761728,0.98219,0.98384,0.98047,0.98216,0.99907,0.03921413966491942,14.313160977695588,1713894346,,False,6,702c62c4,2024-04-23_19-45-46,943.2730603218079,5722.646750926971,35520,AT-MB-PC-E13,127.0.0.1,5722.646750926971,6,3
0.97655,0.97601,0.97713,0.97657,0.99854,0.04745665547563984,81.62544741810052,0.97606,0.97069,0.98177,0.9762,0.99861,0.04927560760778307,18.084147992056387,0.97867,0.9718,0.98595,0.97883,0.99893,0.044033741928637626,16.072315803952733,1713895290,,False,7,702c62c4,2024-04-23_20-01-30,944.6567616462708,6667.303512573242,35520,AT-MB-PC-E13,127.0.0.1,6667.303512573242,7,3
0.97795,0.97735,0.97858,0.97797,0.99856,0.045853339017684826,78.8677431104179,0.97692,0.96885,0.98552,0.97711,0.99876,0.045681358560688515,16.765058591772686,0.9773,0.9673,0.98801,0.97754,0.99884,0.04432849520259243,16.17990074894624,1713896227,,False,8,702c62c4,2024-04-23_20-17-07,936.3931000232697,7603.696612596512,35520,AT-MB-PC-E13,127.0.0.1,7603.696612596512,8,3
0.97845,0.97551,0.98154,0.97852,0.99874,0.04332729379904755,74.5229453343618,0.97734,0.98461,0.96985,0.97717,0.99851,0.048650463311579295,17.8547200353496,0.98056,0.98329,0.97773,0.9805,0.99902,0.04049526596069496,14.780772075653658,1713897162,,False,9,702c62c4,2024-04-23_20-32-42,935.331618309021,8539.028230905533,35520,AT-MB-PC-E13,127.0.0.1,8539.028230905533,9,3
0.97801,0.97585,0.98027,0.97806,0.99871,0.04336830968424143,74.59349265689525,0.97726,0.9841,0.97019,0.9771,0.99873,0.045387646773418,16.657266365844407,0.97919,0.98241,0.97585,0.97912,0.99901,0.03951752957359594,14.423898294362516,1713898098,,False,10,702c62c4,2024-04-23_20-48-18,935.8139517307281,9474.842182636261,35520,AT-MB-PC-E13,127.0.0.1,9474.842182636261,10,3
