train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/optimizer/base_learning_rate
0.49856,0.49926,0.96913,0.65901,0.52836,0.6930179418519485,1191.9908599853516,0.49872,0.49934,0.96865,0.65898,0.52799,0.6930203764250233,254.33847814798355,0.49666,0.49828,0.96848,0.65802,0.52946,0.6930150606860853,252.95049715042114,1715720328,,False,1,f5c7fa0f,2024-05-14_22-58-48,161.3313364982605,161.3313364982605,34128,AT-MB-PC-E13,127.0.0.1,161.3313364982605,1,64,3,0.001
0.99075,0.98917,0.99237,0.99077,0.99977,0.03004175244702284,51.67181420887928,1.0,1.0,1.0,1.0,1.0,1.0734692373320935e-06,0.0003939632101008783,1.0,1.0,1.0,1.0,1.0,1.466118277838252e-06,0.000535133171410962,1715720442,,False,2,f5c7fa0f,2024-05-14_23-00-42,114.79451704025269,276.1258535385132,34128,AT-MB-PC-E13,127.0.0.1,276.1258535385132,2,64,3,0.001
0.99952,0.99935,0.99969,0.99952,1.0,0.0019022601943847902,3.271887534341839,1.0,1.0,1.0,1.0,1.0,5.99778433862487e-07,0.00022011868522753275,1.0,1.0,1.0,1.0,1.0,8.526096152893434e-07,0.00031120250958061035,1715720558,,False,3,f5c7fa0f,2024-05-14_23-02-38,115.32807898521423,391.4539325237274,34128,AT-MB-PC-E13,127.0.0.1,391.4539325237274,3,64,3,0.001
1.0,1.0,1.0,1.0,1.0,1.398763257603115e-07,0.0002405872803077358,1.0,1.0,1.0,1.0,1.0,4.564669801997667e-08,1.6752338173331438e-05,1.0,1.0,1.0,1.0,1.0,8.781592616854695e-08,3.2052813051519635e-05,1715720673,,False,4,f5c7fa0f,2024-05-14_23-04-33,115.74233794212341,507.19627046585083,34128,AT-MB-PC-E13,127.0.0.1,507.19627046585083,4,64,3,0.001
1.0,1.0,1.0,1.0,1.0,5.149130137007272e-08,8.856503835652507e-05,1.0,1.0,1.0,1.0,1.0,1.4921364429238693e-08,5.4761407455306e-06,1.0,1.0,1.0,1.0,1.0,3.355910040148429e-08,1.2249071646541765e-05,1715720789,,False,5,f5c7fa0f,2024-05-14_23-06-29,115.09290218353271,622.2891726493835,34128,AT-MB-PC-E13,127.0.0.1,622.2891726493835,5,64,3,0.001
1.0,1.0,1.0,1.0,1.0,1.3924150597261835e-08,2.3949539027290356e-05,1.0,1.0,1.0,1.0,1.0,3.715132678636427e-09,1.3634536930595686e-06,1.0,1.0,1.0,1.0,1.0,1.0512396852556718e-08,3.837024851183202e-06,1715720903,,False,6,f5c7fa0f,2024-05-14_23-08-23,114.01857852935791,736.3077511787415,34128,AT-MB-PC-E13,127.0.0.1,736.3077511787415,6,64,3,0.001
1.0,1.0,1.0,1.0,1.0,5.6365974568695854e-09,9.694947625815686e-06,1.0,1.0,1.0,1.0,1.0,8.932569240746523e-10,3.278252911353974e-07,1.0,1.0,1.0,1.0,1.0,3.031255742608588e-09,1.1064083460521346e-06,1715721017,,False,7,f5c7fa0f,2024-05-14_23-10-17,114.6358106136322,850.9435617923737,34128,AT-MB-PC-E13,127.0.0.1,850.9435617923737,7,64,3,0.001
1.0,1.0,1.0,1.0,1.0,1.040696247976541e-09,1.7899975465196505e-06,1.0,1.0,1.0,1.0,1.0,2.537662862164495e-10,9.313222704143698e-08,1.0,1.0,1.0,1.0,1.0,1.0104201390345925e-09,3.6880335074762627e-07,1715721132,,False,8,f5c7fa0f,2024-05-14_23-12-12,114.69635820388794,965.6399199962616,34128,AT-MB-PC-E13,127.0.0.1,965.6399199962616,8,64,3,0.001
1.0,1.0,1.0,1.0,1.0,3.822750277179756e-10,6.57513047674918e-07,1.0,1.0,1.0,1.0,1.0,8.120523024827098e-11,2.980231950111545e-08,1.0,1.0,1.0,1.0,1.0,3.266006667548039e-10,1.1920924336550343e-07,1715721247,,False,9,f5c7fa0f,2024-05-14_23-14-07,115.35941958427429,1080.999339580536,34128,AT-MB-PC-E13,127.0.0.1,1080.999339580536,9,64,3,0.001
1.0,1.0,1.0,1.0,1.0,1.2995192970806143e-10,2.2351731909786565e-07,1.0,1.0,1.0,1.0,1.0,1.015065415917523e-11,3.725290076417309e-09,1.0,1.0,1.0,1.0,1.0,1.3268155402374448e-10,4.8428767218666735e-08,1715721363,,False,10,f5c7fa0f,2024-05-14_23-16-03,115.55499005317688,1196.5543296337128,34128,AT-MB-PC-E13,127.0.0.1,1196.5543296337128,10,64,3,0.001
