train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/optimizer/base_learning_rate
0.50034,0.50034,1.0,0.66697,0.50148,0.6953092345054234,256.5691075325012,0.50042,0.50042,1.0,0.66704,0.50213,0.6951407965024312,52.13555973768234,1715761175,,False,1,d4ad259d,2024-05-15_10-19-35,23.118168354034424,23.118168354034424,38744,AT-MB-PC-E13,127.0.0.1,23.118168354034424,1,128,10,0.0001
0.50102,0.50133,0.5117,0.50646,0.50221,0.6935164106247548,255.90755552053452,0.50042,0.50042,1.0,0.66704,0.50382,0.6934431076049805,52.008233070373535,1715761196,,False,2,d4ad259d,2024-05-15_10-19-56,20.686643362045288,43.80481171607971,38744,AT-MB-PC-E13,127.0.0.1,43.80481171607971,2,128,10,0.0001
0.50713,0.50502,0.75136,0.60404,0.50447,0.6932207966238503,255.79847395420074,0.50042,0.50042,1.0,0.66704,0.50652,0.6933559966087341,52.00169974565506,1715761216,,False,3,d4ad259d,2024-05-15_10-20-16,20.580692291259766,64.38550400733948,38744,AT-MB-PC-E13,127.0.0.1,64.38550400733948,3,128,10,0.0001
0.49779,0.49849,0.61788,0.5518,0.50048,0.6935450786820595,255.91813403367996,0.49958,0.0,0.0,0.0,0.50838,0.6931937328974406,51.989529967308044,1715761237,,False,4,d4ad259d,2024-05-15_10-20-37,20.942796230316162,85.32830023765564,38744,AT-MB-PC-E13,127.0.0.1,85.32830023765564,4,128,10,0.0001
0.50933,0.50973,0.50645,0.50808,0.51934,0.6926140281243053,255.57457637786865,0.90396,0.83898,1.0,0.91244,0.97981,0.6713149762153625,50.34862321615219,1715761258,,False,5,d4ad259d,2024-05-15_10-20-58,20.908019304275513,106.23631954193115,38744,AT-MB-PC-E13,127.0.0.1,106.23631954193115,5,128,10,0.0001
0.97471,0.95735,0.99372,0.9752,0.98779,0.12846409488560223,47.40325101278722,0.98315,0.97993,0.98653,0.98322,0.98909,0.08680300574749708,6.510225431062281,1715761279,,False,6,d4ad259d,2024-05-15_10-21-19,21.120115756988525,127.35643529891968,38744,AT-MB-PC-E13,127.0.0.1,127.35643529891968,6,128,10,0.0001
0.9798,0.97197,0.98813,0.97998,0.99263,0.07264162350741284,26.804759074235335,0.98315,0.97993,0.98653,0.98322,0.9899,0.0788562399148941,5.914217993617058,1715761301,,False,7,d4ad259d,2024-05-15_10-21-41,21.549806118011475,148.90624141693115,38744,AT-MB-PC-E13,127.0.0.1,148.90624141693115,7,128,10,0.0001
0.97963,0.97196,0.98779,0.97981,0.9931,0.07140435247371595,26.348206062801182,0.98315,0.97674,0.9899,0.98328,0.98996,0.0762653407547623,5.719900556607172,1715761322,,False,8,d4ad259d,2024-05-15_10-22-02,20.899185180664062,169.80542659759521,38744,AT-MB-PC-E13,127.0.0.1,169.80542659759521,8,128,10,0.0001
0.9804,0.97469,0.98643,0.98053,0.99327,0.0692722331172519,25.561454020265955,0.98147,0.97351,0.9899,0.98164,0.99003,0.07965717039691905,5.974287779768929,1715761343,,False,9,d4ad259d,2024-05-15_10-22-23,20.741286277770996,190.5467128753662,38744,AT-MB-PC-E13,127.0.0.1,190.5467128753662,9,128,10,0.0001
0.98108,0.97441,0.98813,0.98122,0.99399,0.0662738755887985,24.45506009226665,0.97978,0.9798,0.9798,0.9798,0.99191,0.07597819344761471,5.698364508571103,1715761364,,True,10,d4ad259d,2024-05-15_10-22-44,21.571739196777344,212.11845207214355,38744,AT-MB-PC-E13,127.0.0.1,212.11845207214355,10,128,10,0.0001
