train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/optimizer/base_learning_rate
0.49966,0.0,0.0,0.0,0.5045,0.694649561956969,256.3256883621216,0.49958,0.0,0.0,0.0,0.50192,0.6944238432248433,52.08178824186325,1715761755,,False,1,a6104873,2024-05-15_10-29-15,22.49238085746765,22.49238085746765,38744,AT-MB-PC-E13,127.0.0.1,22.49238085746765,1,64,3,0.0001
0.49941,0.4996,0.3175,0.38826,0.5016,0.6934052881832692,255.8665513396263,0.51559,0.54043,0.2138,0.30639,0.52336,0.6926559909184774,51.9491993188858,1715761774,,False,2,a6104873,2024-05-15_10-29-34,18.808220148086548,41.3006010055542,38744,AT-MB-PC-E13,127.0.0.1,41.3006010055542,2,64,3,0.0001
0.51112,0.51395,0.42181,0.46334,0.51904,0.6926625889491259,255.59249532222748,0.52317,0.67073,0.09259,0.16272,0.58914,0.6915745544433594,51.86809158325195,1715761793,,False,3,a6104873,2024-05-15_10-29-53,19.22870397567749,60.52930498123169,38744,AT-MB-PC-E13,127.0.0.1,60.52930498123169,3,64,3,0.0001
0.54625,0.55805,0.44759,0.49675,0.56879,0.6893622695915098,254.37467747926712,0.54002,0.52281,0.92593,0.66829,0.70489,0.6839112933476766,51.293347001075745,1715761812,,False,4,a6104873,2024-05-15_10-30-12,19.609760522842407,80.1390655040741,38744,AT-MB-PC-E13,127.0.0.1,80.1390655040741,4,64,3,0.0001
0.67982,0.67074,0.70726,0.68852,0.74865,0.6566309980583708,242.29683828353882,0.97473,0.96078,0.9899,0.97512,0.98734,0.573640767733256,43.0230575799942,1715761832,,False,5,a6104873,2024-05-15_10-30-32,19.550145387649536,99.68921089172363,38744,AT-MB-PC-E13,127.0.0.1,99.68921089172363,5,64,3,0.0001
0.95748,0.94981,0.96608,0.95787,0.98761,0.3354085723801357,123.76576320827007,0.98315,0.9736,0.99327,0.98333,0.98981,0.12883264561494193,9.662448421120644,1715761850,,False,6,a6104873,2024-05-15_10-30-50,18.45602822303772,118.14523911476135,38744,AT-MB-PC-E13,127.0.0.1,118.14523911476135,6,64,3,0.0001
0.98048,0.97185,0.98965,0.98067,0.99557,0.07755730183401364,28.618644376751035,0.98484,0.98,0.9899,0.98492,0.99038,0.07417497847229243,5.563123385421932,1715761870,,False,7,a6104873,2024-05-15_10-31-10,19.546823501586914,137.69206261634827,38744,AT-MB-PC-E13,127.0.0.1,137.69206261634827,7,64,3,0.0001
0.98175,0.97413,0.98982,0.98191,0.99591,0.06134387557861726,22.63589008850977,0.98484,0.98,0.9899,0.98492,0.99024,0.07500892330116282,5.625669247587211,1715761890,,False,8,a6104873,2024-05-15_10-31-30,19.963551998138428,157.6556146144867,38744,AT-MB-PC-E13,127.0.0.1,157.6556146144867,8,64,3,0.0001
0.98048,0.9771,0.98406,0.98056,0.99665,0.059802052330944704,22.066957310118596,0.98315,0.98976,0.97643,0.98305,0.99083,0.1020291263361772,7.652184475213289,1715761909,,False,9,a6104873,2024-05-15_10-31-49,18.96339440345764,176.61900901794434,38744,AT-MB-PC-E13,127.0.0.1,176.61900901794434,9,64,3,0.0001
0.97972,0.97514,0.98457,0.97983,0.99623,0.06315644092773917,23.304726702335756,0.98399,0.98319,0.98485,0.98402,0.9925,0.07993335736139368,5.995001802104525,1715761927,,True,10,a6104873,2024-05-15_10-32-07,18.37552237510681,194.99453139305115,38744,AT-MB-PC-E13,127.0.0.1,194.99453139305115,10,64,3,0.0001
