train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/optimizer/base_learning_rate,logdir
0.99516,0.99508,0.99525,0.99517,0.9999,0.013148099252024835,4.851648623997164,0.97304,0.97306,0.97306,0.97306,0.99879,0.08525839292211156,6.394379469158366,0.96061,0.97256,0.9494,0.96084,0.99762,0.09189373728664928,7.62718019479189,1715768234,,False,100,b3775cef,2024-05-15_12-17-14,21.449768543243408,2240.325553417206,49168,AT-MB-PC-E13,127.0.0.1,2240.325553417206,100,64,3,0.0001,b3775cef
0.99728,0.99661,0.99796,0.99729,0.99992,0.01046720841593547,3.8623999054801885,0.98062,0.97983,0.98148,0.98066,0.99861,0.10315686342411709,7.736764756808782,0.96667,0.97289,0.96131,0.96707,0.99433,0.19609131158990092,16.275578861961776,1715768242,,False,100,f0df1706,2024-05-15_12-17-22,23.137027740478516,2242.941972255707,7124,AT-MB-PC-E13,127.0.0.1,2242.941972255707,100,64,3,0.0001,f0df1706
