train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_ranking_accuracy_0.1,val_ranking_accuracy_0.2,val_ranking_accuracy_0.3,val_ranking_accuracy_0.4,val_ranking_accuracy_0.5,val_ranking_accuracy_0.6,val_ranking_accuracy_0.7,val_ranking_accuracy_0.8,val_ranking_accuracy_0.9,val_ranking_accuracy_1.0,val_ranking_accuracy_1.1,val_ranking_accuracy_1.2,val_ranking_accuracy_1.3,val_ranking_accuracy_1.4,val_ranking_accuracy_1.5,val_ranking_accuracy_1.6,val_ranking_accuracy_1.7,val_ranking_accuracy_1.8,val_ranking_accuracy_1.9,val_ranking_accuracy_2.0,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_ranking_accuracy_0.1,test_ranking_accuracy_0.2,test_ranking_accuracy_0.3,test_ranking_accuracy_0.4,test_ranking_accuracy_0.5,test_ranking_accuracy_0.6,test_ranking_accuracy_0.7,test_ranking_accuracy_0.8,test_ranking_accuracy_0.9,test_ranking_accuracy_1.0,test_ranking_accuracy_1.1,test_ranking_accuracy_1.2,test_ranking_accuracy_1.3,test_ranking_accuracy_1.4,test_ranking_accuracy_1.5,test_ranking_accuracy_1.6,test_ranking_accuracy_1.7,test_ranking_accuracy_1.8,test_ranking_accuracy_1.9,test_ranking_accuracy_2.0,test_mean_loss,test_sum_loss
0.36977,0.70611,0.85603,0.2609,0.51079,0.36976956759659657,558.3520470708609,0.45199,0.58675,0.88278,0.37842,0.61516,0.87172,0.88749,0.90456,0.92214,0.93161,0.94287,0.95008,0.95583,0.96043,0.96596,0.97068,0.97196,0.97325,0.97294,0.97321,0.97542,0.9744,0.97571,0.97463,0.97177,0.45182726053911965,146.39203241467476,0.4364,0.61502,0.88641,0.33245,0.57658,0.8733,0.89267,0.91264,0.92453,0.93686,0.94942,0.95738,0.96544,0.97079,0.97708,0.97883,0.98155,0.98038,0.98008,0.98252,0.9829,0.98313,0.98357,0.98369,0.98378,0.43638583097928835,141.38900923728943
0.35494,0.72878,0.86758,0.24078,0.49069,0.35494248440723547,535.9631514549255,0.41086,0.66388,0.89575,0.3078,0.5548,0.87148,0.89183,0.90974,0.92346,0.93314,0.94334,0.95024,0.95885,0.96375,0.97036,0.97528,0.978,0.97981,0.98075,0.98174,0.98345,0.98427,0.98516,0.98414,0.98312,0.4108068631203086,133.10142365098,0.39924,0.68254,0.89721,0.27414,0.52358,0.87296,0.89294,0.91117,0.92551,0.93893,0.9503,0.95915,0.96453,0.96827,0.97226,0.97535,0.97783,0.97978,0.98045,0.9793,0.98039,0.98017,0.98041,0.98111,0.98116,0.3992346105752168,129.35201382637024
0.3455,0.74147,0.8739,0.22954,0.4791,0.345498155017957,521.7022140771151,0.34867,0.75199,0.89579,0.22711,0.47656,0.87741,0.89693,0.91663,0.93022,0.94197,0.95385,0.96097,0.96581,0.96967,0.97342,0.97705,0.97909,0.98038,0.98109,0.98016,0.97992,0.97998,0.9813,0.98629,0.98942,0.34880115114796306,113.01157297194004,0.34499,0.7556,0.89299,0.21105,0.4594,0.87629,0.89518,0.91537,0.9327,0.94661,0.95528,0.96165,0.96525,0.97027,0.97492,0.97967,0.98124,0.98205,0.9826,0.98469,0.98445,0.98478,0.98687,0.9862,0.98661,0.3450240528233993,111.78779311478138
0.34006,0.74943,0.87817,0.22243,0.47162,0.3400551030276627,513.4832055717707,0.30979,0.77751,0.90023,0.20374,0.45138,0.87253,0.89195,0.90697,0.92112,0.93707,0.9464,0.95537,0.96378,0.96794,0.97202,0.97385,0.97695,0.9806,0.98197,0.98243,0.9817,0.98192,0.98105,0.98219,0.98772,0.3097517047951251,100.35955235362053,0.30042,0.79017,0.89933,0.18119,0.42567,0.87827,0.89992,0.9165,0.93536,0.94353,0.95357,0.9592,0.96738,0.97391,0.97734,0.98125,0.98227,0.98346,0.98587,0.98703,0.98769,0.98884,0.9903,0.9901,0.98993,0.3006069777924337,97.39666080474854
0.33326,0.75872,0.88297,0.21417,0.46278,0.33326424359288437,503.2290078252554,0.31246,0.78189,0.90247,0.19973,0.44691,0.87702,0.89505,0.91294,0.92806,0.93971,0.94944,0.9591,0.96535,0.9692,0.97298,0.97739,0.97887,0.97895,0.97954,0.98129,0.98368,0.98348,0.98522,0.98869,0.98691,0.312413828516448,101.22208043932915,0.30723,0.79082,0.9004,0.18063,0.42501,0.87493,0.89822,0.91602,0.93328,0.94489,0.95505,0.96355,0.97015,0.97437,0.97733,0.97907,0.98175,0.98247,0.98282,0.9829,0.98491,0.98571,0.98596,0.98642,0.98534,0.3072431631110333,99.54678484797478
0.3286,0.7671,0.88596,0.20672,0.45466,0.328596124536549,496.180148050189,0.30227,0.79192,0.90656,0.19055,0.43652,0.87639,0.89418,0.91349,0.92861,0.94144,0.95435,0.96215,0.96754,0.97221,0.97824,0.98324,0.98497,0.98547,0.98849,0.98991,0.99086,0.9912,0.99093,0.99193,0.99078,0.3024736305261836,98.00145629048347,0.29735,0.79752,0.90275,0.17485,0.41815,0.87934,0.89722,0.91847,0.93268,0.94948,0.96017,0.96598,0.97286,0.97754,0.98286,0.98567,0.98669,0.98632,0.98663,0.98624,0.98661,0.98926,0.99087,0.99409,0.99441,0.29732526015536287,96.33338429033756
0.32492,0.77348,0.8891,0.20103,0.44836,0.3249171494845523,490.62489572167397,0.30821,0.793,0.90529,0.18955,0.43538,0.88157,0.90248,0.91739,0.92967,0.93991,0.95042,0.95849,0.96683,0.97238,0.97504,0.98007,0.98131,0.98392,0.98391,0.9862,0.9875,0.98699,0.99097,0.99193,0.99322,0.3083283609630149,99.89838895201683,0.30561,0.79256,0.90257,0.17914,0.42324,0.87704,0.8991,0.91455,0.93094,0.94458,0.95339,0.96063,0.96882,0.97495,0.97692,0.98293,0.9856,0.98605,0.98619,0.98649,0.98715,0.98716,0.98639,0.98571,0.98372,0.305659098205743,99.03354781866074
0.3195,0.77997,0.89205,0.19535,0.44198,0.31949922678289033,482.4438324421644,0.32046,0.77958,0.90197,0.20184,0.44927,0.87505,0.8971,0.91361,0.92801,0.94026,0.94967,0.9589,0.96768,0.97353,0.97862,0.98364,0.98796,0.98988,0.99114,0.99427,0.99339,0.99433,0.99469,0.99397,0.99584,0.3206602600805553,103.89392426609993,0.31366,0.78094,0.89948,0.18917,0.43493,0.88102,0.90034,0.91526,0.93129,0.94349,0.95532,0.96492,0.97279,0.97669,0.97883,0.97981,0.98267,0.98217,0.98394,0.98453,0.98629,0.98984,0.99041,0.99144,0.98988,0.3136309024728375,101.61641240119934
0.31026,0.79158,0.89793,0.18501,0.43013,0.3102628174404435,468.49685433506966,0.30482,0.78629,0.90775,0.1957,0.44238,0.88029,0.90053,0.91947,0.93497,0.94612,0.95745,0.96391,0.96861,0.9762,0.98064,0.98275,0.98577,0.98739,0.98961,0.98912,0.99002,0.99223,0.99509,0.99553,0.99619,0.30497591970143495,98.81219798326492,0.29506,0.79658,0.90397,0.17566,0.41912,0.88239,0.90491,0.9225,0.93622,0.94893,0.95614,0.96653,0.9717,0.97754,0.98302,0.98657,0.9893,0.98925,0.98923,0.98988,0.99098,0.99161,0.99134,0.99014,0.98987,0.29504211113592727,95.59364400804043
0.3066,0.79605,0.90014,0.18106,0.42551,0.30660247439580246,462.96973633766174,0.29634,0.79586,0.90599,0.18694,0.43236,0.8841,0.90376,0.91896,0.93502,0.94672,0.95594,0.96698,0.97066,0.97411,0.97979,0.98198,0.98354,0.98331,0.98558,0.98517,0.9865,0.98918,0.9905,0.98918,0.99036,0.2963543495186317,96.01880924403667,0.28823,0.80345,0.90398,0.16973,0.41198,0.87667,0.89861,0.91406,0.92631,0.94024,0.95485,0.96264,0.96668,0.97217,0.97433,0.97914,0.98187,0.98415,0.98227,0.98485,0.98388,0.98226,0.98616,0.9864,0.9859,0.28815447557487606,93.36205008625984
