train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/optimizer/base_learning_rate
0.49966,0.0,0.0,0.0,0.5045,0.6946495642183919,256.3256891965866,0.49958,0.0,0.0,0.0,0.50192,0.694423851966858,52.08178889751434,0.49091,0.0,0.0,0.0,0.48926,0.6955980514905539,57.73463827371597,1715766020,,False,1,f0df1706,2024-05-15_11-40-20,21.856380462646484,21.856380462646484,7124,AT-MB-PC-E13,127.0.0.1,21.856380462646484,1,64,3,0.0001
0.50433,0.50885,0.26815,0.35122,0.50527,0.6933075704871801,255.83049350976944,0.51053,0.51267,0.44276,0.47516,0.51636,0.6929040924708049,51.967806935310364,0.50227,0.51451,0.39583,0.44743,0.51501,0.6929780388452921,57.51717722415924,1715766044,,False,2,f0df1706,2024-05-15_11-40-44,23.541974306106567,45.39835476875305,7124,AT-MB-PC-E13,127.0.0.1,45.39835476875305,2,64,3,0.0001
0.50713,0.51007,0.37805,0.43425,0.51508,0.6927663903572372,255.63079804182053,0.50548,0.50332,0.89226,0.64359,0.53725,0.692272531191508,51.9204398393631,0.51439,0.51363,0.86905,0.64566,0.54073,0.6916516918733896,57.40709042549133,1715766067,,False,3,f0df1706,2024-05-15_11-41-07,23.580400228500366,68.97875499725342,7124,AT-MB-PC-E13,127.0.0.1,68.97875499725342,3,64,3,0.0001
0.5443,0.55125,0.47982,0.51306,0.56808,0.6899225044702773,254.58140414953232,0.71104,0.91148,0.46801,0.61846,0.83268,0.6856809115409851,51.42606836557388,0.70303,0.9375,0.44643,0.60484,0.85607,0.6858309959790793,56.92397266626358,1715766090,,False,4,f0df1706,2024-05-15_11-41-30,22.61728811264038,91.5960431098938,7124,AT-MB-PC-E13,127.0.0.1,91.5960431098938,4,64,3,0.0001
0.67507,0.71027,0.5921,0.64582,0.75355,0.6602858797644535,243.64548963308334,0.77843,0.98251,0.56734,0.71932,0.98513,0.5977499993642171,44.831249952316284,0.775,0.9562,0.58482,0.72576,0.97691,0.5974976592753307,49.59230571985245,1715766112,,False,5,f0df1706,2024-05-15_11-41-52,22.378655433654785,113.97469854354858,7124,AT-MB-PC-E13,127.0.0.1,113.97469854354858,5,64,3,0.0001
0.93542,0.91673,0.95794,0.93688,0.98169,0.3520911840727013,129.92164692282677,0.98484,0.98,0.9899,0.98492,0.98985,0.10633724108338356,7.975293081253767,0.97424,0.96774,0.98214,0.97489,0.9944,0.11744197004710336,9.747683513909578,1715766135,,False,6,f0df1706,2024-05-15_11-42-15,22.37608551979065,136.35078406333923,7124,AT-MB-PC-E13,127.0.0.1,136.35078406333923,6,64,3,0.0001
0.98082,0.97171,0.9905,0.98102,0.99504,0.07411161193316222,27.34718480333686,0.98484,0.98,0.9899,0.98492,0.99116,0.07663085071990887,5.7473138039931655,0.97273,0.96221,0.98512,0.97353,0.99495,0.09791095699576369,8.126609430648386,1715766156,,False,7,f0df1706,2024-05-15_11-42-36,21.72049903869629,158.07128310203552,7124,AT-MB-PC-E13,127.0.0.1,158.07128310203552,7,64,3,0.0001
0.9815,0.97539,0.98796,0.98163,0.9961,0.06040788636269012,22.290510067832656,0.98147,0.98311,0.9798,0.98145,0.99185,0.073564405447493,5.517330408561975,0.96818,0.97015,0.96726,0.9687,0.99641,0.10786998562559665,8.953208806924522,1715766179,,False,8,f0df1706,2024-05-15_11-42-59,22.136913537979126,180.20819664001465,7124,AT-MB-PC-E13,127.0.0.1,180.20819664001465,8,64,3,0.0001
0.98057,0.97662,0.98474,0.98066,0.99667,0.06101691157987397,22.515240372973494,0.98315,0.98316,0.98316,0.98316,0.99221,0.07472133111519118,5.604099833639339,0.96515,0.96716,0.96429,0.96572,0.99735,0.09717388332299663,8.06543231580872,1715766201,,False,9,f0df1706,2024-05-15_11-43-21,22.73512554168701,202.94332218170166,7124,AT-MB-PC-E13,127.0.0.1,202.94332218170166,9,64,3,0.0001
0.98133,0.97665,0.98626,0.98143,0.99665,0.059280105766797375,21.87435902794823,0.98315,0.98316,0.98316,0.98316,0.99205,0.07704593407300611,5.7784450554754585,0.96515,0.96997,0.96131,0.96562,0.99739,0.10247850030483903,8.505715525301639,1715766224,,False,10,f0df1706,2024-05-15_11-43-44,22.423275232315063,225.36659741401672,7124,AT-MB-PC-E13,127.0.0.1,225.36659741401672,10,64,3,0.0001
