train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/modules/1/times
0.50015,0.50019,0.40034,0.44473,0.49999,0.716907742122809,223.67521554231644,0.5014,0.50177,0.3974,0.44353,0.50093,0.7211376361953564,225.71608012914658,1713415658,,False,1,d50ef600,2024-04-18_06-47-38,123.36969375610352,123.36969375610352,4440,AT-MB-PC-E13,127.0.0.1,123.36969375610352,1,3
0.71339,0.7138,0.71244,0.71312,0.82007,0.483303288427683,150.7906259894371,0.8652,0.87696,0.8496,0.86306,0.94086,0.3302472625701382,103.36739318445325,1713415754,,False,2,d50ef600,2024-04-18_06-49-14,96.1432888507843,219.51298260688782,4440,AT-MB-PC-E13,127.0.0.1,219.51298260688782,2,3
0.91652,0.91807,0.91466,0.91636,0.98198,0.16915441693690342,52.77617808431387,0.8901,0.92228,0.852,0.88575,0.97473,0.192996375343075,60.407865482382476,1713415853,,False,3,d50ef600,2024-04-18_06-50-53,99.38887906074524,318.90186166763306,4440,AT-MB-PC-E13,127.0.0.1,318.90186166763306,3,3
0.94551,0.94875,0.94191,0.94532,0.99152,0.11774945735501555,36.73783069476485,0.9135,0.98115,0.8432,0.90696,0.98455,0.16816243396613734,52.63484183140099,1713415953,,False,4,d50ef600,2024-04-18_06-52-33,99.48010993003845,418.3819715976715,4440,AT-MB-PC-E13,127.0.0.1,418.3819715976715,4,3
0.95282,0.95219,0.95353,0.95286,0.99353,0.10204642596773994,31.838484901934862,0.913,0.92298,0.9012,0.91196,0.98184,0.1812002526993414,56.71567909489386,1713416052,,False,5,d50ef600,2024-04-18_06-54-12,99.62757873535156,518.0095503330231,4440,AT-MB-PC-E13,127.0.0.1,518.0095503330231,5,3
0.95673,0.95436,0.95933,0.95684,0.99462,0.09346894275035876,29.162310138111934,0.9133,0.9647,0.858,0.90822,0.98281,0.18791636304644208,58.81782163353637,1713416136,,False,6,d50ef600,2024-04-18_06-55-36,83.44825887680054,601.4578092098236,4440,AT-MB-PC-E13,127.0.0.1,601.4578092098236,6,3
0.95788,0.95546,0.96054,0.95799,0.99422,0.0967130453298943,30.17447014292702,0.9116,0.92363,0.8974,0.91033,0.98343,0.15257024649715129,47.75448715360835,1713416221,,False,7,d50ef600,2024-04-18_06-57-01,84.75870537757874,686.2165145874023,4440,AT-MB-PC-E13,127.0.0.1,686.2165145874023,7,3
0.96029,0.96126,0.95923,0.96024,0.99515,0.08841945248497769,27.58686917531304,0.9142,0.88566,0.9512,0.91726,0.98399,0.15059334676810943,47.13571753841825,1713416337,,False,8,d50ef600,2024-04-18_06-58-57,116.11630964279175,802.3328242301941,4440,AT-MB-PC-E13,127.0.0.1,802.3328242301941,8,3
0.95843,0.95954,0.95723,0.95838,0.99517,0.08829075092813955,27.54671428957954,0.9198,0.94584,0.8906,0.91739,0.98515,0.14703580092626828,46.022205689921975,1713416454,,False,9,d50ef600,2024-04-18_07-00-54,117.3149619102478,919.6477861404419,4440,AT-MB-PC-E13,127.0.0.1,919.6477861404419,9,3
0.96119,0.96216,0.96014,0.96115,0.99535,0.08559224999883625,26.704781999636907,0.9304,0.90804,0.9578,0.93226,0.9888,0.1274658644189924,39.89681556314463,1713416572,,True,10,d50ef600,2024-04-18_07-02-52,117.7310516834259,1037.3788378238678,4440,AT-MB-PC-E13,127.0.0.1,1037.3788378238678,10,3
