train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss
5.95,-40.51,-0.22,36.85,6.07,5.9537324151165985,8996.08967924118,5.97,-39.57,-0.23,37.16,6.1,5.974575220802684,1935.7623715400696,6.02,-42.68,-0.24,37.72,6.14,6.022822512520684,1951.3944940567017
1.7,-5.34,0.25,5.62,2.37,1.6958018784330509,2562.35663831234,0.89,-0.75,0.58,1.6,1.26,0.8908863996649966,288.6471934914589,0.91,-1.0,0.55,1.73,1.31,0.9114761860282333,295.3182842731476
0.74,-0.24,0.56,1.1,1.05,0.743547647402509,1123.5004952251911,0.56,0.23,0.7,0.71,0.84,0.5638606539111078,182.69085186719894,0.57,0.14,0.69,0.74,0.86,0.5654133136073748,183.19391360878944
0.55,0.32,0.7,0.6,0.78,0.5498568422446418,830.8336886316538,0.48,0.46,0.78,0.5,0.71,0.47683302570640307,154.4939003288746,0.48,0.42,0.77,0.5,0.71,0.4762566304869122,154.30714827775955
0.49,0.48,0.76,0.46,0.68,0.48912869083179217,739.073451846838,0.47,0.52,0.8,0.44,0.66,0.4707765632573469,152.5316064953804,0.47,0.49,0.79,0.44,0.66,0.47350817716416016,153.4166494011879
0.47,0.52,0.77,0.42,0.65,0.4697768406549248,709.8328062295914,0.42,0.59,0.81,0.37,0.61,0.4245772543880675,137.56303042173386,0.42,0.58,0.81,0.36,0.6,0.42101355352335507,136.40839134156704
0.45,0.56,0.79,0.39,0.62,0.45039601767007914,680.5483826994896,0.5,0.5,0.79,0.45,0.67,0.4959475949038694,160.68702074885368,0.5,0.48,0.79,0.45,0.67,0.5001622064062107,162.05255487561226
0.44,0.59,0.8,0.37,0.6,0.44000036213707244,664.8405471891165,0.4,0.65,0.83,0.32,0.57,0.403330999530024,130.67924384772778,0.4,0.66,0.83,0.29,0.54,0.39508994852687107,128.00914332270622
0.43,0.61,0.81,0.35,0.59,0.4289065244811643,648.0777584910393,0.48,0.51,0.8,0.45,0.67,0.4785708338942057,155.05695018172264,0.47,0.53,0.8,0.41,0.64,0.46917280380004717,152.0119884312153
0.42,0.63,0.81,0.33,0.58,0.4206210599187823,635.5584215372801,0.43,0.62,0.82,0.35,0.59,0.43348335318359327,140.44860643148422,0.43,0.62,0.82,0.33,0.57,0.4269615431534655,138.33553998172283
0.41,0.64,0.82,0.32,0.57,0.41480475985633075,626.7699921429157,0.4,0.68,0.85,0.3,0.54,0.39613598286185736,128.34805844724178,0.39,0.68,0.85,0.28,0.53,0.3928485808917034,127.2829402089119
0.4,0.66,0.83,0.31,0.55,0.4038148467249621,610.1642334014177,0.42,0.63,0.82,0.34,0.58,0.4222342317670952,136.80389109253883,0.42,0.63,0.82,0.32,0.56,0.4197300671611303,135.99254176020622
0.4,0.67,0.83,0.29,0.54,0.3954834767637625,597.5755333900452,0.37,0.69,0.85,0.28,0.53,0.37106993914018443,120.22666028141975,0.37,0.7,0.85,0.26,0.51,0.36819382862728317,119.29480047523975
0.39,0.68,0.84,0.28,0.53,0.38821244403512806,586.5890029370785,0.37,0.71,0.86,0.27,0.52,0.3738739853379903,121.13517124950886,0.37,0.71,0.85,0.25,0.5,0.3689581104266791,119.54242777824402
