train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
5.630000114440918,-36.77,-0.03,32.77000045776367,5.71999979019165,5.632833834273366,1763.0769901275635,5.690000057220459,-35.37,-0.21,33.380001068115234,5.78000020980835,5.686163970837578,1779.7693228721619,1712763348,,False,1,d0097066,2024-04-10_15-35-48,144.5820596218109,144.5820596218109,1467398,vader,131.130.125.97,144.5820596218109,1,64,3,0.5,1e-05
5.460000038146973,-34.66,-0.05,30.940000534057617,5.559999942779541,5.463676493769636,1710.1307425498962,5.260000228881836,-30.44,-0.27,28.860000610351562,5.369999885559082,5.259596647926793,1646.2537508010864,1712763423,,False,2,d0097066,2024-04-10_15-37-03,75.97646689414978,220.5585265159607,1467398,vader,131.130.125.97,220.5585265159607,2,64,3,0.5,1e-05
4.920000076293945,-28.61,-0.05,25.690000534057617,5.070000171661377,4.923933064975677,1541.191049337387,4.420000076293945,-22.27,-0.1,21.360000610351562,4.619999885559082,4.421688254268025,1383.9884235858917,1712763498,,False,3,d0097066,2024-04-10_15-38-18,74.20125460624695,294.75978112220764,1467398,vader,131.130.125.97,294.75978112220764,3,64,3,0.5,1e-05
3.9000000953674316,-19.02,0.03,17.360000610351562,4.170000076293945,3.897257851335568,1219.8417074680328,3.190000057220459,-12.86,0.01,12.720000267028809,3.569999933242798,3.1934718689598593,999.556694984436,1712763571,,False,4,d0097066,2024-04-10_15-39-31,73.18722367286682,367.94700479507446,1467398,vader,131.130.125.97,367.94700479507446,4,64,3,0.5,1e-05
2.7699999809265137,-11.13,0.06,10.529999732971191,3.240000009536743,2.7737181460895477,868.1737797260284,2.390000104904175,-8.07,0.03,8.329999923706055,2.890000104904175,2.3934846461390533,749.1606942415237,1712763645,,False,5,d0097066,2024-04-10_15-40-45,74.36580276489258,442.31280755996704,1467398,vader,131.130.125.97,442.31280755996704,5,64,3,0.5,1e-05
2.2100000381469727,-7.31,0.11,7.210000038146973,2.680000066757202,2.21423709811494,693.0562117099762,1.7899999618530273,-4.46,0.17,5.019999980926514,2.240000009536743,1.7882406837262286,559.7193340063095,1712763720,,False,6,d0097066,2024-04-10_15-42-00,74.86090898513794,517.173716545105,1467398,vader,131.130.125.97,517.173716545105,6,64,3,0.5,1e-05
1.7999999523162842,-4.88,0.17,5.099999904632568,2.259999990463257,1.8024663178684612,564.1719574928284,1.5499999523162842,-3.32,0.17,3.9700000286102295,1.9900000095367432,1.5482196628856963,484.59275448322296,1712763794,,False,7,d0097066,2024-04-10_15-43-14,73.53988075256348,590.7135972976685,1467398,vader,131.130.125.97,590.7135972976685,7,64,3,0.5,1e-05
1.5399999618530273,-3.51,0.23,3.9100000858306885,1.9800000190734863,1.5428696807961875,482.9182100892067,1.309999942779541,-2.28,0.3,3.009999990463257,1.7400000095367432,1.3073025515285164,409.1856986284256,1712763873,,False,8,d0097066,2024-04-10_15-44-33,79.49031949043274,670.2039167881012,1467398,vader,131.130.125.97,670.2039167881012,8,64,3,0.5,1e-05
1.340000033378601,-2.49,0.3,3.0199999809265137,1.7400000095367432,1.3370333614821632,418.4914421439171,1.159999966621399,-1.67,0.36,2.450000047683716,1.5700000524520874,1.1553354689869255,361.6200017929077,1712763962,,False,9,d0097066,2024-04-10_15-46-02,88.60966038703918,758.8135771751404,1467398,vader,131.130.125.97,758.8135771751404,9,64,3,0.5,1e-05
1.149999976158142,-1.68,0.36,2.3299999237060547,1.5299999713897705,1.154159941231481,361.2520616054535,1.059999942779541,-1.19,0.45,2.009999990463257,1.4199999570846558,1.0591502793299885,331.5140374302864,1712764051,,False,10,d0097066,2024-04-10_15-47-31,89.30454158782959,848.11811876297,1467398,vader,131.130.125.97,848.11811876297,10,64,3,0.5,1e-05
1.0299999713897705,-1.16,0.41,1.8799999952316284,1.3700000047683716,1.0310572673337528,322.72092467546463,0.9100000262260437,-0.68,0.53,1.5499999523162842,1.2400000095367432,0.9105560128300335,285.0040320158005,1712764143,,False,11,d0097066,2024-04-10_15-49-03,91.44630026817322,939.5644190311432,1467398,vader,131.130.125.97,939.5644190311432,11,64,3,0.5,1e-05
0.9300000071525574,-0.73,0.44,1.5,1.2300000190734863,0.9259743945667157,289.829985499382,0.9200000166893005,-0.62,0.55,1.4900000095367432,1.2200000286102295,0.9233864317305933,289.0199531316757,1712764230,,False,12,d0097066,2024-04-10_15-50-30,87.44484543800354,1027.0092644691467,1467398,vader,131.130.125.97,1027.0092644691467,12,64,3,0.5,1e-05
0.8700000047683716,-0.53,0.48,1.3300000429153442,1.149999976158142,0.8726477358287896,273.13874131441116,0.9200000166893005,-0.55,0.57,1.4199999570846558,1.190000057220459,0.9250921515611034,289.55384343862534,1712764312,,False,13,d0097066,2024-04-10_15-51-52,81.68350744247437,1108.692771911621,1467398,vader,131.130.125.97,1108.692771911621,13,64,3,0.5,1e-05
0.8399999737739563,-0.4,0.5,1.2100000381469727,1.100000023841858,0.8351386841684104,261.39840814471245,0.8500000238418579,-0.39,0.62,1.2699999809265137,1.1299999952316284,0.8545311445626207,267.4682482481003,1712764395,,False,14,d0097066,2024-04-10_15-53-15,83.78368830680847,1192.4764602184296,1467398,vader,131.130.125.97,1192.4764602184296,14,64,3,0.5,1e-05
0.800000011920929,-0.3,0.51,1.1299999952316284,1.059999942779541,0.7997495010257148,250.32159382104874,0.7599999904632568,-0.18,0.65,1.0800000429153442,1.0399999618530273,0.763694371754369,239.0363383591175,1712764489,,False,15,d0097066,2024-04-10_15-54-49,93.18977332115173,1285.6662335395813,1467398,vader,131.130.125.97,1285.6662335395813,15,64,3,0.5,1e-05
0.7699999809265137,-0.18,0.53,1.0199999809265137,1.0099999904632568,0.7669023858091701,240.04044675827026,0.8399999737739563,-0.29,0.68,1.1799999475479126,1.090000033378601,0.83601116867492,261.67149579524994,1712764577,,False,16,d0097066,2024-04-10_15-56-17,88.80035901069641,1374.4665925502777,1467398,vader,131.130.125.97,1374.4665925502777,16,64,3,0.5,1e-05
